"name1","name2","period","issue_num","p1","p2"
"ukch","wesm","20111","354","2","2"
"aman-thakral","wesm","20111","355","1","121"
"aman-thakral","wesm","20111","356","1","2"
"dieterv77","wesm","20111","365","2","1"
"ukch","wesm","20111","366","2","1"
"CRP","wesm","20111","367","2","1"
"lodagro","wesm","20120","371","21","2222"
"CRP","wesm","20111","373","2","12"
"craustin","wesm","20111","378","2","2"
"craustin","wesm","20111","380","2","202"
"lodagro","wesm","20111","385","0","12"
"changhiskhan","wesm","20121","388","2","0"
"craustin","wesm","20111","389","21","222"
"adamklein","lodagro","20120","395","2","21"
"CRP","wesm","20111","401","1","2"
"jseabold","wesm","20111","403","1","2"
"cpcloud","hayd","20131","404","12","22"
"sanand0","wesm","20121","407","2","2"
"cpcloud","fivejjs","20150","407","2","0"
"fivejjs","TomAugspurger","20150","407","0","2"
"cpcloud","TomAugspurger","20150","407","2","2"
"jorisvandenbossche","kvallinatest","20171","407","2","0"
"ralphbean","wesm","20111","412","2","2"
"drewfrank","lodagro","20120","413","0","20"
"lodagro","wesm","20120","413","20","2"
"drewfrank","wesm","20120","413","0","2"
"lodagro","ycopin","20120","413","20","2"
"wesm","ycopin","20120","413","2","2"
"drewfrank","ycopin","20120","413","0","2"
"lodagro","sjev","20111","418","22","211"
"lodagro","wesm","20111","418","22","2"
"sjev","wesm","20111","418","211","2"
"ralphbean","wesm","20111","419","222","1"
"joonro","wesm","20111","425","1","1"
"fonnesbeck","wesm","20111","426","1","2"
"CRP","wesm","20111","428","0","121"
"sjev","wesm","20111","431","1","2"
"lbeltrame","wesm","20111","435","2","22"
"sjev","wesm","20111","435","2","22"
"lbeltrame","sjev","20111","435","2","2"
"sjev","wesm","20111","438","21","22"
"sjev","wesm","20111","441","21","2102"
"fperez","wesm","20111","442","1","1"
"fperez","lodagro","20111","444","2011","2"
"lodagro","wesm","20111","444","2","22222"
"fperez","wesm","20111","444","2011","22222"
"lbeltrame","lodagro","20111","447","2","2"
"lbeltrame","wesm","20111","447","2","2"
