name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
Altons,wesm,20111,33,0,0,0,0.43,0.0,0.0,0.0,18,1,1.0,1.0
ghost,wesm,20111,11,0,0,0,1.0,0.0,0.0,0.0,12,1,1.0,1.0
mattharrison,wesm,20111,11,0,0,0,0.33,0.0,0.0,0.0,14,1,0.6699999999999999,1.0
Altons,ghost,20111,3,0,0,0,0.43,0.0,0.0,0.0,8,1,1.0,1.0
Altons,mattharrison,20111,7,4,4,0,0.33,0.19,0.19,0.0,10,1,1.0,0.6699999999999999
ghost,mattharrison,20111,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
scottza,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
psychstatistics,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
michaeldhealy,wesm,20111,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
gregglind,wesm,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
daehyok,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
daehyok,wesm,20111,0,1,0,0,0.0,0.33,0.0,0.0,4,1,0.0,1.0
rsamson,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
takluyver,wesm,20111,14,2,2,0,0.47,0.07,0.07,0.0,11,1,1.0,0.83
rsamson,wesm,20111,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
rsamson,wesm,20111,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
takluyver,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
changhiskhan,wesm,20120,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
takluyver,wesm,20111,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
changhiskhan,wesm,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
adamklein,wesm,20120,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
takluyver,wesm,20111,3,0,0,0,0.33,0.0,0.0,0.0,6,1,1.0,1.0
takluyver,wesm,20111,4,0,0,0,0.5,0.0,0.0,0.0,6,1,1.0,1.0
takluyver,wesm,20111,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
