name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
515hikaru,FHaase,0.0,1.0,0.0,0.0,0.0,1.0,5,63,0,1,0,0,1,2
515hikaru,Geekly,0.0,1.0,0.0,0.0,0.0,1.0,5,7,0,2,0,0,1,3
515hikaru,WillAyd,0.0,0.0,0.0,0.0,0.0,1.0,5,2735,0,0,0,0,1,2
515hikaru,datapythonista,0.33,0.67,0.0,0.33,0.0,0.6699999999999999,5,1385,1,2,0,1,1,4
515hikaru,mroeschke,0.0,1.0,0.0,0.0,0.0,1.0,5,1295,0,1,0,0,1,2
5hirish,TomAugspurger,0.335,0.0,0.0,0.0,1.0,1.0,11,9311,8,0,0,0,2,10
5hirish,anjalibhavan,0.5,0.0,0.0,0.0,0.5,1.0,11,5,1,0,0,0,1,3
5hirish,codecov[bot],1.0,0.0,0.0,0.0,1.0,1.0,11,10328,4,0,0,0,1,5
5hirish,datapythonista,0.5,0.0,0.0,0.0,0.5,1.0,11,1385,2,0,0,0,1,4
5hirish,gfyoung,0.25,0.25,0.0,0.25,0.5,0.5,11,4256,1,1,0,1,1,4
5hirish,jbrockmendel,0.5,0.0,0.0,0.0,0.5,1.0,11,2663,1,0,0,0,1,3
5hirish,jreback,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,1.0,11,28609,7,0,0,0,3,11
5hirish,pep8speaks,1.0,0.0,0.0,0.0,1.0,1.0,11,5120,4,0,0,0,1,5
691175002,jreback,1.0,0.0,0.0,0.0,1.0,1.0,1,28609,2,0,0,0,1,3
77QingLiu,MeetQingLiu,1.0,0.0,0.0,0.0,1.0,1.0,27,22,1,0,0,0,1,2
77QingLiu,ShichenXie,0.0,0.0,0.0,0.0,1.0,1.0,27,21,0,0,0,0,1,2
77QingLiu,TomAugspurger,0.165,0.0,0.0,0.0,1.0,1.0,27,9311,1,0,0,0,2,6
77QingLiu,WillAyd,0.0,0.0,0.0,0.0,1.0,1.0,27,2735,0,0,0,0,1,2
77QingLiu,Zenadix,1.0,0.0,0.0,0.0,1.0,1.0,27,55,1,0,0,0,1,2
77QingLiu,andrewdalecramer,0.33,0.0,0.0,0.0,1.0,0.6699999999999999,27,24,1,0,0,0,1,4
77QingLiu,darshanpandit,0.0,0.0,0.0,0.0,1.0,0.0,27,21,0,0,0,0,1,2
77QingLiu,gfyoung,1.0,0.0,0.0,0.0,1.0,1.0,27,4256,2,0,0,0,1,3
77QingLiu,hayd,1.0,0.0,0.0,0.0,1.0,1.0,27,1289,3,0,0,0,1,4
77QingLiu,hmgaudecker,1.0,0.0,0.0,0.0,1.0,1.0,27,52,1,0,0,0,1,2
77QingLiu,jangorecki,0.0,0.0,0.0,0.0,1.0,1.0,27,30,0,0,0,0,1,2
77QingLiu,jorisvandenbossche,0.44,0.0,0.22,0.0,1.0,1.0,27,10540,4,0,2,0,1,6
77QingLiu,jreback,0.6933333333333334,0.0,0.0,0.0,1.0,1.0,27,28609,5,0,0,0,3,11
77QingLiu,mattvivier,1.0,0.0,0.0,0.0,1.0,1.0,27,21,2,0,0,0,1,3
77QingLiu,multiloc,1.0,0.0,0.0,0.0,1.0,1.0,27,35,1,0,0,0,1,2
77QingLiu,nbonnotte,0.0,0.0,0.0,0.0,1.0,1.0,27,84,0,0,0,0,1,2
77QingLiu,openclosure,1.0,0.0,0.0,0.0,1.0,1.0,27,21,1,0,0,0,1,2
77QingLiu,ottothecow,0.0,0.0,0.0,0.0,1.0,0.0,27,21,0,0,0,0,1,2
77QingLiu,peterpanmj,1.0,0.0,0.0,0.0,1.0,1.0,27,59,1,0,0,0,1,2
77QingLiu,rea725,0.0,0.0,0.0,0.0,1.0,0.0,27,25,0,0,0,0,1,2
77QingLiu,stefanw,0.0,0.0,0.0,0.0,1.0,1.0,27,21,0,0,0,0,1,2
77QingLiu,tamsl,1.0,0.0,0.0,0.0,1.0,1.0,27,21,1,0,0,0,1,2
77QingLiu,tyang209,0.0,0.0,0.0,0.0,1.0,1.0,27,21,0,0,0,0,1,2
77QingLiu,xuhuizhang,1.0,0.0,0.0,0.0,1.0,1.0,27,3,1,0,0,0,1,2
7kbird,cpcloud,1.0,0.0,0.0,0.0,1.0,1.0,5,2545,1,0,0,0,1,2
7kbird,crasanders,1.0,0.0,0.0,0.0,1.0,1.0,5,5,1,0,0,0,1,2
7kbird,jreback,1.0,0.0,0.0,0.0,1.0,1.0,5,28609,1,0,0,0,1,2
