a1,a2,c,co_cmt_cnt,co_issue_cnt,date,ic,nc,pc
chrisgilmerproj,jorisvandenbossche,0,3,1,2015-04,0,0,0
chrisgilmerproj,jreback,4,6,1,2015-04,0,0,0
chrisgorgo,TomAugspurger,2,4,1,2017-04,0,0,1
chrisgorgo,TomAugspurger,2,5,1,2017-05,0,0,0
chrisgorgo,codecov[bot],1,3,1,2017-04,0,0,0
chrisgorgo,gfyoung,4,8,1,2017-05,4,0,0
chrisgorgo,jorisvandenbossche,2,4,1,2017-04,0,0,1
chrisgorgo,jorisvandenbossche,2,5,1,2017-05,0,0,0
chrisgorgo,jreback,2,4,1,2017-04,0,0,0
chrisgorgo,jreback,2,6,1,2017-05,2,0,0
chrisgorgo,jreback,11,9,1,2017-06,0,0,2
chrisgrimm,jorisvandenbossche,2,3,1,2014-07,0,0,0
chrish42,Zac-HD,1,3,1,2018-10,0,0,1
chrish42,jreback,1,2,1,2015-04,0,0,0
chrish42,jreback,0,5,1,2015-05,0,0,0
chrish42,jreback,1,2,1,2015-06,0,0,0
chrish42,jreback,4,6,1,2016-05,0,0,0
chrish42,jreback,1,3,1,2016-06,0,0,1
chrish42,pfrcks,3,5,1,2016-05,0,0,0
chrisjbillington,codecov[bot],2,3,1,2017-07,0,0,0
chrisjbillington,gfyoung,2,3,1,2017-07,0,0,0
chrisjbillington,gfyoung,4,6,1,2017-08,0,0,2
chrisjbillington,jreback,2,5,1,2017-08,0,0,0
chrisjbillington,pep8speaks,0,3,1,2017-07,0,0,0
chrisjbillington,wesm,0,6,1,2012-02,0,0,0
chrisjbillington,wesm,0,3,1,2012-09,1,0,0
chrisjcameron,WillAyd,1,2,1,2018-08,0,0,0
chrisjcameron,csmcallister,0,2,1,2018-08,0,0,0
chrisjordansquire,wesm,0,3,1,2011-08,0,0,0
chrisjordansquire,wesm,2,4,2,2011-09,0,0,0
chrisluedtke,mroeschke,1,3,1,2019-01,0,0,0
chrism2671,gfyoung,0,2,1,2018-11,0,0,0
chrism2671,jreback,0,3,1,2016-06,0,0,0
chrism2671,jreback,1,2,1,2018-11,0,0,0
chrism2671,rookiedk,0,2,1,2018-11,0,0,0
chrisrpatterson,TomAugspurger,11,15,4,2018-09,0,0,0
chrisrpatterson,TomAugspurger,0,2,1,2018-11,0,0,0
chrisrpatterson,datapythonista,2,5,1,2018-09,0,0,0
chrisrpatterson,datapythonista,4,7,1,2018-11,0,0,0
chrisrpatterson,gfyoung,0,2,1,2018-09,0,0,0
chrisrpatterson,gfyoung,0,2,1,2018-11,0,0,0
chrisrpatterson,h-vetinari,10,8,1,2018-09,0,0,0
chrisrpatterson,jeremyepling,0,2,1,2018-09,0,0,0
chrisrpatterson,jreback,5,9,3,2018-09,0,0,0
chrisrpatterson,jreback,3,5,1,2018-11,0,0,0
chrisrpatterson,jschendel,0,2,1,2018-09,0,0,0
christopher-llop,djgagne,4,4,1,2015-08,0,0,0
christopher-llop,jreback,4,4,1,2015-08,0,0,0
christopherkang,darindillon,1,3,1,2018-08,0,0,0
chrisyeh96,gfyoung,4,6,1,2017-08,0,0,0
chrisyeh96,jorisvandenbossche,4,5,1,2017-08,0,0,0
chunshanzhu,jreback,6,6,1,2018-01,0,0,0
ciamac,jreback,4,6,1,2016-03,0,0,2
cindyxinyiwang,TomAugspurger,0,2,1,2015-10,0,0,0
cindyxinyiwang,jreback,2,3,1,2015-10,0,0,0
cing,PH82,2,3,1,2015-07,0,0,0
cing,TomAugspurger,1,2,1,2017-08,0,0,1
cing,mcherkassky,1,3,1,2017-08,0,0,1
cing,shoyer,1,2,1,2015-04,0,0,1
cissy7125,TartySG,1,2,1,2018-06,0,0,0
cissy7125,jreback,1,2,1,2018-06,0,0,0
cissy7125,uds5501,1,2,1,2018-06,0,0,0
cjauvin,TomAugspurger,6,6,1,2013-05,0,0,0
cjauvin,cpcloud,9,9,1,2013-05,1,0,1
cjauvin,cpcloud,2,4,1,2013-06,0,0,2
cjermain,jreback,0,3,1,2014-07,0,0,0
ckaldemeyer,RahulRAhhy123,1,2,1,2018-07,0,0,0
ckaldemeyer,jadolfbr,0,2,1,2018-07,0,0,0
ckingdon95,jorisvandenbossche,1,2,1,2016-02,0,0,0
ckingdon95,kshedden,2,3,1,2016-02,0,0,0
ckrapu,jorisvandenbossche,0,2,1,2016-07,0,0,0
ckrapu,jreback,1,2,1,2016-05,0,0,0
ckrapu,jreback,0,3,1,2016-07,0,0,0
ckrapu,sahildua2305,1,5,1,2016-07,0,0,1
ckrapu,sinhrks,1,2,1,2016-05,0,0,0
claell,jmcnamara,0,7,1,2018-05,0,0,0
clarkfitzg,TomAugspurger,1,8,1,2014-01,0,0,1
clarkfitzg,cpcloud,21,13,1,2014-01,0,0,3
clarkfitzg,cpcloud,6,6,1,2014-07,0,0,0
clarkfitzg,ghost,19,11,1,2014-01,0,0,1
clarkfitzg,hayd,2,5,2,2014-03,0,0,0
clarkfitzg,jreback,42,14,1,2014-01,0,0,0
clarkfitzg,jreback,20,16,2,2014-03,0,0,6
clarkfitzg,shoyer,3,7,2,2015-07,0,1,0
clarkfitzg,sinhrks,4,9,2,2015-07,1,0,0
cldy,codecov-io,2,3,1,2016-03,0,0,0
cldy,jreback,1,2,1,2016-02,0,0,0
cldy,jreback,6,5,1,2016-03,0,0,0
cldy,jreback,1,3,1,2016-04,0,0,0
cldy,jreback,2,3,1,2016-06,0,0,0
cldy,sinhrks,2,4,1,2016-04,0,0,0
cldy,varnion,0,2,1,2016-06,0,0,0
clearf,jreback,1,3,1,2015-06,0,0,0
clearf,jreback,0,3,1,2015-07,0,0,0
clearf,jreback,20,10,1,2015-08,0,0,0
clearf,rockg,2,4,1,2015-06,0,0,2
clembou,TomAugspurger,0,3,1,2018-02,0,0,0
clembou,TomAugspurger,0,2,1,2018-05,0,0,0
clembou,jorisvandenbossche,0,2,1,2014-12,0,0,0
clembou,jorisvandenbossche,6,5,1,2018-02,0,0,0
clembou,jorisvandenbossche,0,3,1,2018-05,0,0,0
clembou,jreback,0,2,1,2014-12,0,0,0
clembou,jreback,2,3,1,2016-02,0,0,0
clembou,jreback,0,2,1,2018-05,0,0,0
clham,codecov-io,0,2,1,2016-11,0,0,0
clham,cpcloud,2,6,1,2014-05,0,0,0
clham,cpcloud,15,11,1,2014-06,0,0,3
clham,cpcloud,1,2,1,2015-01,0,0,1
clham,hayd,2,4,1,2014-05,0,0,0
clham,hayd,4,6,1,2014-06,0,0,2
clham,immerrr,1,2,1,2014-07,0,0,0
clham,jankatins,1,4,1,2017-01,0,0,0
clham,jgoad,1,2,1,2014-10,0,0,0
clham,jorisvandenbossche,20,22,4,2014-05,4,1,4
clham,jorisvandenbossche,16,22,4,2014-06,2,0,3
clham,jorisvandenbossche,6,6,1,2014-07,0,0,0
clham,jorisvandenbossche,1,2,1,2014-10,0,0,0
clham,jorisvandenbossche,1,3,1,2015-01,0,0,0
clham,jorisvandenbossche,8,7,1,2016-12,0,0,0
clham,jreback,11,13,3,2014-05,0,0,0
clham,jreback,11,23,5,2014-06,0,0,0
clham,jreback,2,7,2,2014-07,0,0,0
clham,jreback,6,5,1,2015-01,0,0,0
clham,jreback,1,3,1,2016-11,0,1,0
clham,jreback,4,8,2,2016-12,0,0,0
clham,jreback,4,6,1,2017-01,0,0,2
cloga,TomAugspurger,2,4,1,2014-03,0,0,2
cloga,hayd,1,3,1,2014-03,0,0,1
cloga,jorisvandenbossche,0,2,1,2014-03,0,0,0
cloga,jreback,2,4,1,2014-03,0,0,2
cloga,jreback,0,4,1,2014-07,0,0,0
cloga,jreback,6,5,1,2015-08,0,0,0
cloga,jseabold,1,2,1,2014-03,0,0,1
cloga,jtratner,1,2,1,2014-03,0,0,1
cloga,sinhrks,2,3,1,2015-08,0,0,0
clstaudt,jreback,1,2,1,2015-11,0,0,0
clstaudt,tacaswell,1,2,1,2015-11,0,0,0
clytemnestra,WillAyd,0,2,1,2018-07,0,0,0
clytemnestra,jreback,1,2,1,2018-07,0,0,1
cmazzullo,TomAugspurger,1,2,1,2016-06,0,0,1
cmazzullo,TomAugspurger,1,3,1,2017-09,0,0,0
cmazzullo,codecov-io,0,2,1,2016-06,0,0,0
cmazzullo,codecov[bot],4,4,1,2017-10,0,0,0
cmazzullo,gfyoung,2,3,1,2017-10,0,0,0
cmazzullo,jasonzutty,2,3,1,2017-09,0,0,0
cmazzullo,jorisvandenbossche,2,3,1,2017-10,0,0,0
cmazzullo,jorisvandenbossche,2,3,1,2017-11,0,0,0
cmazzullo,jreback,0,2,1,2016-06,0,0,0
cmazzullo,jreback,6,5,1,2017-10,0,0,0
cmazzullo,jreback,4,6,2,2017-11,0,0,0
cmazzullo,jreback,1,3,1,2017-12,0,0,0
cmazzullo,pep8speaks,0,3,1,2017-10,0,0,0
cmeeren,jorisvandenbossche,21,18,2,2015-01,0,0,2
cmeeren,jorisvandenbossche,1,2,1,2015-02,0,0,0
cmeeren,jreback,18,11,1,2015-01,0,0,2
cmeeren,jreback,103,39,2,2015-06,10,0,6
cmeeren,shoyer,9,23,2,2015-06,6,0,3
cmohl2013,TomAugspurger,1,3,1,2017-05,0,0,0
cmohl2013,codecov[bot],1,3,1,2017-05,0,0,0
cmohl2013,codecov[bot],4,5,1,2017-06,0,0,0
cmohl2013,jreback,1,3,1,2017-05,0,0,0
cmohl2013,jreback,2,4,1,2017-07,0,0,0
cmohl2013,toobaz,3,5,1,2017-07,0,0,1
cneerdaels,jreback,3,5,1,2017-04,0,0,0
cod3monk,jreback,1,2,1,2016-07,0,0,0
code-o-swagger,jorisvandenbossche,1,2,1,2017-06,0,0,1
codeape2,lodagro,0,4,1,2012-09,1,0,0
codeape2,mrjbq7,0,2,1,2012-09,0,0,0
codeape2,wesm,6,10,2,2012-09,2,0,0
codeape2,wesm,1,2,1,2012-10,0,0,0
codeape2,wuan,0,2,1,2012-10,0,0,0
codecov-io,Dr-Irv,2,6,2,2016-12,0,0,0
codecov-io,Dr-Irv,1,3,1,2017-01,0,0,0
codecov-io,Dr-Irv,1,4,1,2017-02,0,0,0
codecov-io,FrancescAlted,3,9,1,2017-02,0,0,0
codecov-io,GeraintDuck,1,2,1,2016-06,0,0,0
codecov-io,GuessWhoSamFoo,1,2,1,2017-02,0,0,0
codecov-io,IamJeffG,2,4,1,2016-06,0,0,0
codecov-io,IamJeffG,0,2,1,2016-07,0,0,0
codecov-io,JGoutin,3,5,1,2017-01,0,0,0
codecov-io,JaviSorribes,1,2,1,2017-02,0,0,0
codecov-io,Liam3851,0,2,1,2016-10,0,0,0
codecov-io,MLopez-Ibanez,0,4,1,2017-03,0,0,0
codecov-io,OXPHOS,0,3,1,2016-03,0,0,0
codecov-io,OXPHOS,6,9,2,2016-08,0,0,0
codecov-io,OXPHOS,2,5,1,2016-09,0,0,0
codecov-io,QuLogic,5,7,2,2017-02,0,0,0
codecov-io,ResidentMario,9,15,3,2017-02,0,0,0
codecov-io,ResidentMario,3,11,2,2017-03,0,0,1
codecov-io,RodolfoRFR,1,3,1,2016-12,0,0,0
codecov-io,RogerThomas,1,3,1,2016-05,0,0,0
codecov-io,RogerThomas,4,5,1,2016-12,0,0,0
codecov-io,RogerThomas,1,3,1,2017-02,0,0,0
codecov-io,Rufflewind,1,2,1,2017-01,0,0,0
codecov-io,ShaharBental,0,2,1,2016-12,0,0,0
codecov-io,StephenKappel,1,2,1,2016-05,0,0,0
codecov-io,StephenKappel,1,2,1,2016-06,0,0,0
codecov-io,TomAugspurger,1,2,1,2016-03,0,0,0
codecov-io,TomAugspurger,2,6,3,2016-04,0,0,0
codecov-io,TomAugspurger,2,3,1,2016-05,0,0,0
codecov-io,TomAugspurger,14,28,9,2016-06,0,0,0
codecov-io,TomAugspurger,3,16,8,2016-07,0,0,0
codecov-io,TomAugspurger,3,9,4,2016-08,0,0,0
codecov-io,TomAugspurger,4,7,3,2016-09,0,0,0
codecov-io,TomAugspurger,2,3,1,2016-10,0,0,0
codecov-io,TomAugspurger,3,14,6,2016-11,1,0,0
codecov-io,TomAugspurger,7,17,6,2016-12,0,0,0
codecov-io,TomAugspurger,8,15,5,2017-01,0,0,0
codecov-io,TomAugspurger,3,5,2,2017-02,0,0,0
codecov-io,TomAugspurger,9,19,5,2017-03,0,0,1
codecov-io,TrigonaMinima,3,5,1,2017-01,0,0,0
codecov-io,TrigonaMinima,10,15,3,2017-02,0,0,0
codecov-io,Tux1,3,4,1,2016-06,0,0,0
codecov-io,Tux1,2,3,1,2016-11,0,0,0
codecov-io,WillAyd,3,4,1,2016-08,0,0,0
codecov-io,Winand,0,2,1,2016-04,0,0,0
codecov-io,Winand,3,5,2,2016-05,0,0,0
codecov-io,Xbar,6,8,1,2016-03,0,0,0
codecov-io,codecov[bot],1,2,1,2018-02,0,0,0
codecov-io,codecov[bot],2,3,1,2018-05,0,0,0
codecov-io,conquistador1492,1,2,1,2016-08,0,0,0
codecov-io,cpcloud,1,2,1,2017-01,0,0,0
codecov-io,cpcloud,1,2,1,2017-02,0,0,0
codecov-io,cr3,1,2,1,2016-08,0,0,0
codecov-io,csizsek,2,5,1,2017-02,0,0,0
codecov-io,cswarth,4,6,2,2016-06,0,0,0
codecov-io,cswarth,0,3,1,2016-09,0,0,0
codecov-io,dancsi,3,6,1,2016-05,0,0,0
codecov-io,delgadom,1,7,2,2017-03,0,0,0
codecov-io,denfromufa,1,2,1,2016-11,0,0,0
codecov-io,dhimmel,8,14,3,2016-11,0,0,0
codecov-io,dhimmel,2,5,1,2016-12,0,0,0
codecov-io,dickreuter,2,3,1,2016-10,0,0,0
codecov-io,dickreuter,4,6,1,2016-11,0,0,0
codecov-io,discort,0,2,1,2017-01,0,0,0
codecov-io,dsm054,1,2,1,2017-01,0,0,0
codecov-io,dubourg,2,3,1,2016-10,0,0,0
codecov-io,eddiejessup,1,2,1,2016-05,0,0,0
codecov-io,eric-wieser,3,7,1,2017-02,0,0,0
codecov-io,erikcs,4,11,1,2016-12,0,0,0
codecov-io,evanpw,0,3,1,2016-06,0,0,0
codecov-io,evectant,2,3,1,2016-05,0,0,0
codecov-io,facaiy,2,3,1,2016-05,0,0,0
codecov-io,fmarczin,0,2,1,2016-05,0,0,0
codecov-io,gfyoung,3,7,2,2016-03,0,0,0
codecov-io,gfyoung,8,28,3,2016-04,2,1,0
codecov-io,gfyoung,25,42,8,2016-05,0,0,0
codecov-io,gfyoung,31,63,12,2016-06,0,0,0
codecov-io,gfyoung,48,86,22,2016-07,0,0,0
codecov-io,gfyoung,12,30,13,2016-08,0,0,0
codecov-io,gfyoung,15,29,5,2016-09,0,0,0
codecov-io,gfyoung,14,28,6,2016-10,0,0,0
codecov-io,gfyoung,20,31,8,2016-11,0,0,0
codecov-io,gfyoung,46,72,18,2016-12,0,0,0
codecov-io,gfyoung,14,22,4,2017-01,0,0,0
codecov-io,gfyoung,1,4,1,2017-02,0,0,0
codecov-io,gfyoung,0,5,2,2017-03,0,0,0
codecov-io,gliptak,10,16,3,2016-05,0,0,0
codecov-io,gliptak,1,2,1,2016-06,0,0,0
codecov-io,gnestor,1,3,1,2017-01,0,0,0
codecov-io,goldenbull,0,3,1,2016-05,0,0,0
codecov-io,groutr,1,3,1,2017-02,0,0,0
codecov-io,grutts,1,3,1,2016-12,0,0,0
codecov-io,gte620v,5,9,1,2016-07,0,0,0
codecov-io,harshul1610,0,2,1,2016-06,0,0,0
codecov-io,holdenk,1,2,1,2017-01,0,0,0
codecov-io,horta,3,9,2,2017-02,0,0,0
codecov-io,hzpc-joostk,3,8,1,2017-01,0,0,0
codecov-io,iamsimha,1,2,1,2016-07,0,0,0
codecov-io,icanhazcodeplz,0,2,1,2016-11,0,0,0
codecov-io,ikilledthecat,4,7,1,2017-02,0,0,0
codecov-io,ischurov,2,4,1,2016-12,0,0,0
codecov-io,ivallesp,4,5,1,2016-10,0,0,0
codecov-io,ivannz,10,19,3,2016-07,0,0,0
codecov-io,ivannz,1,2,1,2016-08,0,0,0
codecov-io,j-santander,0,2,1,2016-11,1,0,0
codecov-io,jaehoonhwang,3,8,1,2017-03,0,0,3
codecov-io,jakevdp,2,3,1,2016-04,0,0,0
codecov-io,jalexvig,1,2,1,2016-07,0,0,0
codecov-io,jankatins,0,2,1,2016-05,0,0,0
codecov-io,jankatins,0,3,1,2016-06,0,0,0
codecov-io,jankatins,4,8,2,2016-07,0,0,0
codecov-io,jbradt,3,5,1,2017-02,0,0,0
codecov-io,jcrist,1,2,1,2016-07,0,0,0
codecov-io,jeffcarey,2,4,1,2016-11,0,0,0
codecov-io,jeffcarey,1,4,2,2016-12,0,0,0
codecov-io,jeffcarey,1,3,1,2017-01,0,0,0
codecov-io,jeffcarey,1,3,1,2017-02,0,0,0
codecov-io,jennolsen84,4,7,2,2016-05,0,0,0
codecov-io,jgoppert,4,9,1,2017-01,0,0,0
codecov-io,jnothman,4,6,1,2017-02,0,0,0
codecov-io,jojomdt,1,2,1,2017-02,0,0,0
codecov-io,jonmmease,13,19,4,2016-10,0,0,0
codecov-io,jonmmease,1,2,1,2016-12,0,0,0
codecov-io,jorisvandenbossche,0,5,2,2016-04,0,0,0
codecov-io,jorisvandenbossche,5,10,5,2016-05,0,0,0
codecov-io,jorisvandenbossche,28,59,17,2016-06,0,0,0
codecov-io,jorisvandenbossche,77,177,63,2016-07,0,0,0
codecov-io,jorisvandenbossche,52,115,42,2016-08,0,0,0
codecov-io,jorisvandenbossche,18,36,15,2016-09,0,0,0
codecov-io,jorisvandenbossche,52,102,36,2016-10,0,0,0
codecov-io,jorisvandenbossche,30,69,25,2016-11,0,0,1
codecov-io,jorisvandenbossche,40,87,35,2016-12,0,0,0
codecov-io,jorisvandenbossche,23,53,17,2017-01,0,0,0
codecov-io,jorisvandenbossche,19,51,20,2017-02,0,0,0
codecov-io,jorisvandenbossche,19,67,21,2017-03,1,0,8
codecov-io,joshowen,1,2,1,2016-10,0,0,0
codecov-io,joshowen,2,6,2,2016-11,1,0,0
codecov-io,joshuastorck,2,3,1,2016-06,0,0,0
codecov-io,jowens,0,3,1,2017-01,0,0,0
codecov-io,jreback,23,44,9,2016-03,0,0,0
codecov-io,jreback,30,87,16,2016-04,9,1,0
codecov-io,jreback,130,224,57,2016-05,0,0,1
codecov-io,jreback,116,209,52,2016-06,0,0,0
codecov-io,jreback,187,311,97,2016-07,0,0,0
codecov-io,jreback,157,280,91,2016-08,0,0,0
codecov-io,jreback,68,118,35,2016-09,0,0,0
codecov-io,jreback,73,130,48,2016-10,0,0,0
codecov-io,jreback,77,164,45,2016-11,0,0,8
codecov-io,jreback,161,273,80,2016-12,0,0,0
codecov-io,jreback,132,222,55,2017-01,0,0,1
codecov-io,jreback,168,292,61,2017-02,0,0,1
codecov-io,jreback,70,198,43,2017-03,5,0,17
codecov-io,jreback,1,2,1,2018-02,0,0,0
codecov-io,jreback,1,2,1,2018-05,0,0,0
codecov-io,js3711,1,2,1,2017-01,0,0,0
codecov-io,jzwinck,3,7,3,2016-08,0,0,0
codecov-io,kamal94,3,5,2,2016-12,0,0,0
codecov-io,kawochen,2,3,1,2016-03,0,0,0
codecov-io,kawochen,1,2,1,2016-04,0,0,0
codecov-io,kawochen,2,4,2,2016-05,0,0,0
codecov-io,kdebrab,1,2,1,2016-05,0,0,0
codecov-io,kernc,4,8,1,2016-08,0,0,0
codecov-io,kernc,2,8,3,2017-02,0,0,0
codecov-io,keshavramaswamy,4,6,2,2016-10,0,0,0
codecov-io,keshavramaswamy,4,5,1,2016-12,0,0,0
codecov-io,kshedden,2,3,1,2016-09,0,0,0
codecov-io,kshedden,1,2,1,2016-11,0,0,0
codecov-io,ksindi,2,3,1,2016-07,0,0,0
codecov-io,laudney,8,11,1,2016-10,0,0,0
codecov-io,lewisacidic,2,7,1,2016-08,0,0,0
codecov-io,limx0,1,2,1,2016-07,0,0,0
codecov-io,llllllllll,7,10,2,2016-09,0,0,0
codecov-io,llllllllll,4,5,1,2016-10,0,0,0
codecov-io,llllllllll,4,6,2,2016-11,0,0,0
codecov-io,llllllllll,1,3,1,2017-01,0,0,0
codecov-io,lstout,1,2,1,2016-06,0,0,0
codecov-io,luca-s,1,3,1,2016-11,0,0,0
codecov-io,luca-s,1,4,1,2017-02,0,0,1
codecov-io,m-charlton,4,6,2,2016-12,0,0,0
codecov-io,maciejkula,1,4,1,2016-11,0,0,0
codecov-io,mandel01,1,2,1,2017-03,0,0,0
codecov-io,manuels,1,2,1,2017-01,0,0,0
codecov-io,martindurant,1,2,1,2016-12,0,0,0
codecov-io,mattayes,1,2,1,2017-01,0,0,0
codecov-io,matthagy,0,2,1,2016-12,0,0,0
codecov-io,mattip,1,2,1,2016-11,0,0,0
codecov-io,mattip,5,6,1,2017-01,0,0,0
codecov-io,max-sixty,1,4,1,2016-05,0,0,0
codecov-io,max-sixty,1,4,2,2016-06,0,0,0
codecov-io,max-sixty,1,2,1,2016-07,0,0,0
codecov-io,max-sixty,0,2,1,2016-08,0,0,0
codecov-io,max-sixty,1,3,1,2016-11,0,0,0
codecov-io,max-sixty,6,9,2,2016-12,0,0,0
codecov-io,max-sixty,3,7,3,2017-01,0,0,0
codecov-io,maxu777,0,7,1,2016-04,1,0,0
codecov-io,mayukh18,1,2,1,2017-03,0,0,1
codecov-io,mbrucher,7,10,1,2016-06,0,0,0
codecov-io,mcocdawc,1,8,1,2017-03,0,0,0
codecov-io,medullaskyline,5,9,1,2016-05,0,0,0
codecov-io,mgeier,1,3,1,2017-03,0,0,0
codecov-io,mhaseebtariq,2,5,1,2016-07,0,0,0
codecov-io,michaelaye,4,6,1,2016-05,0,0,0
codecov-io,mikegraham,3,10,2,2016-11,0,0,2
codecov-io,mikegraham,1,4,1,2017-01,0,0,0
codecov-io,minrk,0,2,1,2017-01,0,0,0
codecov-io,mortada,0,2,1,2016-03,0,0,0
codecov-io,mpuels,1,4,1,2016-07,0,0,0
codecov-io,mralgos,2,3,1,2017-01,0,0,0
codecov-io,mrocklin,1,2,1,2016-06,0,0,0
codecov-io,mrocklin,1,2,1,2016-09,0,0,0
codecov-io,mrocklin,0,4,1,2016-11,0,0,0
codecov-io,mrocklin,1,2,1,2016-12,0,0,0
codecov-io,mrocklin,0,2,1,2017-02,0,0,0
codecov-io,mroeschke,7,14,5,2016-11,0,0,0
codecov-io,mroeschke,12,26,10,2016-12,0,0,0
codecov-io,mroeschke,8,14,4,2017-01,0,0,0
codecov-io,mroeschke,4,7,1,2017-02,0,0,0
codecov-io,mroeschke,1,2,1,2017-03,0,0,0
codecov-io,multiloc,3,4,1,2016-05,0,0,0
codecov-io,nateGeorge,0,2,1,2016-08,0,0,0
codecov-io,nateyoder,2,6,1,2016-10,0,0,0
codecov-io,nateyoder,0,2,1,2016-12,0,0,0
codecov-io,nateyoder,1,2,1,2017-01,0,0,0
codecov-io,nathalier,0,2,1,2016-11,0,0,0
codecov-io,nbonnotte,1,2,1,2016-05,0,0,0
codecov-io,nbonnotte,0,2,1,2016-06,0,0,0
codecov-io,nbonnotte,0,2,1,2016-08,0,0,0
codecov-io,nbonnotte,1,2,1,2016-10,0,0,0
codecov-io,nbonnotte,6,7,1,2017-01,0,0,0
codecov-io,nchmura4,6,7,1,2016-11,0,0,0
codecov-io,necnec,2,4,1,2016-11,0,0,0
codecov-io,nparley,4,7,1,2016-05,0,0,0
codecov-io,nparley,5,10,2,2016-06,0,0,0
codecov-io,nparley,1,2,1,2016-09,0,0,0
codecov-io,olebole,1,2,1,2016-07,0,0,0
codecov-io,orivej,1,3,1,2016-11,0,0,0
codecov-io,palewire,2,4,1,2016-12,0,0,0
codecov-io,palewire,3,4,1,2017-01,0,0,0
codecov-io,palewire,1,4,1,2017-02,0,0,0
codecov-io,parthea,2,5,1,2016-05,0,0,0
codecov-io,parthea,0,2,1,2016-06,0,0,0
codecov-io,parthea,1,5,2,2016-07,0,0,1
codecov-io,parthea,5,10,1,2016-08,0,0,0
codecov-io,parthea,5,7,1,2016-09,0,0,0
codecov-io,parthea,0,2,1,2016-11,0,0,0
codecov-io,parthea,1,2,1,2017-02,0,0,0
codecov-io,paul-mannino,1,2,1,2016-10,0,0,0
codecov-io,pep8speaks,0,2,1,2018-05,0,0,0
codecov-io,perryvais,1,2,1,2016-05,0,0,0
codecov-io,pfrcks,7,8,1,2016-05,0,0,0
codecov-io,pfrcks,2,3,1,2016-06,0,0,0
codecov-io,pganssle,4,10,1,2016-11,0,0,0
codecov-io,pijucha,2,3,1,2016-05,0,0,0
codecov-io,pijucha,6,9,1,2016-06,0,0,0
codecov-io,pijucha,12,16,2,2016-07,0,0,0
codecov-io,pijucha,1,2,1,2016-09,0,0,0
codecov-io,pijucha,1,4,1,2016-11,0,0,1
codecov-io,proinsias,1,2,1,2016-07,0,0,0
codecov-io,pv,2,3,1,2016-07,0,0,0
codecov-io,pwalsh,4,5,1,2017-01,0,0,0
codecov-io,qAp,0,2,1,2017-02,0,0,0
codecov-io,quintusdias,1,2,1,2016-04,0,0,0
codecov-io,ravinimmi,2,5,2,2016-06,0,0,0
codecov-io,redbullpeter,1,3,1,2017-02,0,0,0
codecov-io,rforgione,2,5,1,2016-12,0,0,0
codecov-io,rgbkrk,4,8,1,2017-01,0,0,0
codecov-io,rgbkrk,3,4,1,2017-03,0,0,0
codecov-io,rkern,1,2,1,2016-05,0,0,0
codecov-io,robertwb,1,2,1,2016-10,0,0,0
codecov-io,rockg,1,2,1,2016-05,0,0,0
codecov-io,rockg,3,6,2,2016-11,0,0,0
codecov-io,rouzazari,2,8,3,2017-01,0,0,0
codecov-io,rouzazari,3,5,1,2017-02,0,0,0
codecov-io,rouzazari,0,2,1,2017-03,0,0,0
codecov-io,rs2,0,8,1,2016-04,1,0,0
codecov-io,rsmith54,3,4,1,2016-09,0,0,0
codecov-io,sahildua2305,0,2,1,2016-07,0,0,0
codecov-io,sahildua2305,2,3,1,2016-10,0,0,0
codecov-io,scajanus,0,2,1,2016-11,0,0,0
codecov-io,scls19fr,2,3,1,2016-12,0,0,0
codecov-io,seanlaw,0,2,1,2016-07,0,0,0
codecov-io,sgsaenger,0,2,1,2016-09,0,0,0
codecov-io,shawnheide,4,15,4,2016-07,0,0,0
codecov-io,shawnheide,0,2,1,2016-10,0,0,0
codecov-io,shoyer,1,3,1,2016-03,0,0,0
codecov-io,shoyer,2,5,2,2016-04,0,0,0
codecov-io,shoyer,1,8,2,2016-05,0,0,0
codecov-io,shoyer,3,9,3,2016-06,0,0,0
codecov-io,shoyer,1,8,4,2016-07,0,0,0
codecov-io,shoyer,7,13,5,2016-08,0,0,0
codecov-io,shoyer,2,4,1,2016-09,0,0,0
codecov-io,shoyer,2,3,1,2016-10,0,0,0
codecov-io,shoyer,0,4,2,2017-01,0,0,0
codecov-io,shoyer,5,12,4,2017-02,0,0,0
codecov-io,shoyer,5,9,2,2017-03,0,0,5
codecov-io,sinhrks,4,7,2,2016-03,0,0,0
codecov-io,sinhrks,2,9,3,2016-04,0,0,0
codecov-io,sinhrks,6,11,4,2016-05,0,0,0
codecov-io,sinhrks,9,15,6,2016-06,0,0,0
codecov-io,sinhrks,29,64,25,2016-07,0,0,0
codecov-io,sinhrks,29,54,18,2016-08,0,0,0
codecov-io,sinhrks,4,8,4,2016-10,0,0,0
codecov-io,sinhrks,1,4,2,2016-11,0,0,0
codecov-io,sinhrks,2,8,4,2016-12,0,0,0
codecov-io,sinhrks,1,3,1,2017-01,0,0,0
codecov-io,smoofra,1,2,1,2016-08,0,0,0
codecov-io,ssanderson,2,4,1,2016-09,0,0,0
codecov-io,ssanderson,4,5,1,2016-12,0,0,0
codecov-io,ssanderson,3,5,1,2017-01,0,0,0
codecov-io,ssikdar1,7,9,1,2018-05,0,0,0
codecov-io,sstanovnik,4,6,1,2016-07,0,0,0
