a1,a2,c,co_cmt_cnt,co_issue_cnt,date,ic,nc,pc
ARF1,jorisvandenbossche,4,6,1,2015-04,0,0,4
ARF1,jorisvandenbossche,0,5,2,2015-05,1,0,0
ARF1,jreback,14,22,3,2015-04,3,0,9
ARF1,jreback,3,8,3,2015-05,0,0,2
ARF1,shoyer,17,25,4,2015-04,4,0,11
ARF1,shoyer,0,4,2,2015-05,0,0,0
ATPs,WillAyd,1,2,1,2018-08,0,0,0
AVI18794,jorisvandenbossche,1,2,1,2018-11,0,0,0
AaronCritchley,TomAugspurger,1,2,1,2018-02,0,0,1
AaronCritchley,TomAugspurger,0,4,1,2018-03,0,0,0
AaronCritchley,codecov[bot],1,2,1,2017-11,0,0,0
AaronCritchley,codecov[bot],0,2,1,2017-12,0,0,0
AaronCritchley,codecov[bot],0,2,1,2018-02,0,0,0
AaronCritchley,datapythonista,0,2,1,2018-09,0,0,0
AaronCritchley,jreback,2,3,1,2017-11,0,0,0
AaronCritchley,jreback,0,5,2,2017-12,0,0,0
AaronCritchley,jreback,0,5,1,2018-03,0,0,0
AaronCritchley,jreback,2,3,1,2018-04,0,0,0
AaronCritchley,jreback,0,2,1,2018-09,0,0,0
AaronCritchley,pep8speaks,1,2,1,2018-02,0,0,1
AaronCritchley,pep8speaks,0,2,1,2018-09,0,0,0
AaronCritchley,topper-123,0,2,1,2018-02,0,0,0
AaronNBrock,TomAugspurger,2,4,1,2018-03,0,0,1
AashitaK,brianhuey,9,11,1,2017-03,0,0,4
AashitaK,jorisvandenbossche,1,3,1,2017-03,0,0,0
AashitaK,jreback,10,12,1,2017-03,0,0,4
AbdealiJK,Make42,1,2,1,2017-11,0,0,0
AbdealiJK,TomAugspurger,2,6,2,2017-11,0,0,0
AbdealiJK,codecov[bot],6,5,1,2017-11,0,0,0
AbdealiJK,codecov[bot],1,3,1,2017-12,0,0,0
AbdealiJK,jorisvandenbossche,1,3,1,2017-12,0,0,0
AbdealiJK,jreback,12,14,3,2017-11,0,0,0
AbdealiJK,pep8speaks,0,4,1,2017-11,0,0,0
AbdealiJK,pep8speaks,1,3,1,2017-12,0,0,0
AbdouSeck,jbrockmendel,1,2,1,2018-10,0,0,0
AbdouSeck,mroeschke,1,3,1,2018-10,0,0,0
AbeHandler,jorisvandenbossche,2,4,1,2016-02,0,0,2
AbeHandler,jreback,1,7,1,2016-02,0,0,1
AbeHandler,max-sixty,0,4,1,2016-02,0,0,0
AbeHandler,nickeubank,0,3,1,2016-02,1,0,0
AbhishekAshokDubey,WillAyd,0,2,1,2018-08,0,0,0
Acanthostega,cpcloud,10,18,3,2014-04,0,0,0
Acanthostega,jorisvandenbossche,33,21,2,2014-04,4,0,8
Acanthostega,jreback,10,8,1,2014-04,0,0,0
AdamGleave,TomAugspurger,1,2,1,2017-06,0,0,0
AdamGleave,codecov[bot],2,3,1,2017-06,0,0,0
AdamGleave,dsm054,0,2,1,2017-06,0,0,0
AdamGleave,jorisvandenbossche,1,2,1,2016-11,0,0,0
AdamGleave,jreback,0,3,1,2017-06,0,0,0
AdamGleave,jreback,3,4,1,2017-07,0,0,0
AdamHede,chris-b1,0,3,1,2017-08,0,0,0
AdamHede,jreback,0,3,1,2017-08,0,0,0
AdamHede,pratapvardhan,0,4,1,2017-08,0,0,0
AdamShamlian,TomAugspurger,2,3,1,2017-10,0,0,2
AdamShamlian,codecov[bot],2,3,1,2017-10,0,0,0
AdamShamlian,jreback,1,2,1,2017-10,0,0,0
Adirio,codecov[bot],0,2,1,2018-10,0,0,0
Adirio,jbrockmendel,0,2,1,2018-10,0,0,0
Adirio,jreback,0,2,1,2018-10,0,0,0
Adirio,mroeschke,1,5,2,2018-10,0,0,0
Adirio,pep8speaks,0,2,1,2018-10,0,0,0
AdrianTeng,jreback,2,3,1,2017-05,0,0,0
Adrienlq,jorisvandenbossche,1,3,1,2018-03,0,0,0
Adrienlq,pep8speaks,1,2,1,2018-03,0,0,0
Aerlinger,TomAugspurger,0,2,1,2016-06,0,0,0
Aerlinger,jorisvandenbossche,1,2,1,2016-06,0,0,1
AeroWRX,juseg,1,2,1,2018-07,0,0,0
Aico,stephenwlin,6,5,1,2013-02,0,0,0
Airatvi,TomAugspurger,1,3,1,2018-02,0,0,0
Airatvi,Yalniza,1,2,1,2018-02,0,0,0
Ajeet-Ganga,jreback,6,5,1,2016-12,0,0,0
Ako520,jorisvandenbossche,1,2,1,2018-04,0,0,0
Ako520,neo01124,1,2,1,2018-04,0,0,0
AlJohri,jreback,0,4,1,2016-02,0,0,0
AlbertDeFusco,TomAugspurger,2,4,1,2017-12,0,0,1
AlbertDeFusco,jorisvandenbossche,1,4,1,2017-05,0,0,1
AlbertDeFusco,minhouse,1,4,1,2017-05,0,0,1
Alex-qin,jorisvandenbossche,0,3,1,2017-08,1,0,0
AlexHentschel,chris-b1,1,3,1,2017-12,0,0,0
AlexHentschel,jreback,1,3,1,2017-12,0,0,0
AlexRiina,mroeschke,0,2,1,2019-03,0,0,0
AlexTheProgrammer,jreback,1,4,1,2017-01,0,0,1
AlexTheProgrammer,sdementen,0,4,1,2017-01,1,0,0
Alexander-Shukaev,TomAugspurger,16,11,1,2018-11,1,1,0
AlexanderKUA,jreback,1,2,1,2015-01,0,0,0
AlexandreDecan,TomAugspurger,4,6,1,2018-11,0,0,0
AlexandreDecan,TomAugspurger,2,3,1,2019-03,0,0,0
AlexandreDecan,WillAyd,2,5,1,2019-02,1,0,0
AlexandreDecan,codecov[bot],4,4,1,2018-12,0,0,0
AlexandreDecan,jbrockmendel,2,5,1,2018-11,0,0,0
AlexandreDecan,jbrockmendel,4,4,1,2018-12,0,0,0
AlexandreDecan,jreback,2,3,1,2018-12,0,0,0
AlexandreDecan,jreback,2,3,1,2019-03,0,0,0
AlexandreDecan,jreback,8,6,1,2019-04,0,0,0
AlexandreDecan,pep8speaks,0,2,1,2018-11,0,0,0
Alexis-benoist,TomAugspurger,3,4,1,2015-07,0,0,0
Alexis-benoist,jreback,12,10,2,2015-07,0,0,0
Alexis-benoist,kawochen,3,4,1,2015-07,0,0,0
Alexis-benoist,tarikd,3,4,1,2015-07,0,0,0
AlexisMignon,TomAugspurger,0,3,1,2017-05,2,0,0
AlexisMignon,codecov-io,0,2,1,2016-09,0,0,0
AlexisMignon,jreback,0,2,1,2016-09,0,0,0
AlexisMignon,jreback,2,3,1,2016-12,0,0,0
AlexisMignon,jreback,0,2,1,2017-05,0,0,0
AlistairMills,WillAyd,1,3,1,2018-04,0,0,1
AlistairMills,jreback,1,2,1,2018-04,0,0,0
AllanLRH,TomAugspurger,1,3,1,2019-02,0,0,0
AllanLRH,WillAyd,1,3,1,2019-02,0,0,0
AllanLRH,gfyoung,2,4,1,2019-02,0,0,0
AllanLRH,jreback,2,4,1,2019-02,0,0,0
AllenDowney,BranYang,0,2,1,2017-06,1,0,0
AllenDowney,TomAugspurger,4,7,1,2014-05,1,0,2
AllenDowney,TomAugspurger,5,9,2,2017-07,0,0,2
AllenDowney,WillAyd,0,2,1,2018-07,0,0,0
AllenDowney,chris-b1,0,2,1,2017-06,0,0,0
AllenDowney,chris-b1,0,2,1,2017-07,0,0,0
AllenDowney,jorisvandenbossche,0,2,1,2014-05,0,0,0
AllenDowney,jreback,10,18,4,2014-05,0,0,0
AllenDowney,jreback,16,8,1,2014-06,0,0,0
AllenDowney,jreback,1,2,1,2014-08,0,0,1
AllenDowney,jreback,4,14,2,2014-09,0,0,3
AllenDowney,jreback,1,2,1,2017-06,0,0,1
AllenDowney,jreback,8,8,1,2017-07,0,0,2
AllenDowney,jtratner,1,3,1,2014-09,0,0,0
AllenDowney,makbigc,0,2,1,2018-07,0,0,0
AllenDowney,marco-giancotti,0,2,1,2014-08,0,0,0
AllenDowney,onesandzeroes,1,3,1,2014-09,0,0,1
AllenDowney,seth-p,5,12,1,2014-09,0,0,5
AllenDowney,stahlous,0,11,1,2014-09,1,0,0
AllenDowney,tyler-abbot,0,2,1,2015-06,0,0,0
Altons,wesm,1,3,1,2011-09,0,0,1
Altons,wesm,7,10,1,2011-10,4,2,2
Amaelb,jorisvandenbossche,2,4,1,2016-11,0,0,2
Amaelb,jreback,2,4,1,2016-11,0,0,2
Amyunimus,joelostblom,1,2,1,2014-07,0,0,0
Amyunimus,jreback,1,2,1,2014-04,0,0,0
Amyunimus,jreback,3,4,1,2014-07,0,0,0
