name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
jreback,rouzazari,20171,0.07,0.07,0.07,0.0,1.0,0.5,1,1,1,0,1,9
jreback,roveo,20140,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
jreback,roycoding,20160,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,rpetchler,20141,0.5,0.0,0.5,0.0,1.0,1.0,2,0,2,0,1,5
jreback,rredburn,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,rs2,20160,0.7225,0.0,0.0,0.0,1.0,1.0,60,0,0,0,4,25
jreback,rs2,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,rs2,20190,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
jreback,rs481,20171,0.33,0.0,0.0,0.0,1.0,0.6699999999999999,1,0,0,0,1,4
jreback,rsdenijs,20160,0.6675,0.0,0.0,0.0,1.0,0.9175,14,0,0,0,4,17
jreback,rsheftel,20170,0.33,0.0,0.0,0.0,1.0,0.6699999999999999,3,0,0,0,1,6
jreback,rsignell-usgs,20171,0.88,0.0,0.0,0.0,1.0,1.0,7,0,0,0,1,9
jreback,rsignell-usgs,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,rsmith31415,20131,1.0,0.0,0.0,0.0,1.0,1.0,12,0,0,0,1,7
jreback,rsmith54,20161,0.375,0.0,0.0,0.0,1.0,1.0,9,0,0,0,2,9
jreback,rspadim,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,rspeer,20160,0.3,0.25,0.0,0.0,0.75,0.9,12,1,0,0,2,12
jreback,rspeer,20170,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
jreback,rstoneback,20141,0.53,0.07,0.0,0.0,0.8,1.0,16,2,0,0,1,13
jreback,rth,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,rth,20181,0.5,0.16666666666666666,0.16666666666666666,0.0,1.0,0.6666666666666666,3,1,1,0,3,9
jreback,rth,20190,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,7
jreback,rtkaleta,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,rtkaleta,20171,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
jreback,rtlee9,20181,0.38,0.12,0.12,0.0,1.0,0.75,3,1,1,0,1,6
jreback,rtotheb2000,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,rubennj,20150,0.835,0.0,0.0,0.0,1.0,0.835,3,0,0,0,2,6
jreback,rubennj,20151,0.67,0.0,0.0,0.0,1.0,1.0,12,0,0,0,1,9
jreback,rubennj,20160,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
jreback,ruiann,20171,0.83,0.0,0.0,0.0,1.0,0.83,25,0,0,0,1,11
jreback,ruidc,20130,0.33,0.17,0.0,0.0,0.6699999999999999,1.0,18,9,0,0,1,15
jreback,ruidc,20131,0.54,0.060000000000000005,0.07,0.0,0.89,0.8666666666666667,106,3,7,0,3,37
jreback,ruidc,20140,0.5766666666666667,0.02,0.14666666666666667,0.006666666666666667,0.9,0.9700000000000001,124,4,14,2,3,47
jreback,ruidc,20141,1.0,0.0,0.0,0.0,1.0,1.0,26,0,0,0,3,19
jreback,ruidc,20151,0.79,0.0,0.02,0.0,1.0,0.9333333333333332,68,0,2,0,3,32
jreback,rumbin,20160,0.8,0.0,0.0,0.0,0.8,1.0,4,0,0,0,1,6
jreback,ruoyu0088,20150,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,2,4
jreback,ruoyu0088,20160,1.0,0.0,0.0,0.0,1.0,1.0,17,0,0,0,2,11
jreback,rupav,20180,0.17,0.17,0.17,0.0,0.83,1.0,1,1,1,0,1,7
jreback,russlamb,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,rustyrazorblade,20151,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
jreback,rv816,20160,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
jreback,ryanbressler,20171,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
