name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
1N50MN14,murgatroid99,20160,1.0,0.75,12,1,0,0,1,9
AVVS,keslerm,20160,1.0,1.0,1,0,0,0,1,2
AndrewIngram,hsaliak,20160,1.0,1.0,1,0,0,0,1,2
AndrewIngram,inconshreveable,20160,1.0,1.0,1,0,0,0,1,3
AndrewIngram,nathanielmanistaatgoogle,20160,1.0,1.0,3,0,0,0,1,4
AndrewIngram,therc,20160,1.0,0.0,0,0,0,0,1,2
BelfodilAimene,mickykebe,20160,1.0,1.0,3,0,0,0,1,5
BenchR267,googlebot,20160,1.0,1.0,1,0,1,0,1,3
BenchR267,grpc-kokoro,20160,1.0,1.0,5,0,5,0,2,9
BenchR267,hsaliak,20160,1.0,1.0,2,0,0,0,2,5
BenchR267,jcanizales,20160,1.0,0.93,19,0,1,0,2,16
BenchR267,kouky,20160,1.0,1.0,2,0,0,0,1,4
BenchR267,makdharma,20160,1.0,1.0,6,0,0,0,1,5
BenchR267,olibearo,20160,1.0,1.0,1,0,0,0,1,2
BenchR267,yarnping,20160,1.0,1.0,2,0,0,0,1,3
ChuiIsLive,yang-g,20160,1.0,1.0,1,0,0,0,1,2
DMXRoid,dstore-dbap,20160,1.0,0.5,1,0,0,0,1,3
DMXRoid,garrettjonesgoogle,20160,1.0,1.0,1,0,0,0,1,2
DMXRoid,pavel-odintsov,20160,1.0,0.6699999999999999,2,0,0,0,1,4
DMXRoid,stanley-cheung,20160,1.0,1.0,1,0,0,0,1,2
Dlotan,grpc-kokoro,20160,1.0,1.0,4,0,0,0,1,5
EBouillot,tangjiaxi,20160,1.0,0.0,0,0,0,0,1,2
EBouillot,thunderboltsid,20160,1.0,1.0,1,0,0,0,1,2
F4FXL,hsaliak,20160,1.0,1.0,0,0,0,0,1,2
F4FXL,jtattermusch,20160,1.0,1.0,1,0,1,0,1,4
F4FXL,vsubramani,20160,1.0,1.0,0,0,0,0,1,2
Falco20019,jtattermusch,20160,0.75,0.6666666666666666,1,1,0,0,3,10
FrankGrossmann,jtattermusch,20160,1.0,1.0,2,0,0,0,2,6
Globegitter,mayflaver,20160,1.0,1.0,1,0,0,0,1,2
Globegitter,nathanielmanistaatgoogle,20160,1.0,1.0,3,0,0,0,1,5
Globegitter,soltanmm,20160,1.0,0.75,6,0,0,0,1,9
Globegitter,vinays,20160,1.0,1.0,3,0,0,0,1,7
Globegitter,zj8487,20160,1.0,1.0,1,0,0,0,1,2
GrgrLmml,yang-g,20160,1.0,1.0,0,0,0,0,1,2
GuoJing,hsaliak,20160,0.9,1.0,3,1,1,0,2,9
GuoJing,inconshreveable,20160,1.0,1.0,2,0,0,0,1,6
GuoJing,jaytaylor,20160,1.0,1.0,2,0,0,0,1,3
GuoJing,jtattermusch,20160,1.0,1.0,1,0,0,0,1,2
GuoJing,kasey,20160,1.0,1.0,3,0,0,0,1,4
GuoJing,killpanda,20160,0.9,1.0,5,0,0,0,2,9
