name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
4ntoine,jayantkolhe,20150,1.0,1.0,1,0,0,0,1,2
4ntoine,nicolasnoble,20150,1.0,1.0,1,0,0,0,1,2
4ntoine,tbetbetbe,20150,1.0,1.0,1,0,0,0,1,2
Arkq,googlebot,20150,1.0,1.0,0,0,0,0,1,3
CWSpear,murgatroid99,20150,1.0,0.6699999999999999,4,0,0,0,1,5
GeertJohan,nicolasnoble,20150,1.0,0.0,0,0,0,0,1,2
GeertJohan,sarum9in,20150,1.0,0.5,2,0,0,0,1,5
GeertJohan,wkubiak,20150,1.0,0.5,2,0,0,0,1,5
Harshasa,maxhawkins,20150,1.0,1.0,5,0,0,0,1,7
Harshasa,vjpai,20150,1.0,1.0,3,0,0,0,1,5
Harshasa,yang-g,20150,1.0,1.0,1,0,0,0,2,5
Kavignon,nicolasnoble,20150,1.0,1.0,3,0,0,0,1,4
Kavignon,soltanmm,20150,1.0,1.0,3,0,0,0,1,4
LisaFC,murgatroid99,20150,1.0,1.0,1,0,0,0,1,2
LisaFC,nathanielmanistaatgoogle,20150,1.0,1.0,6,0,0,0,1,5
LisaFC,wilsonwen,20150,1.0,1.0,2,0,0,0,1,3
M-Vivek,nicolasnoble,20150,0.5,1.0,0,1,0,0,2,7
M-Vivek,vjpai,20150,0.6666666666666666,0.8333333333333334,2,2,2,0,3,9
TassoKarkanisADSK,wkubiak,20150,1.0,1.0,0,0,0,0,1,3
a-veitch,ctiller,20150,0.75,0.6875,6,0,0,1,4,15
a-veitch,jcanizales,20150,1.0,1.0,3,0,0,0,1,4
a-veitch,maxwell-demon,20150,1.0,1.0,2,0,0,0,2,4
a11r,ctiller,20150,1.0,1.0,17,0,0,0,5,23
a11r,dgquintas,20150,1.0,1.0,2,0,0,0,1,3
a11r,dklempner,20150,1.0,1.0,2,0,0,0,1,3
a11r,ejona86,20150,1.0,1.0,4,0,0,0,1,4
a11r,googlebot,20150,1.0,1.0,2,0,0,0,1,3
a11r,iamqizhao,20150,1.0,1.0,1,0,0,0,1,2
a11r,murgatroid99,20150,1.0,1.0,1,0,0,0,1,2
a11r,nicolasnoble,20150,1.0,1.0,2,0,0,0,1,3
a11r,rauls5382,20150,1.0,1.0,1,0,0,0,1,3
a11r,soltanmm,20150,1.0,1.0,2,0,0,0,1,3
a11r,vjpai,20150,1.0,1.0,7,0,0,0,2,10
a11r,yang-g,20150,1.0,1.0,3,0,0,0,2,6
alex,kryzthov,20150,1.0,1.0,0,0,0,0,1,2
alex,methane,20150,1.0,1.0,0,0,0,0,1,2
alex,nathanielmanistaatgoogle,20150,0.5,1.0,0,0,0,0,2,5
amyznikov,Harshasa,20150,1.0,1.0,1,0,0,0,1,2
amyznikov,ctiller,20150,1.0,1.0,42,0,0,0,2,21
amyznikov,larsonmpdx,20150,1.0,1.0,7,0,0,0,1,8
amyznikov,maxhawkins,20150,1.0,1.0,12,0,0,0,2,15
amyznikov,murgatroid99,20150,1.0,1.0,2,0,0,0,1,3
amyznikov,vjpai,20150,1.0,1.0,10,0,0,0,2,13
amyznikov,yang-g,20150,1.0,1.0,1,0,0,0,1,3
