source,target,weight
kapilreddy,mrdoob,1
mrdoob,shravanimmy,1
kapilreddy,shravanimmy,1
fabricasapiens,mrdoob,1
mrdoob,pyrotechnick,2
fabricasapiens,pyrotechnick,2
lisajamhoury,WaZz2,1
Jairolaya12x,rdad,1
danbri,rdad,2
alteredq,zz85,8
KrisKringle,mrdoob,1
mrdoob,poudro,3
KrisKringle,poudro,3
Mugen87,poudro,3
mrdoob,Mugen87,1
KrisKringle,Mugen87,1
Jakobud,mrdoob,1
mrdoob,zz85,1
Jakobud,zz85,1
mrdoob,ralfnap,4
darve,mrdoob,2
mrdoob,zz85,2
ymmd,zz85,2
darve,zz85,1
mrdoob,ymmd,4
darve,ymmd,2
drsagitn,vance,2
gixo,nriss,2
alteredq,drsagitn,8
flyingdeath,mrdoob,3
mrdoob,wcoebergh,1
flyingdeath,wcoebergh,3
bhupendra1011,corsaronero,2
chandlerprall,lonelydatum,4
landonsilla,mrdoob,2
foobarbecue,mrdoob,1
foobarbecue,landonsilla,2
mrdoob,powerslave,1
linzhp,Sergej-Popov,2
Tobiasartz,WestLangley,2
awe-schaffhausen,WestLangley,1
MatthewRayfield,WestLangley,1
Emanuele-Spatola,WestLangley,1
awe-schaffhausen,Tobiasartz,2
MatthewRayfield,Tobiasartz,2
Emanuele-Spatola,Tobiasartz,2
awe-schaffhausen,MatthewRayfield,1
Emanuele-Spatola,MatthewRayfield,1
awe-schaffhausen,Emanuele-Spatola,1
Landlord-xx,libe,12
libe,WestLangley,4
Landlord-xx,WestLangley,3
gyuque,mrdoob,2
alteredq,mrdoob,1
alteredq,gyuque,2
mrdoob,zz85,2
gyuque,zz85,4
alteredq,zz85,2
mrdoob,Pengeszikra,1
donbright,letmaik,1
dacre-denny,huanghuan,2
huanghuan,mrdoob,1
mrdoob,zz85,2
huanghuan,zz85,2
Wandalen,zz85,2
mrdoob,Wandalen,1
huanghuan,Wandalen,1
chandlerprall,mrdoob,1
lanfeustxiii,mrdoob,1
chandlerprall,lanfeustxiii,1
chandlerprall,whatnext,1
mrdoob,whatnext,1
lanfeustxiii,whatnext,1
mrdoob,schmitzke,2
scald,schmitzke,2
LoicCadour,schmitzke,2
LoicCadour,mrdoob,1
mrdoob,scald,1
LoicCadour,scald,1
alberto2000,etx,2
b-z,etx,2
etx,ghost,2
alberto2000,ghost,1
b-z,ghost,1
etx,martha-anne,6
ghost,martha-anne,3
alberto2000,martha-anne,3
b-z,martha-anne,3
alberto2000,b-z,1
aaaidan,ironbane,4
mrdoob,scottgarner,2
Mugen87,scottgarner,1
mrdoob,Mugen87,2
cipri-tom,mshopf,2
mrdoob,tomconroy,4
elfrank,mrdoob,1
alteredq,arkasia,1
alteredq,mrdoob,1
arkasia,mrdoob,1
codeart1st,mrdoob,14
empaempa,mrdoob,10
codeart1st,empaempa,35
isolin,jacksonloper,1
bartmcleod,bhouston,1
alteredq,mrdoob,1
EskelCz,mrdoob,1
fernandojsg,mrdoob,1
greggman,mrdoob,1
mrdoob,varomix,2
alteredq,varomix,2
EskelCz,varomix,2
fernandojsg,varomix,2
greggman,varomix,2
alteredq,EskelCz,1
alteredq,fernandojsg,1
EskelCz,fernandojsg,1
alteredq,greggman,1
EskelCz,greggman,1
fernandojsg,greggman,1
bhouston,crobi,2
bhouston,lukyer,1
crobi,lukyer,2
bhouston,WestLangley,2
ghost,mrdoob,1
mrdoob,PaulTondeur,3
ghost,PaulTondeur,3
mrdoob,trusktr,1
PaulTondeur,trusktr,3
ghost,trusktr,1
alienlifeform,wivlaro,2
Ganesh2,mrdoob,2
