source,target,weight
mrdoob,octalmage,1
bhouston,octalmage,1
JackCA,octalmage,5
amcdnl,octalmage,1
Benjamin-Dobell,gero3,1
gero3,mrdoob,1
Benjamin-Dobell,mrdoob,1
froh,stephomi,2
mattdesl,mrdoob,1
BenediktS,Mugen87,1
joepie91,mrdoob,1
princemio,repsac,12
kimasendorf,repsac,4
antont,repsac,4
manthrax,repsac,4
kimasendorf,princemio,3
antont,princemio,3
manthrax,princemio,3
antont,kimasendorf,1
kimasendorf,manthrax,1
antont,manthrax,1
looeee,scisci,1
crobi,Usnul,2
mrdoob,WestLangley,4
bhouston,WestLangley,2
arturitu,repsac,8
repsac,satori99,4
arturitu,satori99,2
daoshengmu,erich666,1
mrdoob,WestLangley,4
gero3,WestLangley,2
gero3,mrdoob,2
mrdoob,usefulthink,2
dubejf,playerro,2
j3zusla,repsac,1
mrdoob,repsac,1
j3zusla,mrdoob,1
drcmda,mathdoodle,2
Lu-Do,MichaelHazani,2
makc,RemusMar,1
LuYaojing,MasterJames,1
CypD,MiiBond,1
beiller,repsac,2
please-wait,repsac,2
beiller,please-wait,1
unreturnable,zz85,1
Astrak,RemusMar,2
dubejf,mrdoob,1
mrdoob,tormozok,1
mrdoob,WestLangley,1
stevensanborn,WestLangley,1
mrdoob,stevensanborn,1
Bab64,SpiritBreaker,1
rohan-deshpande,SpiritBreaker,2
Bab64,rohan-deshpande,2
josephrocca,Mugen87,1
andrevega3,WestLangley,2
gero3,mrdoob,2
njam,tschw,12
bhouston,tschw,12
bhouston,njam,4
bhouston,bsergean,5
bhouston,whatisor,1
bsergean,whatisor,5
jackts,whatisor,1
dukuo,whatisor,1
bhouston,jackts,1
bsergean,jackts,5
dukuo,jackts,1
bhouston,dukuo,1
bsergean,dukuo,5
bhouston,mrdoob,4
bhouston,WestLangley,16
mrdoob,WestLangley,4
bhouston,mrdoob,1
alarvy7,mrdoob,1
mrdoob,rimmartin,4
bhouston,rimmartin,4
alarvy7,rimmartin,4
alarvy7,bhouston,1
Astrak,mrdoob,1
jniac,WestLangley,2
duhaime,WestLangley,2
duhaime,jniac,1
chrmi,eriadel,1
eriadel,mrdoob,1
chrmi,mrdoob,1
gero3,WestLangley,1
donmccurdy,nraynaud,3
mrdoob,Usnul,6
RemusMar,Usnul,4
mrdoob,RemusMar,6
mgold,mrdoob,1
jostschmithals,mrdoob,4
makc,mrdoob,4
mrdoob,RemusMar,8
jostschmithals,RemusMar,2
makc,RemusMar,2
mrdoob,simonThiele,4
RemusMar,simonThiele,2
jostschmithals,simonThiele,1
makc,simonThiele,1
jostschmithals,makc,1
mrdoob,titansoftime,4
RemusMar,titansoftime,2
simonThiele,titansoftime,1
jostschmithals,titansoftime,1
makc,titansoftime,1
bhouston,tschw,2
Druidhawk,mrdoob,1
mrdoob,tschw,1
Druidhawk,tschw,1
princemio,tschw,1
benforged,kenrussell,2
leitzler,simonThiele,1
fernandojsg,tschw,2
bhouston,mrdoob,2
GGAlanSmithee,mrdoob,1
bhouston,GGAlanSmithee,2
bhouston,WestLangley,1
Crisium,WestLangley,2
bhouston,ikerr,1
ikerr,WestLangley,1
bhouston,WestLangley,1
mrdoob,WestLangley,1
Claod44,makc,2
makc,mpaccione,2
Claod44,mpaccione,1
AndrewRayCode,caseygrun,1
mrdoob,Mugen87,1
Mugen87,speigg,6
alexolotl,dmarcos,1
bakajin,tschw,3
gormat,tschw,3
bakajin,gormat,1
Makio64,mrdoob,1
mrdoob,WestLangley,1
Makio64,WestLangley,1
pailhead,WestLangley,1
sjlynch,WestLangley,1
mrdoob,pailhead,1
Makio64,pailhead,1
mrdoob,sjlynch,1
Makio64,sjlynch,1
pailhead,sjlynch,1
MasterJames,Wilt,4
mrdoob,wolfmanfx,2
bhouston,simonihmig,1
MasterJames,theo-armour,1
MasterJames,wavesoft,1
theo-armour,wavesoft,1
chenye0,mrdoob,1
bhouston,robertoranon,3
humam-nameer-10p,mrdoob,1
danrossi,jonobr1,8
jonobr1,tahasabih,4
danrossi,tahasabih,8
MasterJames,tahasabih,2
jonobr1,MasterJames,2
danrossi,MasterJames,4
looeee,tschw,1
bhouston,mattdesl,4
MasterJames,mattdesl,2
bhouston,MasterJames,2
MarcoSulla,Ryan-Haines,2
drcmda,Wilt,2
estani,Mugen87,1
bhouston,Mugen87,1
backspaces,Mugen87,1
bhouston,estani,1
backspaces,estani,1
backspaces,bhouston,1
bhouston,mrdoob,1
mrdoob,WestLangley,3
bhouston,WestLangley,3
danrossi,toji,3
schaf82,toji,2
danrossi,schaf82,6
AndrewRayCode,phfatmonkey,4
sjpt,tschw,2
RemusMar,rustedwolf,2
rnixik,tschw,1
phfatmonkey,tschw,3
daniel-nth,tschw,1
manthrax,tschw,1
trumanus,tschw,3
phfatmonkey,rnixik,3
daniel-nth,rnixik,1
manthrax,rnixik,1
daniel-nth,phfatmonkey,3
manthrax,phfatmonkey,3
daniel-nth,manthrax,1
rnixik,trumanus,3
phfatmonkey,trumanus,9
daniel-nth,trumanus,3
manthrax,trumanus,3
MasterJames,mrdoob,2
dherben,Scharnvirk,1
mrdoob,Scharnvirk,1
dherben,mrdoob,1
jonnenauha,Rendxx,2
carstenschwede,Rendxx,4
carstenschwede,jonnenauha,2
jonnenauha,mrdoob,1
BenCidPerez,mrdoob,1
inear,mrdoob,1
mrdoob,pontiffpublishing,2
BenCidPerez,pontiffpublishing,2
inear,pontiffpublishing,2
BenCidPerez,inear,1
gero3,tschw,4
bhouston,tschw,12
bhouston,gero3,3
ikerr,tschw,1
mrdoob,theshanergy,2
Lynxgsm,RudyAramayo,1
RudyAramayo,TingYinHelen,2
Lynxgsm,TingYinHelen,2
pontiffpublishing,tschw,1
jonnenauha,kaisalmen,1
abelnation,bhouston,2
bhouston,MasterJames,2
abelnation,MasterJames,1
bhouston,mrdoob,2
MasterJames,mrdoob,1
abelnation,mrdoob,1
mrdoob,takahirox,1
satori99,takahirox,2
mrdoob,satori99,2
bhouston,WestLangley,15
ghost,mrdoob,1
mese79,rhairston,1
indif,WestLangley,1
ghost,WestLangley,1
gero3,WestLangley,1
mrdoob,WestLangley,1
ghost,indif,1
gero3,indif,1
gero3,ghost,1
indif,mrdoob,1
ghost,mrdoob,1
gero3,mrdoob,1
drcmda,GGAlanSmithee,3
drcmda,Rich-Harris,6
GGAlanSmithee,Rich-Harris,2
drcmda,sjlynch,3
GGAlanSmithee,sjlynch,1
Rich-Harris,sjlynch,2
arodic,sandromartis,2
Benjamin-Dobell,mrdoob,2
ghost,oemmes,1
fallenoak,gero3,2
gero3,mrdoob,4
fallenoak,mrdoob,2
looeee,Mugen87,1
mshamaseen,Mugen87,2
arodic,Mugen87,2
arodic,mshamaseen,1
acopalipsis,BenCidPerez,3
golopot,WestLangley,1
jorisvanr,sojoonsup,1
RamotionRussell,satori99,6
DavidWiebe,mrdoob,6
kenrussell,mrdoob,2
jiinus,mrdoob,2
DavidWiebe,kenrussell,3
jiinus,kenrussell,1
DavidWiebe,jiinus,3
danrossi,NishimuraT,9
jonnenauha,Usnul,4
kaisalmen,Usnul,5
jonnenauha,kaisalmen,20
donmccurdy,swisx,1
mrdoob,takahirox,2
cx20,mrdoob,2
donmccurdy,mrdoob,1
mrdoob,webprofusion-chrisc,2
cx20,webprofusion-chrisc,4
donmccurdy,webprofusion-chrisc,2
cx20,donmccurdy,2
brianchirls,erichlof,9
brianchirls,erichlof,2
gauravrane,kenrussell,2
inear,trumanus,3
Mugen87,trumanus,1
inear,Mugen87,3
gkjohnson,Mugen87,2
mrdoob,Mugen87,2
gkjohnson,mrdoob,1
Mugen87,WestLangley,4
gkjohnson,WestLangley,2
mrdoob,WestLangley,2
Benjamin-Dobell,pailhead,40
lojjic,pailhead,4
Benjamin-Dobell,lojjic,10
Cobertos,Mugen87,2
makc,Mugen87,1
bhouston,looeee,2
looeee,mrdoob,1
bhouston,mrdoob,2
looeee,WestLangley,3
mrdoob,WestLangley,3
bhouston,WestLangley,6
jgsacris,mrdoob,1
jyunming-chen,WestLangley,1
Hectate,looeee,3
Hectate,Mevedia,3
looeee,Mevedia,9
Hectate,sasha240100,1
looeee,sasha240100,3
Mevedia,sasha240100,3
backspaces,mrdoob,1
kevineschmidt,WestLangley,2
mrdoob,WestLangley,1
kevineschmidt,mrdoob,2
mrdoob,WestLangley,1
brianchirls,mrdoob,1
aryeharmon,Mugen87,2
mrdoob,Mugen87,2
grlindburg,Mugen87,2
aryeharmon,mrdoob,1
grlindburg,mrdoob,1
aryeharmon,grlindburg,1
mrdoob,zz85,1
radio412,WestLangley,1
andreasplesch,Mugen87,2
looeee,webprofusion-chrisc,1
mrdoob,Seagat2011,1
skalexey,takahirox,2
bartmcleod,mrdoob,1
andreasplesch,mrdoob,1
andreasplesch,bartmcleod,1
looeee,mrdoob,1
mflux,v1nce,1
looeee,Mugen87,1
MauricioVives,XanderLuciano,1
jpryne,mrdoob,2
Mugen87,serkozzz,1
Mugen87,WestLangley,1
ikerr,WestLangley,8
martinRenou,mrdoob,5
mrdoob,WestLangley,3
fraguada,mrdoob,1
fernandojsg,WestLangley,1
looeee,mrdoob,1
mrdoob,OndrejSpanel,2
looeee,OndrejSpanel,2
mrdoob,takahirox,1
greggman,looeee,6
Itee,looeee,6
greggman,Itee,1
makc,mrdoob,2
Itee,looeee,2
looeee,sasha240100,4
Itee,sasha240100,2
filharvey,Kyle-Larson,2
bhouston,WestLangley,2
makc,mrdoob,1
Benjamin-Dobell,pailhead,2
lojjic,pailhead,4
pailhead,titansoftime,2
Benjamin-Dobell,titansoftime,1
lojjic,titansoftime,2
Benjamin-Dobell,lojjic,2
cx20,takahirox,5
Friksel,izar89,6
HalfdanJ,mkeblx,1
mkeblx,mrdoob,1
HalfdanJ,mrdoob,1
donmccurdy,takahirox,2
donmccurdy,takahirox,2
mrdoob,spiderworm,1
koober,WestLangley,1
dmtaub,khalimwu,1
mrdoob,RemusMar,2
RemusMar,takahirox,2
mrdoob,takahirox,1
bhouston,WestLangley,1
donmccurdy,takahirox,2
makc,manthrax,1
Astrak,bhouston,1
donmccurdy,RemusMar,2
ondys,stefan-kern,1
goretkin,looeee,1
dill0wn,Kyle-Larson,1
Kyle-Larson,looeee,1
dill0wn,looeee,1
fernandojsg,toji,4
dmarcos,toji,2
dmarcos,fernandojsg,2
looeee,mrdoob,3
jostschmithals,mrdoob,1
jostschmithals,looeee,3
jostschmithals,mrdoob,2
jostschmithals,makc,1
jostschmithals,mrdoob,2
looeee,mrdoob,1
jostschmithals,looeee,2
mrdoob,pailhead,1
jostschmithals,pailhead,2
looeee,pailhead,1
davLap,mrdoob,1
mrdoob,takahirox,1
donmccurdy,takahirox,1
takahirox,WestLangley,1
mrdoob,WestLangley,1
donmccurdy,WestLangley,1
donmccurdy,mrdoob,1
fernandojsg,mrdoob,1
mrdoob,Mugen87,1
fernandojsg,Mugen87,1
mrdoob,WestLangley,1
Mugen87,WestLangley,1
fernandojsg,WestLangley,1
spite,WestLangley,1
mrdoob,spite,1
Mugen87,spite,1
fernandojsg,spite,1
Cobertos,tentone,2
donmccurdy,tentone,1
Cobertos,donmccurdy,2
bhouston,mrdoob,2
mrdoob,WestLangley,1
bhouston,WestLangley,2
pixelmager,WestLangley,1
mrdoob,pixelmager,1
bhouston,pixelmager,2
jostschmithals,mrdoob,3
WestLangley,yellcorp,2
jamieowen,mrdoob,1
jostschmithals,Mugen87,1
mrdoob,Usnul,1
jostschmithals,Usnul,2
looeee,Usnul,1
jostschmithals,mrdoob,2
looeee,mrdoob,1
jostschmithals,looeee,2
andreasplan8,hoch,2
AlexanderPaule,Itee,1
pailhead,yousefamar,1
jcowles,pailhead,8
pailhead,WestLangley,4
jcowles,WestLangley,2
aardgoose,yomboprime,1
devcem,Mugen87,1
pailhead,zorro-fr24,6
Mugen87,yazancash,2
kenrussell,mrdoob,1
gabrielmolochko,mrdoob,1
gabrielmolochko,kenrussell,1
bhouston,mrdoob,1
jostschmithals,Mugen87,4
Ludobaka,WestLangley,1
cmeeren,mrdoob,1
jaxry,WestLangley,9
mrdoob,WestLangley,3
takahirox,WestLangley,3
jaxry,mrdoob,3
jaxry,takahirox,3
mrdoob,takahirox,1
cnspaha,jostschmithals,25
looeee,Mugen87,2
jostschmithals,takahirox,2
donmccurdy,takahirox,4
donmccurdy,jostschmithals,2
neeh,sasmaster,1
jostschmithals,looeee,2
jostschmithals,Mugen87,1
mrdoob,pailhead,2
pailhead,wyckster,2
RemusMar,wyckster,2
jcyuan,wyckster,2
jcyuan,pailhead,1
pailhead,RemusMar,1
jcyuan,RemusMar,1
marclave,Mugen87,1
arodic,brmscheiner,1
brmscheiner,tentone,1
arodic,tentone,1
Mugen87,pailhead,3
kenrussell,pailhead,3
kenrussell,Mugen87,1
pailhead,WestLangley,9
Mugen87,WestLangley,3
kenrussell,WestLangley,3
FuzzyWobble,takahirox,1
jostschmithals,takahirox,1
FuzzyWobble,jostschmithals,1
developer-lindner,tomjohnson3,1
manthrax,WestLangley,2
luruke,Mugen87,2
jostschmithals,KyleNBurke,1
takahirox,Travis1282,2
mrdoob,Usnul,1
mrdoob,paroblow,1
mrdoob,vidartf,1
mrdoob,whatisor,1
Mugen87,WestLangley,1
looeee,zwcloud,1
leoboboyan,takahirox,4
makc,takahirox,2
leoboboyan,makc,2
MasterJames,mrdoob,1
donmccurdy,mikearmstrong001,1
mikearmstrong001,pailhead,3
donmccurdy,pailhead,3
mike-tuxedo,Mugen87,1
bonomite,Mugen87,1
bonomite,mike-tuxedo,1
edankwan,wizgrav,1
pailhead,wizgrav,1
edankwan,pailhead,1
Mugen87,WestLangley,1
donmccurdy,mrdoob,1
centerionware,manthrax,1
j3zusla,WestLangley,2
j3zusla,kevinoe,1
arturitu,brianchirls,1
brianchirls,fernandojsg,1
arturitu,fernandojsg,1
jostschmithals,WestLangley,1
centerionware,mrdoob,9
manthrax,mrdoob,4
centerionware,manthrax,36
deokhae,kaisalmen,1
trusktr,WestLangley,1
AndrewRayCode,mrdoob,1
Bryce-Summers,mrdoob,1
AndrewRayCode,Bryce-Summers,1
donmccurdy,samwei12,3
mrdoob,samwei12,1
donmccurdy,mrdoob,3
donmccurdy,jamesgk,4
izar89,manthrax,1
manthrax,Mugen87,1
izar89,Mugen87,1
kpetrow,WestLangley,2
andrevega3,Bsheridan12,1
moroine,WestLangley,1
pailhead,WestLangley,2
jbaicoianu,WestLangley,3
jonnenauha,WestLangley,1
kaisalmen,WestLangley,1
jbaicoianu,jonnenauha,3
jbaicoianu,kaisalmen,3
jonnenauha,kaisalmen,1
makc,mrdoob,1
