source,target,weight
Astrak,pailhead,10
Astrak,realratchet,7
Astrak,rohan-deshpande,7
Astrak,thmasn,2
AustinDuvin,Mugen87,3
AustinDuvin,NicolasRannou,4
AustinDuvin,brettkromkamp,3
AustinDuvin,easyfrog,3
AustinDuvin,haroldiedema,5
AustinDuvin,mrdoob,5
AustinDuvin,pailhead,5
AustinDuvin,trusktr,4
Avocher,WestLangley,4
Awea,Mugen87,2
Awea,donmccurdy,2
Awea,enjinstudios,2
Awea,mrdoob,2
Axiverse,BrianSipple,2
Axiverse,Mugen87,2
Axiverse,WestLangley,2
BAntDit,MHA15,2
BAntDit,Mugen87,4
BAntDit,WestLangley,10
BAntDit,mrdoob,21
Bab64,SpiritBreaker,3
Bab64,looeee,3
Bab64,mrdoob,3
Bab64,rohan-deshpande,4
Baccanno,Makio64,2
Baccanno,WestLangley,2
Baccanno,bhouston,4
Baccanno,gregtatum,6
Baccanno,mrdoob,2
Bandit,Mugen87,2
Bandit,jostschmithals,2
BashCloud,WestLangley,6
BashCloud,huj2,2
BashCloud,moroine,3
BashCloud,ranbuch,2
BashCloud,wuweiweiwu,2
Ben-Mack,Julien-Arlandis,6
Ben-Mack,Mugen87,4
Ben-Mack,WestLangley,16
Ben-Mack,bhouston,11
Ben-Mack,calrk,2
Ben-Mack,donmccurdy,6
Ben-Mack,fernandojsg,10
Ben-Mack,mlimper,5
Ben-Mack,mrdoob,15
Ben-Mack,takahirox,5
Ben-Mack,whatisor,5
Ben-Mack,zellski,8
BenCidPerez,Mugen87,12
BenCidPerez,WestLangley,4
BenCidPerez,inear,5
BenCidPerez,mrdoob,16
BenCidPerez,pontiffpublishing,7
BenediktS,Mugen87,4
BenediktS,Usnul,3
BenediktS,repsac,4
BengtGustafsson,Mugen87,2
Benjamin-Dobell,Mugen87,10
Benjamin-Dobell,Nimja,2
Benjamin-Dobell,SpencerIO,2
Benjamin-Dobell,WestLangley,14
Benjamin-Dobell,bhouston,3
Benjamin-Dobell,gero3,2
Benjamin-Dobell,ikerr,8
Benjamin-Dobell,lojjic,24
Benjamin-Dobell,mrdoob,47
Benjamin-Dobell,mslonina,2
Benjamin-Dobell,pailhead,51
Benjamin-Dobell,titansoftime,5
Benjy1979,looeee,2
BennyHinrichs,MagicLeeW,2
BennyHinrichs,Mugen87,2
BennyHinrichs,cecilemuller,4
BennyHinrichs,marcofugaro,3
BennyHinrichs,morgansegura,2
BennyHinrichs,mrdoob,2
BennyHinrichs,pmaster06,2
BennyHinrichs,ri,2
BennyHinrichs,zstauber,3
Bergmam,donmccurdy,2
Bergmam,mrdoob,2
Bergmam,olleman42,2
Bergmam,takahirox,2
Berserk82,Mugen87,4
Berserk82,Wilt,2
BlueMagnificent,Mugen87,2
BlueMagnificent,griffin2000,2
Bobarev,Mugen87,5
Bonfims,CarlBateman,12
Bonfims,JamesHealdUK,3
Bonfims,Mugen87,3
Bonfims,Travis1282,4
Bonfims,jdanford,3
Bonfims,jostschmithals,3
Bonfims,looeee,4
Bonfims,mrdoob,6
Bonfims,takahirox,8
Bravos123,donmccurdy,2
Bravos123,looeee,4
BretMishler,donmccurdy,2
BretMishler,mrdoob,2
BrianMacIntosh,looeee,2
BrianMacIntosh,mrdoob,3
BrianSipple,Mugen87,2
BrianSipple,WestLangley,2
BrianSipple,looeee,6
BrianSipple,mrdoob,5
Bruce-Zion,Mugen87,2
Bruce-Zion,looeee,3
BrunoB69,Mugen87,2
BrunoB69,mrdoob,2
Bryce-Summers,Mugen87,5
Bryce-Summers,WestLangley,7
Bryce-Summers,mrdoob,5
Bsheridan12,Mugen87,4
Bsheridan12,WestLangley,16
Bsheridan12,d07RiV,4
Bsheridan12,looeee,4
Bsheridan12,makc,2
Busata,Mugen87,11
Busata,Usnul,7
Busata,WestLangley,7
Busata,mrdoob,7
ByDenis,MasterJames,3
ByDenis,Mugen87,10
ByDenis,NicolaiMogensen,4
ByDenis,impcyber,3
ByDenis,looeee,6
ByDenis,mrdoob,4
CGerAJ,Mugen87,11
CGerAJ,WestLangley,7
CGerAJ,mrdoob,7
CappucinoScript,Mugen87,2
CaptainCoding,Mugen87,3
CaptainCoding,makc,2
CarlBateman,JamesHealdUK,11
CarlBateman,Mugen87,17
CarlBateman,Travis1282,12
CarlBateman,WestLangley,4
CarlBateman,jdanford,11
CarlBateman,jostschmithals,11
CarlBateman,looeee,12
CarlBateman,mrdoob,14
CarlBateman,pailhead,2
CarlBateman,takahirox,16
CarlBateman,tiansijie,2
Carrin-Hjr,DavidSouther,2
Carrin-Hjr,lahiru1991,2
Carrin-Hjr,mrdoob,4
Carrin-Hjr,t-oster,3
Carrin-Hjr,thekonz,2
CesarVonc,Mugen87,4
CesarVonc,WestLangley,3
CesarVonc,mrdoob,3
CharellKing,Mugen87,2
CharlotteGore,Mugen87,2
CharlotteGore,mrdoob,2
ChrisBence,Mugen87,3
ChrisBence,WestLangley,3
ChrisBence,mrdoob,3
ChrisDenham,Mugen87,21
ChrisDenham,WestLangley,15
ChrisDenham,mrdoob,12
ChronoAndross,Mugen87,2
ChronoAndross,kainino0x,2
ChronoAndross,kenrussell,2
ChronoAndross,mrdoob,3
ChronoAndross,tgrajewski,2
Claod44,Mugen87,7
Claod44,erickAvSanti,3
Claod44,kschzt,5
Claod44,leitzler,4
Claod44,makc,13
Claod44,mpaccione,6
Claod44,mrdoob,12
Cobertos,Mugen87,4
Cobertos,WestLangley,3
Cobertos,donmccurdy,4
Cobertos,fraguada,3
Cobertos,hccampos,3
Cobertos,mrdoob,2
Cobertos,spite,3
Cobertos,tentone,3
CodingFabian,Mugen87,3
CodingFabian,Usnul,3
CodingFabian,WestLangley,3
ConradP,jbaicoianu,2
ConradP,mrdoob,2
CorinWilkins,looeee,3
CraigMcCarthy11,Foosballfan,4
CraigMcCarthy11,Mugen87,3
CraigMcCarthy11,RicoLiu,3
CraigMcCarthy11,Servuc,2
CraigMcCarthy11,donmccurdy,2
CraigMcCarthy11,dslwz2008,2
CraigMcCarthy11,fraguada,2
CraigMcCarthy11,jean-noelp,4
CraigMcCarthy11,johnney88,3
CraigMcCarthy11,kdilayer,5
CraigMcCarthy11,mrdoob,4
CraigMcCarthy11,remitache,2
CraigMcCarthy11,rhairston,2
CraigMcCarthy11,simplynail,2
CraigMcCarthy11,swisx,2
Crisium,GGAlanSmithee,8
Crisium,Mugen87,10
Crisium,WestLangley,10
Crisium,mrdoob,14
CypD,MiiBond,2
CypD,mrdoob,4
CypD,nn4e,2
DEKHTIARJonathan,Usnul,2
DEKHTIARJonathan,donmccurdy,2
DEKHTIARJonathan,kriffe,2
DEKHTIARJonathan,kylegmaxwell,2
DEKHTIARJonathan,morz,2
DEKHTIARJonathan,mrdoob,5
DEKHTIARJonathan,rimmartin,10
DIeHarke,Mugen87,7
DIeHarke,WestLangley,2
DJviolin,Mugen87,8
DJviolin,WestLangley,3
DOLI91,Itee,3
DOLI91,Mann90,5
DOLI91,Mugen87,6
DOLI91,jaredpike,2
DOLI91,kainino0x,2
DOLI91,kenrussell,5
DOLI91,looeee,2
DOLI91,makc,2
DSkillz,Mugen87,2
DSkillz,tentone,2
DVLP,Mugen87,11
DVLP,WestLangley,2
DVLP,gravi2,3
DVLP,mrdoob,5
DVLP,pineliu,3
DVLP,saabi,3
DVLP,samteb,4
DVLP,thejmazz,3
DVLP,whatisor,3
DVLP,zz85,10
DalimTeam,FracturedShader,3
DalimTeam,danrossi,6
DalimTeam,debruine,2
DalimTeam,dhritzkiv,2
DalimTeam,eugjlee,2
DalimTeam,iambumblehead,2
DalimTeam,kenrussell,2
DalimTeam,looeee,2
DalimTeam,makc,6
DalimTeam,meowgorithm,2
DalimTeam,mrdoob,6
DalimTeam,sjando,2
DalimTeam,timothyallan,2
DanielAChandler,EliasHasle,3
DanielAChandler,dhritzkiv,3
DanielJoyce,WestLangley,5
DanielJoyce,foobarbecue,4
DanielJoyce,mrdoob,9
DanilaGRob,Mugen87,2
DanilaGRob,mrdoob,2
Dante83,Mugen87,2
Dark-Energy,WestLangley,7
Dark-Energy,mrdoob,5
Dark-Energy,sasha240100,4
Datamance,mrdoob,4
Datamance,spite,3
DavidPeicho,Mugen87,12
DavidPeicho,fernandojsg,7
DavidPeicho,gkjohnson,2
DavidPeicho,jbaicoianu,3
DavidPeicho,lo-th,10
DavidPeicho,moraxy,2
DavidPeicho,mrdoob,23
DavidPeicho,takahirox,38
DavidPeicho,twilson7755,9
DavidPeicho,yoshikiohshima,14
DavidSouther,lahiru1991,2
DavidSouther,mrdoob,4
DavidSouther,t-oster,3
DavidSouther,thekonz,2
DavidWiebe,Mugen87,8
DavidWiebe,WestLangley,13
DavidWiebe,jiinus,7
DavidWiebe,kenrussell,16
DavidWiebe,mrdoob,10
DefecateRainbows,Mugen87,6
DefecateRainbows,donmccurdy,2
DefecateRainbows,looeee,2
DefecateRainbows,makc,2
DefecateRainbows,mrdoob,6
DefecateRainbows,oewstyle,2
DenisTis,Mugen87,3
DenisTis,donmccurdy,6
DennisBengs,Mugen87,3
DennisBengs,WestLangley,4
Densaugeo,FancyCoder0,3
Densaugeo,WestLangley,6
Densaugeo,mrdoob,5
DerKarlos,MohmadAyman,3
DerKarlos,Mugen87,6
DerKarlos,WestLangley,5
DerKarlos,mrdoob,5
DerKarlos,strangerintheq,3
DerKorb,Mugen87,5
DerKorb,donmccurdy,5
DerKorb,kurozael,10
DerKorb,malcolmwhite,5
DerKorb,mrdoob,11
DerKorb,takahirox,5
DieAlchemistenAG,Kyle-Larson,4
DieAlchemistenAG,dill0wn,4
DieAlchemistenAG,gyomihaly,3
DieAlchemistenAG,looeee,6
DieAlchemistenAG,mrdoob,5
DigiTec,frankolivier,3
DigiTec,iansan5653,3
DigiTec,jonobr1,2
