name1,name2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2,degree1,degree2
Carreau,tomspur,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.845,0.736,8113,63
fperez,tomspur,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.798,0.736,2962,63
Carreau,fperez,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.845,0.798,8113,2962
ellisonbg,ipython,3,0,0,0,0.75,0.0,0.0,0.0,5,1,0.797,0.819,3891,138
fperez,ipython,10,3,1,0,0.36,0.11,0.04,0.0,11,1,0.798,0.819,2962,138
epatters,ipython,15,1,0,0,0.62,0.04,0.0,0.0,10,1,0.804,0.819,189,138
ellisonbg,fperez,3,0,0,0,0.43,0.0,0.0,0.0,8,1,0.797,0.798,3891,2962
epatters,fperez,18,1,0,3,0.43,0.02,0.0,0.07,13,1,0.804,0.798,189,2962
ipython,unidesigner,4,0,1,0,0.5,0.0,0.12,0.0,6,1,0.819,1.0,138,6
ellisonbg,unidesigner,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.797,1.0,3891,6
fperez,unidesigner,4,3,1,0,0.29,0.21,0.07,0.0,9,1,0.798,1.0,2962,6
epatters,unidesigner,5,1,0,0,0.42,0.08,0.0,0.0,8,1,0.804,1.0,189,6
rkern,unidesigner,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.817,1.0,221,6
minrk,unidesigner,3,1,1,0,0.38,0.12,0.12,0.0,6,1,0.859,1.0,9085,6
ellisonbg,epatters,5,0,0,0,0.83,0.0,0.0,0.0,7,1,0.797,0.804,3891,189
ipython,rkern,3,0,0,0,0.75,0.0,0.0,0.0,5,1,0.819,0.817,138,221
ellisonbg,rkern,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.797,0.817,3891,221
fperez,rkern,3,0,0,0,0.43,0.0,0.0,0.0,8,1,0.798,0.817,2962,221
epatters,rkern,5,0,0,0,0.83,0.0,0.0,0.0,7,1,0.804,0.817,189,221
minrk,rkern,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.859,0.817,9085,221
ipython,minrk,7,1,1,0,0.44,0.06,0.06,0.0,8,1,0.819,0.859,138,9085
ellisonbg,minrk,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.797,0.859,3891,9085
fperez,minrk,10,4,1,3,0.36,0.14,0.04,0.11,11,1,0.798,0.859,2962,9085
epatters,minrk,11,1,0,1,0.46,0.04,0.0,0.04,10,1,0.804,0.859,189,9085
ellisonbg,ipython,2,0,0,0,0.67,0.0,0.0,0.0,4,1,0.797,0.819,3891,138
bfroehle,minrk,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.898,0.859,859,9085
ellisonbg,fperez,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.797,0.798,3891,2962
Carreau,fperez,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.845,0.798,8113,2962
damianavila,fperez,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.872,0.798,1442,2962
Carreau,ellisonbg,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.845,0.797,8113,3891
damianavila,ellisonbg,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.872,0.797,1442,3891
Carreau,damianavila,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.845,0.872,8113,1442
fperez,takluyver,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.798,0.86,2962,9097
ellisonbg,takluyver,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.797,0.86,3891,9097
Carreau,takluyver,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.845,0.86,8113,9097
damianavila,takluyver,1,0,1,0,1.0,0.0,1.0,0.0,2,1,0.872,0.86,1442,9097
ellisonbg,ipython,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.797,0.819,3891,138
fperez,ipython,1,1,0,1,0.33,0.33,0.0,0.33,4,1,0.798,0.819,2962,138
ellisonbg,fperez,2,1,1,0,0.33,0.17,0.17,0.0,5,1,0.797,0.798,3891,2962
ipython,takluyver,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.819,0.86,138,9097
ellisonbg,takluyver,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.797,0.86,3891,9097
fperez,takluyver,1,0,0,0,0.33,0.0,0.0,0.0,4,1,0.798,0.86,2962,9097
minrk,takluyver,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.859,0.86,9085,9097
ipython,minrk,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.819,0.859,138,9085
