name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
515hikaru,Geekly,2018-12-10,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
515hikaru,WillAyd,2018-12-10,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
515hikaru,datapythonista,2018-12-10,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,2,0,0,0,1,4
515hikaru,mroeschke,2018-12-10,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
5hirish,TomAugspurger,2018-10-22,1.0,0.0,0.0,0.0,1.0,1.0,5,0,0,0,2,7
5hirish,TomAugspurger,2018-10-29,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
5hirish,anjalibhavan,2018-10-08,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
5hirish,codecov[bot],2018-10-29,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
5hirish,datapythonista,2018-10-08,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
5hirish,gfyoung,2018-10-08,0.5,0.0,0.0,0.0,1.0,0.5,2,0,0,0,1,4
5hirish,jbrockmendel,2018-10-08,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
5hirish,jreback,2018-10-08,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
5hirish,jreback,2018-10-22,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
5hirish,pep8speaks,2018-10-22,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
691175002,jreback,2016-10-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
77QingLiu,TomAugspurger,2018-01-29,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,TomAugspurger,2018-02-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,gfyoung,2018-06-25,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
77QingLiu,jorisvandenbossche,2018-01-29,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
77QingLiu,jorisvandenbossche,2018-02-05,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
77QingLiu,jreback,2018-01-29,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
7stud,hayd,2013-09-02,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
8one6,TomAugspurger,2017-07-24,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
8one6,TomAugspurger,2017-07-31,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
8one6,gfyoung,2017-07-24,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
8one6,hayd,2014-03-10,0.57,0.0,0.0,0.0,0.5700000000000001,1.0,12,0,0,0,1,10
8one6,jorisvandenbossche,2014-09-15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
8one6,jorisvandenbossche,2014-10-27,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
8one6,jreback,2014-02-24,0.0,0.5,0.0,0.0,0.0,1.0,0,1,0,0,1,3
8one6,jreback,2014-03-10,0.54,0.0,0.0,0.11,0.5700000000000001,0.75,30,0,0,6,1,15
8one6,jreback,2014-06-30,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
8one6,jreback,2014-08-11,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
8one6,jreback,2014-08-18,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
8one6,jreback,2014-09-15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,5
8one6,jreback,2014-11-17,0.5,0.0,0.0,0.17,0.6699999999999999,0.5,3,0,0,1,1,5
8one6,jreback,2015-06-01,0.5,0.0,0.0,0.0,1.0,0.5,2,0,0,0,1,4
8one6,jreback,2015-11-16,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
8one6,jreback,2017-03-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,6
8one6,shoyer,2015-11-16,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AHoke,jorisvandenbossche,2017-11-13,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AHoke,weakunix,2017-11-13,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AKuederle,TomAugspurger,2017-11-27,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AKuederle,WillAyd,2018-08-06,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
AKuederle,gfyoung,2018-08-06,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AKuederle,jorisvandenbossche,2017-11-27,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AKuederle,jreback,2018-08-06,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
ALShum,jreback,2014-11-17,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AP23,jreback,2013-09-30,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
