"name1","name2","year_week","issue_num","p1","p2"
"hector13","wesm","201039","7","2","2"
"ghost","surbas","201250","13","2","1"
"tgefell","wesm","201050","22","012022","2212202"
"mpenning","wesm","201051","23","2","22"
"knm","wesm","201051","24","1","22"
"triplechess","wesm","20112","31","1","0"
"triplechess","wesm","20113","32","1","22"
"ghost","wesm","20118","35","0","1"
"tgefell","wesm","20119","36","22","222"
"ghost","wesm","201111","37","11","11"
"ghost","wesm","201112","38","1","1"
"ghost","wesm","201118","44","21","2"
"columW","wesm","201125","51","21","1222"
"ivanistheone","wesm","201128","58","2","22"
"rkern","wesm","201128","59","22","1"
"wesm","yonatanf","201128","60","0","1"
"wesm","yonatanf","201129","60","02","1"
"lodagro","wesm","201146","60","0","2"
"BrenBarn","wesm","201222","60","0","2"
"BrenBarn","dandavison","201225","60","2","0"
"maaku","yarivm","201245","60","2","2"
"wesm","yarivm","201245","60","2","2"
"maaku","wesm","201245","60","2","2"
"jreback","sebpiq","201249","60","22","020"
"fonnesbeck","wesm","201129","77","22222220","2222221122"
"keflavich","wesm","201129","77","22221","2222221122"
"fonnesbeck","keflavich","201129","77","22222220","22221"
"snth","wesm","201130","77","222","2222"
"datakungfu","wesm","201130","79","1","02"
"talltom","wesm","201130","82","1","22"
"changhiskhan","wesm","201218","85","1","2"
"changhiskhan","wesm","201145","86","21","22"
"wesm","xdong","201131","90","1","2"
"jreback","mdgoldberg","201711","92","2","21"
"reckoner","wesm","201133","99","1","21"
"timClicks","wesm","201133","105","1","1"
"chrisjordansquire","wesm","201135","117","22","1"
"smc77","wesm","201136","129","1","020"
"chrisjordansquire","wesm","201136","131","1","2"
"chrisjordansquire","wesm","201136","133","2","2"
"wesm","yarikoptic","201137","136","2","2"
"wesm","yarikoptic","201137","137","21","2"
"bergtholdt","wesm","201137","139","2","1"
"wesm","xdong","201137","143","21","1"
"DataJunkie","wesm","201137","148","2","2"
"DataJunkie","wesm","201137","149","22","2"
"DataJunkie","wesm","201138","149","22","22"
"andreas-h","wesm","201150","153","0","2"
"EmlynC","wesm","20125","167","2002","12"
"gregglind","wesm","20122","170","22","222"
"salestial","wesm","201139","179","21","220"
"Altons","wesm","201139","180","1","22"
"Altons","wesm","201140","180","112221","22222"
"ghost","wesm","201145","180","2","2"
"mattharrison","wesm","201151","180","201","222"
"scottza","wesm","201139","182","1","2"
"psychstatistics","wesm","201139","183","11","22"
"michaeldhealy","wesm","201148","192","22","2"
"gregglind","wesm","20121","192","1","2"
"daehyok","wesm","201140","195","2","0"
"daehyok","wesm","201140","196","0","212"
"rsamson","wesm","201140","198","222","1"
"takluyver","wesm","201140","200","11222","122220"
"rsamson","wesm","201140","201","1","1"
"rsamson","wesm","201140","202","1","1"
"takluyver","wesm","201140","206","2","1"
"changhiskhan","wesm","201220","207","1","1"
"takluyver","wesm","201141","213","2","12"
"adamklein","wesm","20129","222","21","2"
"takluyver","wesm","201141","224","211","222"
"takluyver","wesm","201141","225","12","2222"
