name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
gregglind,wesm,2011-12-26,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
daehyok,wesm,2011-09-26,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
daehyok,wesm,2011-09-26,0,1,0,0,0.0,0.33,0.0,0.0,4,1,0.0,1.0
rsamson,wesm,2011-09-26,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
takluyver,wesm,2011-09-26,14,2,2,0,0.47,0.07,0.07,0.0,11,1,1.0,0.83
rsamson,wesm,2011-09-26,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
rsamson,wesm,2011-09-26,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
takluyver,wesm,2011-09-26,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
changhiskhan,wesm,2012-05-07,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
takluyver,wesm,2011-10-03,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
adamklein,wesm,2012-02-20,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
takluyver,wesm,2011-10-03,3,0,0,0,0.33,0.0,0.0,0.0,6,1,1.0,1.0
takluyver,wesm,2011-10-03,4,0,0,0,0.5,0.0,0.0,0.0,6,1,1.0,1.0
takluyver,wesm,2011-10-03,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
takluyver,wesm,2011-10-03,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
PhE,wesm,2011-10-03,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
brentp,wesm,2011-10-03,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
brentp,PhE,2011-10-03,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
takluyver,wesm,2011-10-03,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
takluyver,wesm,2011-10-10,6,0,0,0,0.67,0.0,0.0,0.0,6,1,1.0,0.6699999999999999
CRP,wesm,2011-10-03,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
adamklein,lodagro,2012-03-12,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2012-03-12,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
adamklein,wesm,2012-03-12,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
baldwint,cpcloud,2013-06-03,7,0,0,3,0.5,0.0,0.0,0.21,9,1,0.5,0.5700000000000001
baldwint,jreback,2013-06-03,8,0,0,0,0.5,0.0,0.0,0.0,10,1,0.5,1.0
cpcloud,jreback,2013-06-03,32,0,0,0,0.57,0.0,0.0,0.0,15,1,0.5700000000000001,1.0
baldwint,kghose,2013-06-03,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
cpcloud,kghose,2013-06-03,4,0,0,0,0.57,0.0,0.0,0.0,8,1,0.5700000000000001,1.0
jreback,kghose,2013-06-03,8,0,0,0,1.0,0.0,0.0,0.0,9,1,1.0,1.0
jreback,njsmith,2013-09-16,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
dragoljub,njsmith,2013-09-16,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
dragoljub,jreback,2013-09-16,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
creeson,wesm,2011-10-03,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
creeson,wesm,2011-10-03,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
takluyver,wesm,2011-10-03,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
takluyver,wesm,2011-10-10,9,0,0,0,0.75,0.0,0.0,0.0,7,1,1.0,1.0
takluyver,wesm,2011-10-10,4,0,0,0,0.67,0.0,0.0,0.0,5,1,1.0,1.0
cpcloud,wesm,2013-07-29,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jorisvandenbossche,levithomason,2016-12-19,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
levithomason,wesm,2016-12-19,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
jorisvandenbossche,wesm,2016-12-19,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
aman-thakral,wesm,2011-10-10,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
shoyer,wesm,2016-01-04,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
asqui,wesm,2011-10-10,6,0,0,0,1.0,0.0,0.0,0.0,7,1,1.0,1.0
changhiskhan,wesm,2011-10-31,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
takluyver,wesm,2011-10-10,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
creeson,wesm,2011-10-24,1,0,1,0,0.5,0.0,0.5,0.0,3,1,1.0,1.0
gregglind,wesm,2011-12-26,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
evandavey,wesm,2011-10-17,2,0,2,0,0.25,0.0,0.25,0.0,6,1,1.0,1.0
lbeltrame,wesm,2011-11-07,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2011-11-07,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
lbeltrame,lodagro,2011-11-07,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
lbeltrame,wesm,2011-10-17,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
changhiskhan,wesm,2011-11-07,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
dieterv77,wesm,2011-10-17,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2011-10-17,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
takluyver,wesm,2011-11-07,1,1,0,0,0.25,0.25,0.0,0.0,4,1,0.5,1.0
Komnomnomnom,wesm,2011-10-17,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
hammer,wesm,2011-10-24,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
natekupp,wesm,2011-10-31,0,0,0,0,0.0,0.0,0.0,0.0,6,1,1.0,1.0
adamklein,wesm,2011-10-31,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
bburan,wesm,2011-10-24,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
seanjtaylor,wesm,2011-10-24,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
vincentarelbundock,wesm,2011-10-24,1,0,1,0,0.5,0.0,0.5,0.0,3,1,1.0,1.0
davclark,wesm,2011-10-24,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
mcobzarenco,wesm,2011-10-24,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
sjev,wesm,2011-10-24,1,0,1,0,0.25,0.0,0.25,0.0,5,1,1.0,1.0
craustin,wesm,2011-10-24,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
sjev,wesm,2011-10-24,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
fonnesbeck,wesm,2011-10-24,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
sjev,wesm,2011-10-24,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
tvaught,wesm,2011-10-31,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
lbeltrame,nspies,2012-03-19,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
rsamson,wesm,2011-10-31,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
ukch,wesm,2011-10-31,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ukch,wesm,2011-10-31,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
aman-thakral,wesm,2011-10-31,2,0,2,0,0.67,0.0,0.67,0.0,4,1,1.0,1.0
aman-thakral,wesm,2011-10-31,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
dieterv77,wesm,2011-11-07,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ukch,wesm,2011-11-07,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
CRP,wesm,2011-11-07,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2012-01-09,4,0,0,0,0.5,0.0,0.0,0.0,6,1,1.0,1.0
CRP,wesm,2011-11-07,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
craustin,wesm,2011-11-07,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
