name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
merbin2012,mrdoob,2017-02-20,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
merbin2012,WestLangley,2017-02-20,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,WestLangley,2017-02-20,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,poudro,2011-08-15,2,0,2,0,0.5,0.0,0.5,0.0,4,1,1.0,1.0
KrisKringle,poudro,2011-11-07,3,0,1,0,0.5,0.0,0.17,0.0,5,1,1.0,1.0
gengshenghong,mrdoob,2011-08-22,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,ghost,2011-09-19,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,0.6699999999999999
Anima-t3d,draivin,2011-09-26,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
draivin,mrdoob,2011-09-26,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Anima-t3d,mrdoob,2011-09-26,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
Anima-t3d,mrdoob,2011-10-03,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
Jakobud,mrdoob,2011-10-03,21,5,1,4,0.4,0.1,0.02,0.08,17,1,0.75,0.69
gero3,mrdoob,2011-10-03,8,0,0,0,0.62,0.0,0.0,0.0,14,1,1.0,0.69
alteredq,mrdoob,2011-10-03,60,1,0,4,0.58,0.01,0.0,0.04,21,1,0.88,0.69
gero3,Jakobud,2011-10-03,2,0,0,0,0.5,0.0,0.0,0.0,5,1,1.0,0.75
alteredq,Jakobud,2011-10-03,15,1,0,1,0.47,0.03,0.0,0.03,12,1,0.88,0.75
alteredq,gero3,2011-10-03,7,0,0,0,0.88,0.0,0.0,0.0,9,1,0.88,1.0
mrdoob,zz85,2011-10-03,17,4,1,0,0.44,0.1,0.03,0.0,16,1,0.69,1.0
Jakobud,zz85,2011-10-03,5,1,1,0,0.42,0.08,0.08,0.0,7,1,0.75,1.0
gero3,zz85,2011-10-03,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,zz85,2011-10-03,14,1,0,0,0.58,0.04,0.0,0.0,11,1,0.88,1.0
mrdoob,romsson,2011-11-28,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
romsson,towerrounder,2011-11-28,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,towerrounder,2011-11-28,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
disolovyov,mrdoob,2011-10-17,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,mrdoob,2011-10-17,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,disolovyov,2011-10-17,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mugen87,yousefamar,2017-03-27,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,ralfnap,2011-10-17,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
mrdoob,ralfnap,2011-10-24,3,2,3,0,0.15,0.1,0.15,0.0,9,1,1.0,0.6
alteredq,Pitel,2011-10-17,6,0,0,0,0.67,0.0,0.0,0.0,6,1,1.0,0.6699999999999999
alteredq,Pitel,2011-10-24,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
danielribeiro,mrdoob,2011-10-24,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,mrdoob,2011-10-24,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
alteredq,danielribeiro,2011-10-24,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.0,1.0
mrdoob,namiwang,2011-10-24,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.5,1.0
ghost,mrdoob,2015-11-16,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
mrdoob,zz85,2011-10-31,2,0,2,0,0.33,0.0,0.33,0.0,5,1,1.0,1.0
ymmd,zz85,2011-10-31,2,0,2,0,0.33,0.0,0.33,0.0,5,1,1.0,1.0
mrdoob,ymmd,2011-10-31,4,0,4,0,1.0,0.0,1.0,0.0,4,1,1.0,1.0
scotmos,WestLangley,2015-06-08,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,vance,2011-10-31,1,1,0,0,0.25,0.25,0.0,0.0,4,1,0.5,1.0
drsagitn,vance,2011-12-19,0,2,0,0,0.0,0.5,0.0,0.0,4,1,1.0,0.5
danielribeiro,mrdoob,2011-11-07,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
danielribeiro,mrdoob,2013-10-14,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jotinha,mrdoob,2013-10-14,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
danielribeiro,jotinha,2013-10-14,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
kevanstannard,mrdoob,2017-01-16,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
gixo,WestLangley,2012-02-06,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
nriss,WestLangley,2014-05-19,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,maurrubio,2011-12-05,6,0,0,0,0.4,0.0,0.0,0.0,8,1,1.0,1.0
drsagitn,mrdoob,2011-12-19,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,mrdoob,2011-12-19,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
alteredq,drsagitn,2011-12-19,2,0,2,0,1.0,0.0,1.0,0.0,3,1,1.0,1.0
drsagitn,mrdoob,2011-12-26,0,0,0,0,0.0,0.0,0.0,0.0,7,1,1.0,1.0
drsagitn,mrdoob,2012-01-02,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
drsagitn,mrdoob,2012-01-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
flyingdeath,mrdoob,2011-12-19,4,2,0,0,0.33,0.17,0.0,0.0,7,1,1.0,0.6699999999999999
flyingdeath,mrdoob,2012-12-17,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
flyingdeath,mrdoob,2011-12-26,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
mrdoob,WestLangley,2011-12-19,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,nebeleh,2014-09-22,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
donmccurdy,vgheorghiu,2018-09-17,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
gunderson,WestLangley,2016-01-18,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
luisArandas,Mugen87,2019-01-14,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
corsaronero,mrdoob,2011-12-26,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
bhupendra1011,Mugen87,2018-08-13,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
kor86,mrdoob,2011-12-26,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,chandlerprall,2012-01-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ekunuke,WestLangley,2012-10-22,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
mrdoob,scganterh,2017-01-23,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
scganterh,WestLangley,2017-01-23,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,WestLangley,2017-01-23,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mugen87,unphased,2018-12-03,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,unphased,2018-12-03,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,Mugen87,2018-12-03,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
chandlerprall,LiquidSnakeX,2012-01-02,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
Mugen87,VarghaSabee,2018-05-21,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
chandlerprall,lonelydatum,2012-01-02,2,0,2,0,0.5,0.0,0.5,0.0,4,1,1.0,1.0
chandlerprall,mrdoob,2012-01-02,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
lonelydatum,mrdoob,2012-01-02,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
alteredq,lonelydatum,2012-01-30,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
landonsilla,mrdoob,2012-01-02,6,0,0,0,0.67,0.0,0.0,0.0,6,1,0.6699999999999999,1.0
alteredq,mrdoob,2012-01-02,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,landonsilla,2012-01-02,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
landonsilla,mrdoob,2012-01-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,landonsilla,2012-01-30,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
