name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
AaronMeyers,WestLangley,2014-11-03,0.6,0.0,0.0,0.0,1.0,0.8,6,0,0,0,1,7
AaronMeyers,dmtaub,2014-11-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AaronMeyers,mrdoob,2014-11-03,0.75,0.0,0.0,0.0,1.0,1.0,12,0,0,0,1,10
Adam4lexander,WestLangley,2018-03-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Adam4lexander,mrdoob,2018-02-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Age-of-the-Witch-Hunt,Mugen87,2018-06-18,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Age-of-the-Witch-Hunt,WestLangley,2018-06-18,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Aikyos,Mugen87,2017-10-30,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Aikyos,kaisalmen,2017-10-30,0.0,0.33,0.0,0.0,1.0,0.6699999999999999,0,1,0,0,1,4
Alberto-Vivar,Hectate,2016-12-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Alberto-Vivar,WestLangley,2016-12-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Alberto-Vivar,looeee,2016-12-12,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Alberto-Vivar,mrdoob,2016-12-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlexanderPaule,Mardonis,2017-04-24,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AlexanderPaule,jostschmithals,2017-03-27,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AlexanderPaule,kenrussell,2017-04-03,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AlexanderPaule,looeee,2017-03-27,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlexanderPaule,looeee,2017-04-24,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlexanderPaule,mrdoob,2017-04-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Alexandre-Passerelle,EerikKivistik,2018-06-18,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
Alexandre-Passerelle,Mugen87,2017-11-06,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Alexandre-Passerelle,makc,2017-11-20,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,3
Alexandre-Passerelle,makc,2018-06-18,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
Alexandre-Passerelle,mrdoob,2017-11-06,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
Alexandre-Passerelle,mrdoob,2018-02-05,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Alexandre-Passerelle,mrdoob,2018-06-18,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AlexeyGapon,RemusMar,2015-05-11,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
Alwox,Mugen87,2018-10-22,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Alwox,donmccurdy,2018-10-22,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Alwox,looeee,2018-10-22,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
Alwox,mrdoob,2018-10-22,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
Amritesh,leoboboyan,2017-12-11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Amritesh,tentone,2016-09-05,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
AncientChild,donmccurdy,2018-11-12,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,MaikSoriano,2016-05-30,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AndrewRayCode,Scharnvirk,2016-04-04,0.5,0.0,0.0,0.0,1.0,0.5,1,0,0,0,1,3
AndrewRayCode,WestLangley,2016-05-16,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,bartmcleod,2017-02-06,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AndrewRayCode,caseygrun,2015-11-30,0.5,0.0,0.0,0.17,0.6699999999999999,0.5,3,0,0,1,1,5
AndrewRayCode,dlinning,2016-04-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,insominx,2016-04-11,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
