name,density,length
looeee_WestLangley,0.44144144144144143,49.0
looeee_makc,0.17105263157894737,13.0
looeee_mrdoob,0.6842105263157895,78.0
looeee_pailhead,0.11764705882352941,10.0
looeee_pikilipita,0.09615384615384616,5.0
looeee_takahirox,0.2542372881355932,15.0
makc_Mugen87,0.23972602739726026,35.0
makc_RemusMar,0.05982905982905983,7.0
makc_Usnul,0.0472972972972973,7.0
makc_WestLangley,0.1141552511415525,25.0
makc_mrdoob,0.22519083969465647,59.0
makc_pailhead,0.14814814814814814,8.0
makc_takahirox,0.07865168539325842,7.0
manthrax_mrdoob,0.16129032258064516,5.0
mattdesl_mrdoob,0.05434782608695652,10.0
mkeblx_mrdoob,0.11904761904761904,10.0
moraxy_Mugen87,0.13333333333333333,8.0
moraxy_mrdoob,0.18181818181818182,10.0
mrdoob_Mugen87,0.7272727272727273,112.0
mrdoob_RemusMar,0.14893617021276595,28.0
mrdoob_TyLindberg,0.3125,5.0
mrdoob_Usnul,0.1111111111111111,27.0
mrdoob_WestLangley,0.5353260869565217,197.0
mrdoob_XanderLuciano,0.0759493670886076,6.0
mrdoob_ngokevin,0.14814814814814814,8.0
mrdoob_oguzeroglu,0.21428571428571427,6.0
mrdoob_pailhead,0.16071428571428573,36.0
mrdoob_paulmasson,0.15789473684210525,6.0
mrdoob_repsac,0.08771929824561403,5.0
mrdoob_richardmonette,0.13725490196078433,7.0
mrdoob_richtr,0.032467532467532464,5.0
mrdoob_rohan-deshpande,0.03205128205128205,5.0
mrdoob_sasha240100,0.2777777777777778,5.0
mrdoob_satori99,0.03428571428571429,6.0
mrdoob_spite,0.04597701149425287,8.0
mrdoob_sunag,0.18181818181818182,20.0
mrdoob_takahirox,0.5263157894736842,70.0
mrdoob_tentone,0.16455696202531644,13.0
mrdoob_titansoftime,0.075,15.0
mrdoob_toji,0.05970149253731343,8.0
mrdoob_trusktr,0.09883720930232558,17.0
mrdoob_tschw,0.25,14.0
mrdoob_wizgrav,0.02158273381294964,6.0
mrdoob_yomboprime,0.06299212598425197,8.0
mrdoob_yomotsu,0.07608695652173914,14.0
mrdoob_zellski,0.09615384615384616,5.0
mrdoob_zz85,0.07954545454545454,28.0
oguzeroglu_WestLangley,0.17857142857142858,5.0
pailhead_WestLangley,0.31313131313131315,31.0
pailhead_takahirox,0.10666666666666667,8.0
richardmonette_WestLangley,0.13725490196078433,7.0
sunag_WestLangley,0.20238095238095238,17.0
takahirox_Usnul,0.16666666666666666,6.0
takahirox_WestLangley,0.33653846153846156,35.0
tentone_WestLangley,0.12195121951219512,5.0
titansoftime_WestLangley,0.0392156862745098,6.0
trusktr_WestLangley,0.14754098360655737,9.0
tschw_WestLangley,0.13513513513513514,5.0
