period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,between_centrality_dif,average_clustering,connectivity,global_centrality
2010-01-01,3,2,1.333,0.471,1.5,1,2,2.0,0.6667,0,0.0,3,0.7778,0.3333,0.2222,0.0,0.67,0.25
2010-07-01,10,9,1.8,1.249,1.7778,1,5,5.0,0.2,0,0.4355,10,0.3939,0.2056,0.0766,0.0,0.9,0.2436213991769547
2011-01-01,20,32,3.2,3.28,4.7188,1,4,4.0,0.1684,0.3034,0.1157,20,0.4855,0.0632,0.0195,0.3281746031746032,1.6,0.32409972299168965
2011-07-01,39,72,3.692,5.105,5.6389,1,4,4.0,0.0972,0.1923,0.0805,39,0.4629,0.0328,0.0111,0.6832178737441895,1.85,0.34014312096029564
2012-01-01,63,118,3.746,6.157,6.3475,3,4,2.0,0.0604,0.1838,0.112,63,0.3836,0.0193,0.0047,0.41413161401367216,1.87,0.3394467568505033
2012-07-01,81,151,3.728,5.863,4.1921,2,6,3.5,0.0466,0.1796,0.3515,81,0.3726,0.0195,0.0041,0.44051726374904304,1.86,0.2954687500000004
2013-01-01,73,112,3.068,5.476,2.625,4,5,2.0,0.0426,0.1267,0.295,73,0.3452,0.0178,0.0047,0.3360968079906173,1.53,0.32044753086419797
2013-07-01,95,180,3.789,6.609,3.8833,7,4,1.5714285714285714,0.0403,0.1804,0.2799,95,0.3152,0.0114,0.0021,0.42471920967715265,1.89,0.32576957899502046
2014-01-01,102,141,2.765,5.347,2.9645,8,5,1.5,0.0274,0.1353,0.2972,102,0.2782,0.0123,0.0025,0.2974403144297477,1.38,0.2884945920334612
2014-07-01,92,165,3.587,6.207,3.697,8,5,1.75,0.0394,0.2046,0.2381,92,0.2761,0.0119,0.002,0.38285737374006323,1.79,0.31868131868131866
2015-01-01,92,152,3.304,6.26,3.2171,4,7,2.5,0.0363,0.1477,0.2132,92,0.3401,0.0161,0.0045,0.36577182117033524,1.65,0.3234587495184041
2015-07-01,52,56,2.154,3.047,1.4464,7,5,1.5714285714285714,0.0422,0.1176,0.5124,52,0.2282,0.0201,0.0047,0.20288461538461536,1.08,0.2843393566576956
2016-01-01,59,74,2.508,3.82,1.6757,7,4,1.5714285714285714,0.0432,0.1439,0.4709,59,0.2491,0.0163,0.0046,0.31958257840622195,1.25,0.329667063020214
2016-07-01,59,65,2.203,3.292,1.7231,5,5,2.2,0.038,0.0905,0.5842,59,0.2508,0.0205,0.006,0.22704495210022108,1.1,0.3426872770511297
2017-01-01,71,108,3.042,5.512,1.8981,5,6,2.0,0.0435,0.127,0.3714,71,0.3339,0.0163,0.0066,0.4737938411664756,1.52,0.3827823129251703
2017-07-01,39,37,1.897,2.351,1.4595,7,5,1.8571428571428572,0.0499,0.1277,0.5478,39,0.1776,0.0167,0.0033,0.1138943677405216,0.95,0.2891505078485687
2018-01-01,27,22,1.63,1.908,1.5909,5,6,2.2,0.0627,0,0.5935,27,0.1751,0.0259,0.0048,0.0,0.81,0.3142751479289941
2018-07-01,30,25,1.667,1.832,1.52,6,4,1.5,0.0575,0.0448,0.6728,30,0.1733,0.0222,0.0047,0.1,0.83,0.2812128418549347
2019-01-01,20,19,1.9,1.261,1.8421,4,4,2.25,0.1,0.3636,0.6192,20,0.1611,0.0181,0.0013,0.175,0.95,0.13527239150507847
