period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,average_clustering,connectivity,global_centrality
2015-01-01,147,781,10.626,16.367,21.6671,2,4,2.5,0.0728,0.3081,0.0784,147,0.4589,0.0078,0.7329057132727403,5.31,0.32657784449865523
2015-07-01,193,975,10.104,16.772,21.3651,1,5,5.0,0.0526,0.2935,0.052,193,0.4409,0.0069,0.624038647259256,5.05,0.31841905381944524
2016-01-01,190,911,9.589,16.453,14.0933,1,5,5.0,0.0507,0.2705,0.0903,190,0.443,0.0069,0.6583181458358612,4.79,0.3496579976297799
2016-07-01,207,825,7.971,15.11,11.2642,3,5,2.3333333333333335,0.0387,0.2007,0.1151,207,0.4245,0.0062,0.6341579547875149,3.99,0.3991359537499615
2017-01-01,183,826,9.027,14.643,10.0303,1,5,5.0,0.0496,0.2708,0.1546,183,0.429,0.0076,0.6041802559879259,4.51,0.34844020448416113
2017-07-01,84,199,4.738,7.059,5.3065,3,5,2.3333333333333335,0.0571,0.2062,0.1376,84,0.3796,0.0161,0.37754500522425766,2.37,0.30184835728456005
2018-01-01,64,132,4.125,5.518,2.9318,2,6,3.5,0.0655,0.2033,0.3063,64,0.3817,0.0235,0.3233778807997558,2.06,0.38325354833291353
2018-07-01,125,330,5.28,9.96,5.8939,1,6,6.0,0.0426,0.1825,0.1389,125,0.425,0.0115,0.5056743898587908,2.64,0.3866198404439812
2019-01-01,80,188,4.7,7.248,6.9734,3,5,2.6666666666666665,0.0595,0.251,0.124,80,0.3755,0.0148,0.45204438827060855,2.35,0.3664690487635531
