period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,between_centrality_dif,average_clustering,connectivity,global_centrality
2010-07-01,4,4,2.0,0.707,1.5,1,2,2.0,0.6667,0.6,0.0,4,0.775,0.1667,0.0833,0.5833333333333333,1.0,0.2222222222222222
2011-07-01,10,12,2.4,1.428,2.8333,1,5,5.0,0.2667,0.3333,0.3304,10,0.4463,0.1694,0.0502,0.4533333333333333,1.2,0.25884773662551436
2012-01-01,24,28,2.333,2.809,2.25,3,4,2.3333333333333335,0.1014,0.1818,0.5842,24,0.3033,0.0262,0.0096,0.3704365079365079,1.17,0.3872085696282292
2012-07-01,5,4,1.6,0.49,15.25,2,1,1.0,0.4,1.0,0.0634,5,0.4,0.0,0.0,0.6,0.8,0.125
2013-01-01,7,6,1.714,0.7,1.8333,2,3,2.0,0.2857,0.5,0.3802,7,0.3385,0.0667,0.0114,0.3333333333333333,0.86,0.2268518518518519
2013-07-01,13,43,6.615,3.318,2.9535,1,2,2.0,0.5513,0.8435,0.1233,13,0.7149,0.0408,0.013,0.7814296814296815,3.31,0.24305555555555555
2014-01-01,11,14,2.545,2.231,2.4286,1,3,3.0,0.2545,0.2449,0.2405,11,0.5594,0.0949,0.0565,0.4646464646464646,1.27,0.375
2014-07-01,17,17,2.0,2.301,2.9412,3,2,1.6666666666666667,0.125,0.1452,0.4098,17,0.3043,0.026,0.0104,0.35614973262032085,1.0,0.390625
2015-01-01,15,18,2.4,2.154,1.6111,2,3,2.0,0.1714,0.3,0.3668,15,0.3853,0.0601,0.0223,0.327037037037037,1.2,0.34438775510204095
2015-07-01,35,51,2.914,4.205,3.4902,4,3,1.5,0.0857,0.2211,0.2226,35,0.3423,0.0181,0.0094,0.6150036630036629,1.46,0.43382352941176466
2016-01-01,43,56,2.605,3.171,1.7143,6,5,1.6666666666666667,0.062,0.2451,0.4549,43,0.2408,0.0193,0.0054,0.4808416389811739,1.3,0.3585978835978836
2016-07-01,38,47,2.474,3.952,2.2766,4,4,2.0,0.0669,0.123,0.6211,38,0.3052,0.0167,0.0077,0.5227395411605938,1.24,0.4220842464085708
2017-01-01,114,183,3.211,7.859,2.8087,3,5,2.3333333333333335,0.0284,0.068,0.2646,114,0.395,0.0118,0.0058,0.49359741597443696,1.61,0.4264860208317011
2017-07-01,99,148,2.99,6.894,3.6486,6,4,1.5,0.0305,0.0816,0.2114,99,0.3465,0.0116,0.0044,0.3931389304903735,1.49,0.41066222407330244
2018-01-01,117,203,3.47,7.731,3.2808,5,5,1.8,0.0299,0.0998,0.2958,117,0.3625,0.0109,0.0035,0.47798885301095734,1.74,0.3938689060642087
2018-07-01,96,139,2.896,6.882,2.4317,5,4,1.6,0.0305,0.0721,0.2027,96,0.3592,0.0124,0.005,0.38559645538129145,1.45,0.40590951061865144
2019-01-01,14,17,2.429,1.99,2.1176,1,5,5.0,0.1868,0.2885,0.3515,14,0.442,0.1136,0.0418,0.17721088435374147,1.21,0.2629191321499016
