"name1","name2","year_week","issue_num","p1","p2"
"jtattermusch","matt-kwong","201710","2","0","02"
"ctiller","yang-g","20153","4","22","2"
"nicolasnoble","yang-g","20153","4","2","2"
"ctiller","nicolasnoble","20153","4","22","2"
"ctiller","iamqizhao","20153","13","22","0"
"ctiller","nicolasnoble","20153","25","2","02"
"ctiller","nicolasnoble","20153","40","2","2"
"ctiller","murgatroid99","20153","46","2222","2"
"jboeuf","vjpai","201545","55","1","2"
"ctiller","vjpai","201545","55","2","2"
"ctiller","jboeuf","201545","55","2","1"
"ctiller","mehrdada","201723","59","2","2"
"AspirinSJL","ctiller","201737","59","2","22"
"ctiller","markdroth","201737","59","22","22"
"AspirinSJL","markdroth","201737","59","2","22"
"ctiller","nicolasnoble","20153","72","2","02"
"ctiller","jboeuf","20153","83","222","022"
"murgatroid99","yang-g","201512","84","22","02"
"nathanielmanistaatgoogle","nicolasnoble","20153","92","1","2"
"ctiller","murgatroid99","20153","95","2","2"
"ctiller","dklempner","20154","104","20","2"
"ctiller","yang-g","20154","104","20","00"
"dklempner","yang-g","20154","104","2","00"
"ctiller","nicolasnoble","20154","106","2","2"
"ctiller","tbetbetbe","20154","115","2","2"
"ctiller","murgatroid99","20154","119","2","22"
"jtattermusch","nicolasnoble","201537","130","2","2"
"ctiller","jboeuf","20154","141","1","22"
"jboeuf","yang-g","20154","141","22","2"
"ctiller","yang-g","20154","141","1","2"
"ctiller","nicolasnoble","20155","151","21","0"
"jboeuf","murgatroid99","201510","161","1","22"
"jboeuf","tbetbetbe","201513","162","1","2"
"a-veitch","maxwell-demon","20155","167","2","2"
"jboeuf","nicolasnoble","20154","168","02","22"
"ctiller","nicolasnoble","20154","168","0","22"
"ctiller","jboeuf","20154","168","0","02"
"jboeuf","nicolasnoble","20155","168","12","22222"
"ctiller","nicolasnoble","20155","168","2222","22222"
"ctiller","jboeuf","20155","168","2222","12"
"ctiller","tbetbetbe","20154","175","2","22"
"ctiller","murgatroid99","20157","177","2","2"
"ctiller","jboeuf","20154","179","2","2"
"jboeuf","nicolasnoble","20154","182","2221","22"
"ctiller","iamqizhao","20154","186","2","202"
"murgatroid99","tbetbetbe","20155","194","2","2"
"ctiller","nicolasnoble","20154","196","1","2"
"dgquintas","yang-g","201646","202","2","2"
"murgatroid99","nathanielmanistaatgoogle","20155","215","2","1"
"ctiller","nathanielmanistaatgoogle","201512","215","2","21"
"ctiller","murgatroid99","20155","229","22","222"
"nicolasnoble","vjpai","20155","231","0","1"
"ctiller","nicolasnoble","20155","233","2","22"
"ctiller","vjpai","20155","244","22","222"
"ctiller","jtattermusch","20155","247","2","21"
"jtattermusch","kennetatgoogle","20155","247","21","2"
"ctiller","kennetatgoogle","20155","247","2","2"
"ctiller","yang-g","20155","248","002","2"
"ctiller","nicolasnoble","20155","255","2","2"
"mehrdada","nathanielmanistaatgoogle","201820","261","2","2"
"mehrdada","nathanielmanistaatgoogle","201824","261","22","2"
"ctiller","yang-g","20155","266","2","2"
