name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
0oneo,googlebot,2017-08-21,1.0,0.0,1.0,0.0,1.0,1.0,2,0,2,0,1,3
0oneo,grpc-kokoro,2017-08-21,1.0,0.0,1.0,0.0,1.0,1.0,10,0,10,0,1,11
0oneo,grpc-testing,2017-08-21,1.0,0.0,1.0,0.0,1.0,1.0,5,0,5,0,1,6
0oneo,jtattermusch,2017-08-21,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
0oneo,mehrdada,2018-01-08,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
0oneo,mehrdada,2018-02-05,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0oneo,muxi,2018-01-08,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
0oneo,srini100,2018-02-05,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0x1997,ctiller,2017-02-06,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0x1997,stanley-cheung,2017-02-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
0x1997,thinkerou,2016-10-10,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0x1997,vjpai,2017-02-06,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
0xC0D3D00D,stanley-cheung,2016-09-19,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
0xf10413,htuch,2018-09-03,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,2
1N50MN14,murgatroid99,2016-04-25,0.6,0.05,0.0,0.0,1.0,0.75,12,1,0,0,1,9
1N50MN14,murgatroid99,2016-09-12,0.4,0.0,0.0,0.0,0.8,1.0,6,0,0,0,1,8
24,atomextranova,2017-07-03,0.5,0.0,0.0,0.0,0.75,1.0,2,0,0,0,1,5
