developer1,developer2,cr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
pchote,ryanehlol,0.588,4,5525,8
pchote,fruestueck,0.75,2,5525,8
pchote,nicefive,0.355,3,5525,8
pchote,anvilvapre,0.322,3,5525,8
pchote,hartmark,0.646,4,5525,8
pchote,dufresnep,0.262,1,5525,8
pchote,salvadorc17,0.8,5,5525,8
pchote,Zogg,0.508,4,5525,7
pchote,riiga,0.845,4,5525,7
pchote,SzabKel,0.557,5,5525,7
pchote,Hanzik,0.667,3,5525,7
pchote,noobmapmaker,0.2,5,5525,7
pchote,grafviktor,0.067,3,5525,7
pchote,Marnador,0.453,5,5525,7
pchote,pizzaoverhead,1.0,5,5525,7
pchote,Marty,0.5,3,5525,7
pchote,Aquilar,0.792,6,5525,7
pchote,krisradio,0.383,4,5525,7
pchote,carlos444,0.282,6,5525,7
pchote,MartinCurwen,0.167,3,5525,7
pchote,AngryBirdz,0.6,3,5525,7
pchote,Computerfreaked,0.583,5,5525,7
pchote,ivicok,0.596,6,5525,7
pchote,ozzyyzzo4096,0.69,3,5525,7
pchote,Rowan94,0.583,3,5525,7
pchote,mylemans,0.35,5,5525,6
pchote,psydev,0.5,3,5525,6
pchote,Szunti,0.678,5,5525,6
pchote,PiDelport,0.644,1,5525,6
pchote,Narg6,0.022,5,5525,6
pchote,rautamiekka,0.733,5,5525,6
pchote,ChristianDK,0.454,6,5525,6
pchote,docholiday,0.424,6,5525,6
pchote,Walkman100,0.517,4,5525,6
pchote,Sora012,0.41,5,5525,6
pchote,svein83,0.417,1,5525,6
pchote,Omnomon,0.578,5,5525,6
pchote,salsero,0.782,3,5525,6
pchote,roundowl,0.719,2,5525,6
pchote,CanOPringles,0.971,5,5525,6
pchote,RRPRIME,0.556,3,5525,6
pchote,Inq8,0.536,6,5525,6
pchote,Beep6581,0.667,2,5525,6
pchote,marataziat,0.733,2,5525,6
pchote,JohnnyXP64,0.389,3,5525,6
pchote,SilverlineDev,1.0,4,5525,6
pchote,TGHoly,0.528,5,5525,6
pchote,fastslack,0.808,2,5525,6
pchote,RichSuther,0.242,4,5525,6
pchote,akoeplinger,0.867,3,5525,6
pchote,Boxhead78,0.25,2,5525,6
pchote,Herve-M,0.557,6,5525,6
pchote,Aneyrin,0.5,3,5525,5
pchote,hacklex,0.739,3,5525,5
pchote,XenGi,0.292,2,5525,5
pchote,lovenemesis,0.932,4,5525,5
pchote,Codes4Fun,0.875,4,5525,5
pchote,LordSyke,0.889,3,5525,5
pchote,mattathebest,0.506,1,5525,5
pchote,rmoriz,0.638,3,5525,5
pchote,PowaBanga,0.771,4,5525,5
pchote,tysonliddell,0.733,3,5525,5
pchote,Cilyena,0.733,2,5525,5
pchote,Askmewho,0.5,2,5525,5
pchote,Afijak,0.8,1,5525,5
pchote,ibrokemypie,0.623,3,5525,5
pchote,Wobling,0.738,3,5525,5
pchote,exaker,0.6,1,5525,5
pchote,iezed,0.192,3,5525,5
pchote,JColstrom,0.875,1,5525,5
pchote,MrRocket50,0.8,2,5525,5
pchote,DeadlySurprise,0.806,4,5525,5
pchote,bvandenbogaard,0.8,5,5525,5
pchote,LunaticEdit,0.556,3,5525,5
pchote,moviuro,0.8,5,5525,5
Mailaender,reaperrr,0.763,366,3526,2661
Mailaender,obrakmann,0.76,368,3526,2603
Mailaender,abcdefg30,0.689,363,3526,2373
Mailaender,penev92,0.716,280,3526,1840
Mailaender,GraionDilach,0.752,325,3526,1636
Mailaender,Phrohdoh,0.754,279,3526,1027
Mailaender,RoosterDragon,0.717,184,3526,668
Mailaender,atlimit8,0.798,91,3526,532
Mailaender,MustaphaTR,0.698,119,3526,488
Mailaender,Micr0Bit,0.635,160,3526,407
Mailaender,deniz1a,0.702,111,3526,406
Mailaender,SoScared,0.581,89,3526,341
Mailaender,rob-v,0.75,6,3526,337
Mailaender,Unit158,0.703,110,3526,296
Mailaender,LipkeGu,0.777,78,3526,292
Mailaender,ghost,0.647,116,3526,283
Mailaender,chrisforbes,0.742,75,3526,165
Mailaender,ltem,0.736,20,3526,149
Mailaender,MunWolf,0.812,38,3526,143
Mailaender,AoAGeneral,0.588,57,3526,141
Mailaender,matjaeck,0.7,4,3526,140
Mailaender,cjshmyr,0.691,72,3526,134
Mailaender,matija-hustic,0.756,41,3526,129
Mailaender,Snurre86,0.738,38,3526,128
Mailaender,HenrytheSlav,0.657,44,3526,123
Mailaender,xan2622,0.772,70,3526,121
Mailaender,pi99y,0.461,37,3526,115
Mailaender,forcecore,0.617,12,3526,96
Mailaender,TheRaffy,0.537,51,3526,93
Mailaender,Smittytron,0.459,16,3526,93
Mailaender,CH4Code,0.526,20,3526,91
Mailaender,teees,0.708,30,3526,80
Mailaender,clemty,0.715,45,3526,79
Mailaender,Rydra,0.637,22,3526,79
Mailaender,jaZzKCS,0.687,33,3526,76
Mailaender,Biofreak1987,0.808,31,3526,72
Mailaender,abc013,0.72,16,3526,71
Mailaender,huwpascoe,0.766,31,3526,70
Mailaender,yaaaaa,0.551,19,3526,67
Mailaender,ScottNZ,0.76,37,3526,62
Mailaender,dragunoff,1.0,3,3526,62
Mailaender,Nelax,0.656,29,3526,59
Mailaender,epicelite,0.64,39,3526,55
Mailaender,UberWaffe,0.675,24,3526,54
Mailaender,ShadowA,0.649,15,3526,51
Mailaender,tovl,1.0,1,3526,47
Mailaender,kyrreso,0.649,18,3526,46
Mailaender,FrameLimiter,0.688,4,3526,44
Mailaender,42foobar42,0.637,20,3526,42
Mailaender,KOYK,0.881,7,3526,40
Mailaender,kyrylo,0.563,17,3526,39
Mailaender,anjew175,0.754,20,3526,39
Mailaender,LavenderMoon,0.682,11,3526,39
Mailaender,pevers,0.653,17,3526,38
Mailaender,evgeniysergeev,0.908,12,3526,37
Mailaender,OmegaBolt,0.614,16,3526,33
Mailaender,dan9550,0.618,21,3526,33
Mailaender,AMHOL,0.551,11,3526,32
Mailaender,netnazgul,1.0,1,3526,32
Mailaender,whinis,0.868,17,3526,31
Mailaender,fgdzfggsfgsfgsf,0.562,10,3526,25
Mailaender,xp65,0.247,7,3526,25
Mailaender,airetaM,0.735,9,3526,25
Mailaender,ihptru,0.676,13,3526,24
Mailaender,Mortecha,0.2,2,3526,24
Mailaender,RadicalEdward2,0.333,3,3526,24
Mailaender,rapgro,0.545,12,3526,23
Mailaender,GrayHatter,0.455,11,3526,22
Mailaender,FRenzy-OpenRA,0.438,8,3526,22
Mailaender,ChaoticMind,0.344,11,3526,22
Mailaender,Townes27,0.785,13,3526,21
Mailaender,tohava,0.5,2,3526,21
Mailaender,Punsho,1.0,2,3526,21
Mailaender,dtluna,0.667,1,3526,20
Mailaender,Aaron-Lloyd,0.655,10,3526,19
Mailaender,Truth99A,0.464,10,3526,19
Mailaender,ABrandau,0.475,6,3526,19
Mailaender,Sapena,0.826,7,3526,19
Mailaender,sajwang,0.493,10,3526,19
Mailaender,StormWingDelta,0.167,1,3526,19
Mailaender,paulvt,0.476,7,3526,18
Mailaender,fusion809,0.806,6,3526,17
Mailaender,sinf,0.64,10,3526,17
Mailaender,Zjordy,0.307,7,3526,16
Mailaender,IceReaper,0.0,1,3526,16
Mailaender,DrMelon,0.464,3,3526,16
Mailaender,hypercube33,0.667,3,3526,15
Mailaender,klaas1,0.428,9,3526,15
Mailaender,RockyTV,0.855,9,3526,15
Mailaender,SMIFFGIG,0.72,6,3526,15
Mailaender,Templarfreak,0.503,5,3526,15
Mailaender,jrb0001,0.0,1,3526,15
Mailaender,chazechad,0.5,1,3526,15
Mailaender,GSonderling,1.0,1,3526,15
Mailaender,Murto,0.598,8,3526,14
Mailaender,jtyle6,0.715,8,3526,14
Mailaender,Sininini,0.485,6,3526,14
Mailaender,e1d1s1,0.5,4,3526,14
Mailaender,jabbink,0.725,4,3526,14
Mailaender,Arcitectus,0.721,7,3526,13
Mailaender,Phoib,0.78,9,3526,13
Mailaender,Basti504,0.76,8,3526,13
Mailaender,runeavalon,0.031,1,3526,13
Mailaender,DSUK,0.666,10,3526,13
Mailaender,DoGyAUT,0.709,8,3526,12
Mailaender,aydjay,1.0,1,3526,12
Mailaender,collimation,0.683,4,3526,11
Mailaender,Apollo-X,0.702,9,3526,11
Mailaender,bateramos,0.312,6,3526,11
Mailaender,Baxxster,0.691,9,3526,11
Mailaender,probonopd,0.667,5,3526,11
Mailaender,theKalash,1.0,2,3526,11
Mailaender,Nyerguds,0.333,7,3526,11
Mailaender,Nineeva,0.625,4,3526,11
Mailaender,j2k15,0.667,3,3526,11
Mailaender,colonelpopcorn,0.601,7,3526,10
Mailaender,KevinYeti,0.625,4,3526,10
Mailaender,Turupawn,0.271,6,3526,10
Mailaender,noamyogev84,1.0,1,3526,10
Mailaender,SteelPhase,0.913,5,3526,10
Mailaender,VanDeWetering,0.648,4,3526,9
Mailaender,ThisBlunt,0.833,3,3526,9
Mailaender,Raymond-cnc,0.546,5,3526,9
Mailaender,lovalmidas,0.125,2,3526,9
Mailaender,mazarf,0.833,2,3526,9
Mailaender,ROCKNROLLKID,0.7,5,3526,9
Mailaender,JoshuaPettus,0.167,4,3526,9
Mailaender,Smith00101010,0.485,5,3526,9
Mailaender,GeertJohan,0.405,3,3526,9
Mailaender,Robmaister,0.591,9,3526,9
Mailaender,suvjunmd,0.63,4,3526,9
Mailaender,leodew,0.167,2,3526,8
Mailaender,irungentoo,0.664,5,3526,8
Mailaender,samrocketman,0.0,3,3526,8
Mailaender,viszkoktamas,0.319,4,3526,8
Mailaender,3Lucian,1.0,1,3526,8
Mailaender,ryanehlol,0.806,3,3526,8
Mailaender,fruestueck,0.5,1,3526,8
Mailaender,nicefive,0.25,2,3526,8
Mailaender,anvilvapre,0.333,2,3526,8
Mailaender,salvadorc17,0.488,5,3526,8
Mailaender,Zogg,0.597,4,3526,7
Mailaender,riiga,0.938,4,3526,7
Mailaender,SzabKel,0.519,4,3526,7
Mailaender,Hanzik,0.0,1,3526,7
Mailaender,noobmapmaker,0.25,2,3526,7
Mailaender,grafviktor,0.076,3,3526,7
Mailaender,Marnador,0.708,4,3526,7
Mailaender,pizzaoverhead,0.889,3,3526,7
Mailaender,Marty,1.0,1,3526,7
Mailaender,Aquilar,0.764,6,3526,7
Mailaender,krisradio,1.0,1,3526,7
Mailaender,carlos444,0.067,3,3526,7
Mailaender,Computerfreaked,0.467,5,3526,7
Mailaender,ivicok,0.338,5,3526,7
Mailaender,ozzyyzzo4096,0.767,3,3526,7
Mailaender,Rowan94,0.514,3,3526,7
Mailaender,mylemans,0.062,2,3526,6
Mailaender,psydev,0.549,4,3526,6
Mailaender,Szunti,0.889,1,3526,6
Mailaender,PiDelport,0.667,1,3526,6
Mailaender,Narg6,0.042,3,3526,6
Mailaender,rautamiekka,1.0,2,3526,6
Mailaender,ChristianDK,0.361,3,3526,6
Mailaender,docholiday,1.0,1,3526,6
Mailaender,Walkman100,1.0,2,3526,6
Mailaender,Sora012,0.0,1,3526,6
Mailaender,svein83,0.25,1,3526,6
Mailaender,Omnomon,0.0,1,3526,6
Mailaender,salsero,0.5,1,3526,6
Mailaender,roundowl,1.0,1,3526,6
Mailaender,CanOPringles,0.5,2,3526,6
Mailaender,RRPRIME,0.667,1,3526,6
Mailaender,Beep6581,1.0,1,3526,6
Mailaender,JohnnyXP64,0.125,2,3526,6
Mailaender,SilverlineDev,0.95,2,3526,6
Mailaender,TGHoly,0.594,5,3526,6
Mailaender,fastslack,0.345,2,3526,6
Mailaender,RichSuther,0.37,3,3526,6
Mailaender,akoeplinger,0.822,3,3526,6
Mailaender,Boxhead78,0.389,3,3526,6
Mailaender,Herve-M,0.708,4,3526,6
Mailaender,Aneyrin,0.5,3,3526,5
Mailaender,hacklex,0.8,1,3526,5
Mailaender,XenGi,0.306,2,3526,5
Mailaender,lovenemesis,0.917,4,3526,5
Mailaender,Codes4Fun,0.825,4,3526,5
Mailaender,LordSyke,0.9,2,3526,5
Mailaender,mattathebest,0.56,1,3526,5
Mailaender,rmoriz,0.563,2,3526,5
Mailaender,PowaBanga,0.0,1,3526,5
Mailaender,tysonliddell,0.822,3,3526,5
Mailaender,Cilyena,0.8,1,3526,5
Mailaender,ibrokemypie,0.833,1,3526,5
Mailaender,Wobling,0.0,1,3526,5
Mailaender,iezed,0.0,1,3526,5
Mailaender,DeadlySurprise,0.77,3,3526,5
Mailaender,bvandenbogaard,0.673,4,3526,5
Mailaender,LunaticEdit,0.333,2,3526,5
Mailaender,moviuro,0.814,5,3526,5
reaperrr,obrakmann,0.772,334,2661,2603
reaperrr,abcdefg30,0.705,360,2661,2373
reaperrr,penev92,0.733,222,2661,1840
reaperrr,GraionDilach,0.754,351,2661,1636
reaperrr,Phrohdoh,0.765,240,2661,1027
reaperrr,RoosterDragon,0.784,157,2661,668
reaperrr,atlimit8,0.866,118,2661,532
reaperrr,MustaphaTR,0.754,159,2661,488
reaperrr,Micr0Bit,0.653,135,2661,407
reaperrr,deniz1a,0.741,94,2661,406
reaperrr,SoScared,0.589,95,2661,341
reaperrr,rob-v,0.736,69,2661,337
reaperrr,Unit158,0.758,84,2661,296
reaperrr,LipkeGu,0.796,67,2661,292
reaperrr,ghost,0.674,97,2661,283
reaperrr,chrisforbes,0.759,64,2661,165
reaperrr,ltem,0.792,63,2661,149
reaperrr,MunWolf,0.84,34,2661,143
reaperrr,AoAGeneral,0.668,60,2661,141
reaperrr,matjaeck,0.617,25,2661,140
reaperrr,cjshmyr,0.658,62,2661,134
reaperrr,matija-hustic,0.747,40,2661,129
reaperrr,Snurre86,0.757,35,2661,128
reaperrr,HenrytheSlav,0.734,37,2661,123
reaperrr,xan2622,0.712,56,2661,121
reaperrr,pi99y,0.512,39,2661,115
reaperrr,forcecore,0.66,40,2661,96
reaperrr,TheRaffy,0.512,50,2661,93
reaperrr,Smittytron,0.742,35,2661,93
reaperrr,CH4Code,0.529,37,2661,91
reaperrr,teees,0.775,24,2661,80
reaperrr,clemty,0.714,45,2661,79
reaperrr,Rydra,0.621,15,2661,79
reaperrr,jaZzKCS,0.728,25,2661,76
reaperrr,Biofreak1987,0.867,30,2661,72
reaperrr,abc013,0.783,26,2661,71
reaperrr,huwpascoe,0.767,28,2661,70
reaperrr,yaaaaa,0.615,17,2661,67
reaperrr,ScottNZ,0.839,25,2661,62
reaperrr,dragunoff,0.728,20,2661,62
reaperrr,Nelax,0.6,18,2661,59
reaperrr,epicelite,0.694,29,2661,55
reaperrr,UberWaffe,0.613,28,2661,54
reaperrr,ShadowA,0.61,9,2661,51
reaperrr,tovl,0.623,12,2661,47
reaperrr,kyrreso,0.619,22,2661,46
reaperrr,FrameLimiter,0.746,17,2661,44
reaperrr,42foobar42,0.432,10,2661,42
reaperrr,KOYK,0.781,10,2661,40
reaperrr,kyrylo,0.485,15,2661,39
reaperrr,anjew175,0.684,19,2661,39
reaperrr,LavenderMoon,0.673,17,2661,39
reaperrr,pevers,0.604,12,2661,38
reaperrr,evgeniysergeev,0.806,15,2661,37
reaperrr,OmegaBolt,0.653,13,2661,33
reaperrr,dan9550,0.85,15,2661,33
reaperrr,AMHOL,0.451,8,2661,32
reaperrr,netnazgul,0.75,6,2661,32
reaperrr,whinis,0.896,12,2661,31
reaperrr,fgdzfggsfgsfgsf,0.579,7,2661,25
reaperrr,xp65,0.211,10,2661,25
reaperrr,airetaM,0.716,14,2661,25
reaperrr,ihptru,0.892,12,2661,24
reaperrr,Mortecha,0.316,5,2661,24
reaperrr,gdavegdave,0.783,10,2661,24
reaperrr,RadicalEdward2,0.477,10,2661,24
reaperrr,rapgro,0.674,9,2661,23
reaperrr,GrayHatter,0.667,10,2661,22
reaperrr,FRenzy-OpenRA,0.571,7,2661,22
reaperrr,ChaoticMind,0.4,11,2661,22
reaperrr,Townes27,0.789,10,2661,21
reaperrr,tohava,0.662,6,2661,21
reaperrr,ubitux,0.848,9,2661,21
reaperrr,Punsho,0.861,6,2661,21
reaperrr,dtluna,0.783,6,2661,20
reaperrr,Aaron-Lloyd,0.583,6,2661,19
reaperrr,Truth99A,0.333,3,2661,19
reaperrr,ABrandau,0.661,7,2661,19
reaperrr,Sapena,0.35,2,2661,19
reaperrr,sajwang,0.449,9,2661,19
reaperrr,StormWingDelta,0.54,13,2661,19
reaperrr,paulvt,0.85,8,2661,18
reaperrr,cookgreen,0.601,6,2661,18
reaperrr,teinarss,0.786,7,2661,18
reaperrr,fusion809,0.583,7,2661,17
reaperrr,sinf,0.333,5,2661,17
reaperrr,Zjordy,0.51,8,2661,16
reaperrr,IceReaper,0.487,9,2661,16
reaperrr,DrMelon,0.5,2,2661,16
reaperrr,hypercube33,0.583,4,2661,15
reaperrr,klaas1,0.282,5,2661,15
reaperrr,RockyTV,0.9,5,2661,15
reaperrr,SMIFFGIG,0.914,7,2661,15
reaperrr,Templarfreak,0.833,2,2661,15
reaperrr,jrb0001,0.772,8,2661,15
reaperrr,drogoganor,0.688,4,2661,15
reaperrr,chazechad,0.688,4,2661,15
reaperrr,GSonderling,0.75,2,2661,15
reaperrr,Murto,0.556,7,2661,14
reaperrr,jtyle6,0.724,4,2661,14
reaperrr,Sininini,0.306,6,2661,14
reaperrr,e1d1s1,0.25,3,2661,14
reaperrr,RockYourBuddy,0.25,4,2661,14
reaperrr,jabbink,0.77,7,2661,14
reaperrr,Arcitectus,0.833,3,2661,13
reaperrr,Phoib,0.812,4,2661,13
reaperrr,Basti504,0.712,8,2661,13
reaperrr,runeavalon,0.344,3,2661,13
reaperrr,DSUK,0.633,5,2661,13
reaperrr,DoGyAUT,0.757,7,2661,12
reaperrr,aydjay,0.661,9,2661,12
reaperrr,collimation,0.595,3,2661,11
reaperrr,Apollo-X,0.5,6,2661,11
reaperrr,bateramos,0.343,6,2661,11
reaperrr,Baxxster,0.667,6,2661,11
reaperrr,probonopd,0.875,6,2661,11
reaperrr,theKalash,0.794,6,2661,11
reaperrr,Nyerguds,0.333,3,2661,11
reaperrr,Nineeva,0.374,5,2661,11
reaperrr,j2k15,1.0,1,2661,11
reaperrr,colonelpopcorn,0.333,3,2661,10
reaperrr,KevinYeti,0.625,4,2661,10
