period,node_num,edge_num,ave_degree,dif_degree,ave_weight,components_num,diameter,ave_diameter,density,triadic_closure,global_modularity,community_num,closeness_centrality,between_centrality,between_centrality_dif,average_clustering,connectivity,global_centrality
2010-07-01,2,1,1.0,0.0,1.0,1,1,1.0,1.0,0,0.0,2,1.0,0.0,0.0,0.0,0.5,0.0
2011-07-01,6,6,2.0,1.414,1.1667,1,2,2.0,0.4,0.25,0.1224,6,0.6528,0.15,0.1125,0.35000000000000003,1.0,0.36
2012-01-01,17,16,1.882,2.398,2.0,2,3,2.5,0.1176,0.0476,0.4165,17,0.3564,0.0471,0.0211,0.0696969696969697,0.94,0.39062499999999994
2012-07-01,23,28,2.435,1.861,1.6429,2,6,4.0,0.1107,0.3,0.4927,23,0.2604,0.0617,0.0154,0.3814009661835749,1.22,0.26652892561983477
2013-01-01,62,87,2.806,5.391,4.5517,1,5,5.0,0.046,0.0879,0.25,62,0.4109,0.025,0.0106,0.262599970770599,1.4,0.38495924034757695
2013-07-01,72,121,3.361,6.503,4.5041,2,5,3.0,0.0473,0.1112,0.1708,72,0.3991,0.0194,0.0059,0.4309238899596133,1.68,0.3771672287244597
2014-01-01,94,155,3.298,7.032,3.2,4,4,1.75,0.0355,0.1041,0.2817,94,0.371,0.0127,0.0049,0.36603009331482145,1.65,0.40979689366786104
2014-07-01,79,113,2.861,6.396,4.4159,5,5,1.8,0.0367,0.0772,0.235,79,0.3549,0.014,0.0057,0.3377258340804929,1.43,0.41778435239973716
2015-01-01,84,128,3.048,6.008,2.9844,7,5,1.7142857142857142,0.0367,0.1097,0.3403,84,0.3093,0.0119,0.0036,0.37710314002107315,1.52,0.3767019886776024
2015-07-01,82,124,3.024,6.307,2.6532,2,5,3.0,0.0373,0.0909,0.3816,82,0.3917,0.0178,0.007,0.3531732214721423,1.51,0.3938982878626226
2016-01-01,77,110,2.857,5.912,2.5818,4,5,2.0,0.0376,0.0832,0.2424,77,0.3605,0.0161,0.007,0.38329695042125467,1.43,0.410555170821792
2016-07-01,63,73,2.317,4.528,2.1644,4,6,2.25,0.0374,0.0606,0.3293,63,0.3238,0.0215,0.0068,0.1266279047231428,1.16,0.321990981616372
2017-01-01,95,126,2.653,5.893,3.0794,7,4,1.4285714285714286,0.0282,0.0872,0.2906,95,0.3143,0.0121,0.0038,0.26726913773050387,1.33,0.3617775765806554
2017-07-01,90,138,3.067,4.807,3.3768,8,5,1.5,0.0345,0.1992,0.3117,90,0.2684,0.0139,0.0029,0.34282976282976285,1.53,0.2750957370702356
2018-01-01,94,128,2.723,5.524,2.9219,5,5,2.0,0.0293,0.087,0.2745,94,0.3071,0.0145,0.0037,0.30006149002374116,1.36,0.3189848537403172
2018-07-01,123,182,2.959,5.685,3.7527,10,5,1.4,0.0243,0.1625,0.3433,123,0.2725,0.0105,0.0016,0.21366912259174725,1.48,0.2876265340858192
2019-01-01,76,106,2.789,4.635,2.9245,6,4,1.6666666666666667,0.0372,0.1551,0.3484,76,0.2851,0.0162,0.0035,0.25876218197949946,1.39,0.3287703703703705
