name1,name2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2,degree1,degree2
mehrdada,nathanielmanistaatgoogle,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.892,0.875,985,2027
nathanielmanistaatgoogle,ValedL,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.875,0.0,2027,4
kgreenek,ValedL,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.75,0.0,5,4
mehrdada,ValedL,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.892,0.0,985,4
sivabudh,ValedL,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.0,8,4
kgreenek,mehrdada,1,1,1,0,0.5,0.5,0.5,0.0,3,1,0.75,0.892,5,985
nathanielmanistaatgoogle,sivabudh,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.875,1.0,2027,8
kgreenek,sivabudh,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.75,1.0,5,8
mehrdada,sivabudh,1,1,0,1,0.25,0.25,0.0,0.25,4,1,0.892,1.0,985,8
grpc-kokoro,grpc-testing,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.953,3106,3628
grpc-testing,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.953,0.908,3628,1236
grpc-kokoro,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.908,3106,1236
grpc-kokoro,markdroth,20,0,0,0,0.25,0.0,0.0,0.0,18,1,0.487,0.884,3106,1231
dgquintas,markdroth,30,22,6,20,0.38,0.28,0.07,0.25,18,1,0.899,0.884,1753,1231
ctiller,markdroth,8,4,0,8,0.5,0.25,0.0,0.5,10,1,0.945,0.884,3377,1231
dgquintas,grpc-kokoro,20,0,0,0,0.2,0.0,0.0,0.0,20,1,0.899,0.487,1753,3106
ctiller,grpc-kokoro,0,0,0,0,0.0,0.0,0.0,0.0,12,1,0.945,0.487,3377,3106
ctiller,dgquintas,10,6,0,10,0.5,0.3,0.0,0.5,12,1,0.945,0.899,3377,1753
murgatroid99,yang-g,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.968,0.908,2107,1236
muxi,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.873,0.908,781,1236
nathanielmanistaatgoogle,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.875,0.908,2027,1236
murgatroid99,muxi,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.968,0.873,2107,781
murgatroid99,nathanielmanistaatgoogle,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.968,0.875,2107,2027
muxi,nathanielmanistaatgoogle,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.873,0.875,781,2027
grpc-kokoro,murgatroid99,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.968,3106,2107
murgatroid99,stanley-cheung,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.968,0.854,2107,684
grpc-kokoro,stanley-cheung,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.854,3106,684
grpc-kokoro,matt-kwong,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.487,0.93,3106,495
grpc-kokoro,nathanielmanistaatgoogle,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.487,0.875,3106,2027
matt-kwong,nathanielmanistaatgoogle,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.93,0.875,495,2027
dimichgh,murgatroid99,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,0.968,2,2107
dimichgh,sreecha,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,0.853,2,775
murgatroid99,sreecha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.968,0.853,2107,775
dgquintas,jtattermusch,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.899,0.94,1753,4490
apolcyn,mtoribio,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.923,0.0,1286,1
ctiller,grpc-kokoro,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.945,0.487,3377,3106
dgquintas,jtattermusch,14,0,0,0,0.78,0.0,0.0,0.0,11,1,0.899,0.94,1753,4490
grpc-kokoro,muxi,42,0,0,0,1.0,0.0,0.0,0.0,17,1,0.487,0.873,3106,781
dankegel,jburns20,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.6,0.0,6,5
jbicha,jburns20,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,5,5
edigaryev,jburns20,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,5,5
Flast,jburns20,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,5,5
