name,period,issue_num,label
gauteh,20140,101,20
ivanov,20140,101,22
gauteh,20150,101,2
ipython,20100,102,2
fperez,20111,102,0
ipython,20100,103,2
fperez,20111,103,2
ipython,20100,104,0
minrk,20110,104,2
ipython,20100,105,2
ellisonbg,20101,105,2
ipython,20100,106,2
bfroehle,20121,106,2
fperez,20100,107,2
tomspur,20100,107,2
fperez,20110,107,1
pferreir,20100,108,0
minrk,20110,108,2
ipython,20100,109,01
minrk,20110,109,2
ipython,20100,110,220
minrk,20110,110,2
minrk,20110,111,2
niallrobinson,20131,112,2
takluyver,20131,112,2122222
mmckerns,20131,112,0200222
ipython,20100,113,2
takluyver,20110,113,2
fperez,20110,113,1
fperez,20100,114,2
ivanov,20101,114,20
fperez,20101,114,2
tomspur,20101,115,2
takluyver,20110,115,2
takluyver,20110,116,2
minrk,20110,116,2
fperez,20111,116,20
ellisonbg,20101,117,2
takluyver,20110,118,2
minrk,20110,118,2
jdmarch,20100,119,2
minrk,20110,119,2
minrk,20110,120,2
takluyver,20110,121,2
takluyver,20110,122,2
cboos,20111,122,2
minrk,20141,122,2
Carreau,20161,122,1
bfroehle,20120,123,20
fperez,20120,123,2
minrk,20110,124,22
fperez,20120,124,0
robyoung,20140,124,2
takluyver,20140,124,2
fperez,20110,125,1
takluyver,20110,126,2
minrk,20110,127,2
amannuc,20100,128,2
fperez,20110,128,2
takluyver,20110,129,222
takluyver,20110,130,2
dwf,20110,131,01
fperez,20110,131,11
fperez,20111,131,2
minrk,20110,132,2
ksamuel,20110,132,0
takluyver,20110,133,22
aresnick,20101,134,2
takluyver,20110,134,20
aresnick,20110,134,0
tomspur,20101,135,22
poelzi,20101,135,1
tomspur,20101,136,2
prsteel,20101,136,2
takluyver,20110,136,2
fperez,20111,136,01
takluyver,20111,136,20
takluyver,20131,136,0
clebio,20141,136,2
minrk,20141,136,2
amelio-dx,20141,136,1
amelio-vazquez-reina,20141,136,2
Erotemic,20151,136,2
nikitakit,20160,136,2
ivanov,20170,136,2
nikitakit,20171,136,0
takluyver,20110,137,2
minrk,20110,137,22
Carreau,20140,138,2
fperez,20110,139,2
fperez,20110,140,2
fperez,20101,141,0
takluyver,20110,141,2200222220222
fperez,20110,141,202212201
takluyver,20110,142,2
minrk,20110,143,2
fperez,20101,144,2
minrk,20110,145,2
ellisonbg,20101,146,2
rkern,20101,148,2
fperez,20101,148,2
ellisonbg,20101,149,2002
rkern,20101,149,220222
fperez,20101,149,02
fperez,20101,150,2222
fperez,20101,151,1
fperez,20101,152,1
fperez,20101,153,2
fperez,20110,153,2
fperez,20101,154,0
dmirota,20101,154,2
fperez,20110,154,1
fperez,20101,155,2
takluyver,20110,156,0
ellisonbg,20101,157,0
minrk,20130,157,2
Carreau,20161,157,1
fperez,20101,158,1021
tomspur,20101,158,02
fperez,20101,159,112
takluyver,20101,159,22
fperez,20101,160,2
epatters,20110,161,2
