name,year_week,issue_num,label
takluyver,201148,89,2
ipython,201019,90,2111
takluyver,201112,90,2
fperez,20145,90,02
ipython,201019,91,2
takluyver,201115,91,0
Carreau,201629,91,1
ipython,201019,92,202000
takluyver,201112,92,2
minrk,201113,92,2
ipython,201019,93,2222222221
minrk,201112,93,2
minrk,201446,94,2
ipython,201019,95,0
jstenar,20149,95,2
ipython,201019,96,20
Carreau,201629,96,1
minrk,201327,97,2
Carreau,201630,97,1
ipython,201019,98,2
takluyver,201121,98,2
takluyver,201125,98,2
minrk,20119,99,2
ipython,201019,100,2021
minrk,201110,100,2
ipython,201019,101,2
minrk,201112,101,2
bfroehle,201219,101,2
gauteh,201412,101,20
ivanov,201412,101,22
gauteh,20154,101,2
ipython,201019,102,2
fperez,201148,102,0
ipython,201019,103,2
fperez,201148,103,2
ipython,201019,104,0
minrk,201112,104,2
ipython,201019,105,2
ellisonbg,201049,105,2
ipython,201019,106,2
bfroehle,201230,106,2
fperez,201022,107,2
tomspur,201023,107,2
fperez,201110,107,1
pferreir,201021,108,0
minrk,201112,108,2
ipython,201019,109,01
minrk,201112,109,2
ipython,201019,110,220
minrk,201121,110,2
minrk,201112,111,2
niallrobinson,201331,112,2
takluyver,201334,112,2
mmckerns,201337,112,0200222
takluyver,201337,112,122222
ipython,201019,113,2
takluyver,20111,113,2
fperez,201110,113,1
fperez,201019,114,2
ivanov,201026,114,2
fperez,201030,114,2
ivanov,201032,114,0
tomspur,201028,115,2
takluyver,201112,115,2
takluyver,201121,116,2
minrk,201126,116,2
fperez,201129,116,2
fperez,201147,116,0
ellisonbg,201049,117,2
takluyver,201112,118,2
minrk,201116,118,2
jdmarch,201020,119,2
minrk,20118,119,2
minrk,201112,120,2
takluyver,201112,121,2
takluyver,201112,122,2
cboos,201140,122,2
minrk,201446,122,2
Carreau,201629,122,1
bfroehle,201219,123,20
fperez,201219,123,2
minrk,201112,124,2
minrk,201126,124,2
fperez,201215,124,0
robyoung,201416,124,2
takluyver,201416,124,2
fperez,201115,125,1
takluyver,201112,126,2
minrk,201112,127,2
amannuc,201025,128,2
fperez,201110,128,2
takluyver,20112,129,22
takluyver,20118,129,2
takluyver,201112,130,2
dwf,201114,131,01
fperez,201114,131,11
fperez,201148,131,2
minrk,201112,132,2
ksamuel,201112,132,0
takluyver,201112,133,22
