name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
AlexanderPaule,mrdoob,20170,0.75,0.0,0.0,0.0,0.75,1.0,6,0,0,0,1,6
Alexandre-Passerelle,EerikKivistik,20180,0.12,0.0,0.12,0.0,1.0,1.0,2,0,2,0,1,10
Alexandre-Passerelle,Mugen87,20171,0.5,0.0,0.0,0.0,0.5,1.0,1,0,0,0,1,3
Alexandre-Passerelle,makc,20171,0.5,0.0,0.0,0.0,0.5,1.0,2,0,0,0,1,4
Alexandre-Passerelle,makc,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
Alexandre-Passerelle,mrdoob,20171,0.5,0.0,0.0,0.5,0.5,0.0,1,0,0,1,1,3
Alexandre-Passerelle,mrdoob,20180,0.38,0.12,0.38,0.0,1.0,0.88,6,2,6,0,1,10
Alexandre-Passerelle,nilsmoh,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
Alexandre-Passerelle,throni3git,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AlexeyGapon,RemusMar,20150,0.6,0.0,0.0,0.0,1.0,0.8,9,0,0,0,1,8
AlexeyGapon,getzelone,20150,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,5
Alwox,Mugen87,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Alwox,donmccurdy,20181,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Alwox,looeee,20181,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
Alwox,mrdoob,20181,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
Amritesh,leoboboyan,20171,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Amritesh,tentone,20161,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,4
AncientChild,donmccurdy,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AncientChild,mrdoob,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Andre741,WestLangley,20171,0.5,0.0,0.0,0.0,1.0,0.5,1,0,0,0,1,3
Andre741,pailhead,20171,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Andre741,struckm,20171,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
AndrewRayCode,Bryce-Summers,20171,0.0,0.33,0.0,0.0,0.0,1.0,0,1,0,0,1,4
AndrewRayCode,MaikSoriano,20160,0.5,0.06,0.06,0.0,0.83,1.0,9,1,1,0,1,9
AndrewRayCode,Scharnvirk,20160,0.5,0.0,0.0,0.0,1.0,0.5,1,0,0,0,1,3
AndrewRayCode,WestLangley,20160,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,WestLangley,20171,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,4
AndrewRayCode,WestLangley,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,arturitu,20160,0.5,0.06,0.06,0.0,0.83,1.0,9,1,1,0,1,9
AndrewRayCode,bartmcleod,20170,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AndrewRayCode,caseygrun,20151,0.5,0.0,0.0,0.17,0.6699999999999999,0.5,3,0,0,1,1,5
AndrewRayCode,chrmi,20160,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,dherben,20161,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
AndrewRayCode,dlinning,20160,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,evshiron,20160,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,5
AndrewRayCode,feiss,20161,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
AndrewRayCode,imm3lman,20161,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AndrewRayCode,insominx,20160,0.42,0.08,0.08,0.0,0.83,1.0,5,1,1,0,1,8
AndrewRayCode,jee7,20160,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,jonoasan,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,makc,20160,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,michaelitvin,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,mrdoob,20151,0.67,0.0,0.0,0.0,0.6699999999999999,1.0,2,0,0,0,1,4
AndrewRayCode,mrdoob,20160,0.855,0.02,0.02,0.0,0.9575,1.0,15,2,2,0,4,18
AndrewRayCode,mrdoob,20161,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AndrewRayCode,mrdoob,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,mrdoob,20171,1.0,0.0,0.5,0.5,0.5,0.5,2,0,1,1,2,4
AndrewRayCode,mrdoob,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,oomarsmanoo,20161,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AndrewRayCode,phfatmonkey,20160,0.41500000000000004,0.055,0.0,0.055,0.915,0.665,16,4,0,4,2,18
AndrewRayCode,postolka,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,titansoftime,20160,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AndrewRayCode,tschw,20160,0.5566666666666666,0.0,0.0,0.0,0.9433333333333334,0.6666666666666666,5,0,0,0,3,11
AndrewRayCode,tschw,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewRayCode,zydecode,20161,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AndreySukhov,Mugen87,20181,0.5,0.0,0.0,0.0,1.0,1.0,5,0,0,0,1,7
AndreySukhov,WestLangley,20181,0.5,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,5
AndreySukhov,makc,20181,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AndreySukhov,tbalouet,20181,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AngelTs,WestLangley,20170,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
AngeloReppucci,donmccurdy,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AngeloReppucci,mrdoob,20170,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Anima-t3d,draivin,20111,0.0,0.0,0.0,0.0,0.6699999999999999,1.0,0,0,0,0,1,4
Anima-t3d,mrdoob,20111,0.0,0.0,0.0,0.0,0.6699999999999999,1.0,0,0,0,0,1,5
ArjanSchouten,Mugen87,20170,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
ArjanSchouten,WestLangley,20170,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
ArjanSchouten,m-schuetz,20170,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
ArjanSchouten,mrdoob,20170,0.75,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,6
Arnache,Mugen87,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Arnache,TyLindberg,20171,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Arnache,mrdoob,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Arnache,saviski,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Arsakes,mrdoob,20141,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Artyom17,Mugen87,20181,0.5549999999999999,0.07,0.035,0.0,1.0,0.855,11,2,1,0,2,15
Artyom17,hoch,20181,0.36,0.14,0.0,0.0,1.0,0.71,5,2,0,0,1,9
Artyom17,mrdoob,20181,0.625,0.0,0.125,0.0,1.0,1.0,5,0,1,0,2,9
Artyom17,osov,20181,0.58,0.0,0.08,0.0,1.0,1.0,7,0,1,0,1,7
Ashajoney,WestLangley,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ashajoney,WestLangley,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ashajoney,eMYKion,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ashajoney,jostschmithals,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ashajoney,mrdoob,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ashajoney,mrdoob,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ashajoney,pailhead,20171,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
Ashutosh421,Mugen87,20180,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Ashutosh421,looeee,20180,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Astrak,MasterJames,20151,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Astrak,Mugen87,20171,0.5333333333333333,0.09000000000000001,0.0,0.0033333333333333335,0.9633333333333334,0.63,53,3,0,1,3,27
Astrak,Mugen87,20180,0.5,0.0,0.0,0.0,1.0,0.75,2,0,0,0,1,5
Astrak,RemusMar,20151,0.67,0.0,0.0,0.0,0.6699999999999999,1.0,8,0,0,0,1,7
Astrak,StoneMa,20180,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Astrak,WestLangley,20151,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Astrak,WestLangley,20170,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Astrak,WestLangley,20171,0.4166666666666667,0.0,0.0,0.0,0.6666666666666666,1.0,4,0,0,0,3,10
Astrak,WestLangley,20180,0.5650000000000001,0.0,0.0,0.0,0.835,0.9,5,0,0,0,2,10
Astrak,XanderLuciano,20180,0.33,0.33,0.17,0.17,0.6699999999999999,0.5,2,2,1,1,1,5
Astrak,bhouston,20170,0.25,0.0,0.0,0.085,0.835,0.25,3,0,0,1,2,7
Astrak,bhouston,20171,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Astrak,brianchirls,20170,0.5,0.0,0.33,0.0,1.0,1.0,3,0,2,0,1,5
Astrak,gero3,20170,0.5,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,5
Astrak,looeee,20170,0.67,0.0,0.0,0.0,0.6699999999999999,1.0,2,0,0,0,1,4
Astrak,maciek134,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Astrak,makc,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Astrak,moraxy,20171,0.89,0.0,0.0,0.0,0.89,1.0,24,0,0,0,1,12
Astrak,mrdoob,20151,0.16666666666666666,0.11,0.0,0.16666666666666666,0.38999999999999996,0.6666666666666666,1,1,0,1,3,9
Astrak,mrdoob,20170,0.6666666666666666,0.05666666666666667,0.11,0.0,0.89,0.89,7,1,2,0,3,12
Astrak,mrdoob,20171,0.41000000000000003,0.0,0.0625,0.0,0.7225,1.0,11,0,1,0,4,21
Astrak,mrdoob,20180,0.5,0.0,0.4,0.0,1.0,1.0,5,0,4,0,1,7
Astrak,pailhead,20171,0.89,0.0,0.0,0.0,0.89,1.0,8,0,0,0,1,10
Astrak,realratchet,20180,0.5,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,6
Astrak,thmasn,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AustinDuvin,NicolasRannou,20181,0.5,0.0,0.25,0.0,1.0,1.0,2,0,1,0,1,4
AustinDuvin,easyfrog,20181,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AustinDuvin,mrdoob,20181,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
AustinDuvin,pailhead,20181,0.5,0.0,0.25,0.0,1.0,1.0,2,0,1,0,1,4
AustinDuvin,trusktr,20181,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Avocher,WestLangley,20180,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
Awea,donmccurdy,20171,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
Awea,enjinstudios,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Awea,mrdoob,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
BAntDit,MHA15,20171,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
BAntDit,Mugen87,20171,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
BAntDit,WestLangley,20171,0.67,0.0,0.0,0.0,1.0,1.0,14,0,0,0,1,10
BAntDit,mrdoob,20171,0.2966666666666667,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,56,1,0,0,3,20
Bab64,SpiritBreaker,20161,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
Bab64,looeee,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Bandit,Mugen87,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Bandit,jostschmithals,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
BashCloud,WestLangley,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ben-Mack,Julien-Arlandis,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,6
Ben-Mack,Mugen87,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
Ben-Mack,WestLangley,20180,0.71,0.0,0.0,0.0,1.0,1.0,15,0,0,0,1,10
Ben-Mack,WestLangley,20181,0.25,0.0,0.0,0.0,0.75,1.0,2,0,0,0,2,6
Ben-Mack,bhouston,20180,0.75,0.0,0.0,0.0,1.0,1.0,9,0,0,0,1,7
Ben-Mack,bhouston,20181,0.5,0.0,0.0,0.0,0.5,1.0,2,0,0,0,1,4
Ben-Mack,calrk,20180,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
Ben-Mack,donmccurdy,20180,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,2,6
Ben-Mack,fernandojsg,20180,0.78,0.0,0.0,0.0,1.0,1.0,7,0,0,0,1,10
Ben-Mack,mlimper,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,5
Ben-Mack,mrdoob,20180,0.375,0.0,0.0,0.0,1.0,0.875,6,0,0,0,2,11
Ben-Mack,mrdoob,20181,0.67,0.0,0.67,0.0,1.0,1.0,2,0,2,0,1,4
Ben-Mack,takahirox,20180,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
Ben-Mack,whatisor,20180,0.25,0.0,0.25,0.0,1.0,1.0,1,0,1,0,1,5
Ben-Mack,zellski,20180,0.57,0.0,0.0,0.0,1.0,0.71,4,0,0,0,1,8
BenCidPerez,Mugen87,20180,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,3
BenCidPerez,WestLangley,20161,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
BenCidPerez,mrdoob,20161,0.125,0.375,0.06,0.06,0.375,0.75,2,3,1,1,2,9
BenCidPerez,mrdoob,20180,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,4
BenCidPerez,pontiffpublishing,20161,0.25,0.25,0.0,0.25,0.75,0.0,1,1,0,1,1,5
BenediktS,Usnul,20150,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,3
BenediktS,repsac,20150,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,4
Benjamin-Dobell,Mugen87,20170,0.75,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,6
Benjamin-Dobell,Nimja,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Benjamin-Dobell,SpencerIO,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Benjamin-Dobell,WestLangley,20170,0.7799999999999999,0.0,0.0,0.0,0.89,0.89,11,0,0,0,3,14
Benjamin-Dobell,ikerr,20170,0.17,0.0,0.0,0.0,1.0,0.33,2,0,0,0,1,8
Benjamin-Dobell,lojjic,20161,0.59,0.06,0.0,0.59,0.41,0.0,10,1,0,10,1,18
Benjamin-Dobell,lojjic,20170,0.17,0.17,0.0,0.17,0.6699999999999999,0.5,1,1,0,1,1,5
Benjamin-Dobell,mrdoob,20161,0.2833333333333333,0.3333333333333333,0.0,0.0,0.3033333333333333,1.0,14,1,0,0,3,25
Benjamin-Dobell,mrdoob,20170,0.6675,0.0,0.0,0.0,0.9175,1.0,8,0,0,0,4,14
Benjamin-Dobell,mslonina,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Benjamin-Dobell,pailhead,20161,0.45,0.02,0.0,0.24,0.41,0.6,76,4,0,40,1,27
Benjamin-Dobell,pailhead,20170,0.74,0.035,0.0,0.02,0.835,0.9450000000000001,27,4,0,2,2,23
Benjamin-Dobell,titansoftime,20170,0.17,0.17,0.0,0.17,0.6699999999999999,0.5,1,1,0,1,1,5
Benjy1979,looeee,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
BennyHinrichs,morgansegura,20180,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
BennyHinrichs,zstauber,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
Bergmam,donmccurdy,20180,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
Bergmam,mrdoob,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Bergmam,olleman42,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Bergmam,takahirox,20180,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Berserk82,Mugen87,20171,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
Berserk82,Wilt,20171,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
BlueMagnificent,Mugen87,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
BlueMagnificent,griffin2000,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Bobarev,Mugen87,20171,0.67,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
Bonfims,CarlBateman,20170,0.9,0.0,0.0,0.0,1.0,1.0,18,0,0,0,1,12
Bonfims,Mugen87,20170,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Bonfims,jdanford,20170,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Bonfims,jostschmithals,20170,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Bonfims,mrdoob,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
Bonfims,takahirox,20170,1.0,0.0,0.0,0.0,1.0,1.0,8,0,0,0,1,6
Bravos123,donmccurdy,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Bravos123,looeee,20181,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
BretMishler,mrdoob,20160,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
BrianMacIntosh,looeee,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
BrianMacIntosh,mrdoob,20170,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
BrianSipple,WestLangley,20161,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
BrianSipple,looeee,20170,0.75,0.0,0.25,0.0,1.0,1.0,3,0,1,0,2,6
BrianSipple,mrdoob,20170,0.25,0.0,0.25,0.0,1.0,1.0,1,0,1,0,2,5
Bruce-Zion,Mugen87,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Bruce-Zion,looeee,20180,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
BrunoB69,Mugen87,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
BrunoB69,mrdoob,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
