date,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
2018-02-12,1.0,1.0,4,0,0,0,2,9
2018-02-19,1.0,0.75,3,0,0,0,1,5
2018-02-26,1.0,1.0,1,0,0,0,1,3
2018-03-05,1.0,1.0,4,0,0,0,1,4
2018-03-12,1.0,1.0,1,0,0,0,1,3
