name,year_week,issue_num,label
wesm,201140,204,2
wesm,201140,206,1
takluyver,201140,206,2
wesm,201220,207,1
changhiskhan,201220,207,1
wesm,201140,209,1
wesm,201141,211,2
wesm,201141,213,12
takluyver,201141,213,2
wesm,201141,214,2
wesm,201141,215,22
changhiskhan,201218,216,2
wesm,201219,216,2
wesm,201249,217,2
wesm,20121,218,2
wesm,201141,219,2
wesm,201146,219,2
wesm,201146,220,2
wesm,201141,221,2
wesm,20128,222,2
adamklein,20129,222,21
wesm,20129,222,2
wesm,201141,224,222
takluyver,201141,224,211
wesm,201141,225,2222
takluyver,201141,225,12
wesm,201141,226,0
takluyver,201141,226,1
takluyver,201141,228,2
wesm,201141,228,1
wesm,201141,232,222
PhE,201141,232,01
brentp,201141,232,2
wesm,201141,233,02
takluyver,201141,233,2
wesm,201142,233,0202
takluyver,201142,233,0222
wesm,201141,235,22
CRP,201141,235,0
lodagro,201212,235,2
adamklein,201212,235,2
wesm,201212,235,2
lodagro,201212,236,2
kghose,201322,236,2
baldwint,201323,236,20
cpcloud,201323,236,2022200
jreback,201323,236,22222222
kghose,201323,236,2
njsmith,201338,236,21
jreback,201338,236,02
dragoljub,201338,236,2
wesm,201141,238,122
creeson,201141,238,1
wesm,201141,239,2
creeson,201141,239,1
wesm,201141,240,22
takluyver,201141,240,22
wesm,201142,240,2221
takluyver,201142,240,222
wesm,201142,241,122
takluyver,201142,241,22
wesm,201142,242,2
wesm,201142,244,12
cpcloud,201331,245,22
wesm,201331,245,2
levithomason,201652,245,2
jorisvandenbossche,201652,245,2
wesm,201652,245,0
wesm,201142,247,2
aman-thakral,201142,251,2
wesm,201142,253,2
aman-thakral,201142,254,2
wesm,201142,254,21
wesm,201219,255,2
wesm,20162,255,2
shoyer,20162,255,2
wesm,201142,256,2
wesm,201142,259,1
wesm,201142,260,2
wesm,201142,261,2
wesm,201142,263,222222
asqui,201142,263,02
wesm,201142,264,1
wesm,201142,268,2
wesm,201142,269,2
changhiskhan,201145,269,2
wesm,201145,269,0
cpcloud,201330,269,2
wesm,201331,269,2
wesm,201142,272,1
wesm,201142,277,22
takluyver,201142,277,2
wesm,201142,278,1
wesm,201143,279,2
creeson,201144,281,1
wesm,201144,281,21
wesm,201150,282,2
gregglind,20121,282,2
wesm,20121,282,0
wesm,201143,284,2221
evandavey,201143,284,011
wesm,201144,286,1
wesm,201146,286,0
wesm,201147,286,2
wesm,201144,287,2
wesm,201146,287,1
lbeltrame,201146,287,2
lodagro,201146,287,0
wesm,201143,288,22
lbeltrame,201143,288,22
changhiskhan,201146,288,2
wesm,201146,288,2
wesm,201143,290,2
dieterv77,201143,290,1
gregglind,201152,292,2
gregglind,20121,292,1
wesm,201144,293,2
wesm,201143,294,222
lodagro,201143,294,22
hammer,201143,295,2
wesm,201144,296,1
changhiskhan,201145,297,2
wesm,201146,297,2
takluyver,201145,300,2
wesm,201146,300,12
takluyver,201146,300,20
fccoelho,201237,300,2
wesm,201146,301,2
wesm,201143,304,1
Komnomnomnom,201143,304,1
wesm,201144,305,2
wesm,201143,307,2
hammer,201144,307,2
wesm,201144,307,1
natekupp,201145,309,11
wesm,201145,309,2222
natekupp,201146,309,1
adamklein,201144,310,2
wesm,201144,311,2
wesm,201144,313,12222
adamklein,201145,313,2
wesm,201145,313,2
wesm,201144,314,2
bburan,201144,315,2
wesm,201144,315,22
wesm,201144,316,2
wesm,201151,316,2
seanjtaylor,201144,319,22
wesm,201144,319,2
wesm,201144,320,21
vincentarelbundock,201144,320,1
wesm,201144,321,1
wesm,201144,322,22
davclark,201144,322,0
wesm,201215,322,2
wesm,201144,323,22
mcobzarenco,201144,323,2
wesm,201144,324,2212
sjev,201144,324,1
wesm,201144,325,12
craustin,201144,325,2
wesm,201144,327,2
changhiskhan,201145,328,0
wesm,20121,328,22
wesm,201144,329,222
sjev,201144,329,2
wesm,201144,330,2
wesm,201144,332,222
fonnesbeck,201144,332,22
wesm,201144,334,2
wesm,201144,335,2
wesm,201144,336,2
sjev,201144,336,1
wesm,201145,339,2
takluyver,201145,340,2
hatmatrix,201148,342,1
wesm,201151,342,2
hatmatrix,201210,342,1
erichamers,201850,342,2
wesm,201145,344,2
tvaught,201145,344,1
wesm,201145,345,1
wesm,201145,346,2
wesm,201146,348,12
lbeltrame,20121,350,2
lbeltrame,20126,350,2
lbeltrame,20128,350,2
nspies,201213,350,22
lbeltrame,201213,350,222
lbeltrame,201214,350,2
wesm,201145,351,1
rsamson,201145,351,1
ukch,201145,352,2
wesm,201145,352,1
ukch,201145,354,2
wesm,201145,354,2
wesm,201145,355,121
aman-thakral,201145,355,1
wesm,201145,356,2
aman-thakral,201145,356,1
wesm,201145,359,2
wesm,201145,362,121
dieterv77,201146,365,2
wesm,201146,365,1
ukch,201146,366,2
wesm,201146,366,1
CRP,201146,367,2
wesm,201146,367,1
wesm,201147,368,1
wesm,201146,369,1
wesm,201147,371,2
wesm,20123,371,2222
lodagro,20123,371,21
wesm,201146,372,0
wesm,201146,373,12
CRP,201146,373,2
wesm,201146,375,21
wesm,201146,377,22
craustin,201146,378,2
wesm,201146,378,2
wesm,201146,380,202
craustin,201146,380,2
lamblin,20123,380,2
wesm,201146,385,1
lodagro,201146,385,0
wesm,201147,385,2
wesm,201146,386,2
wesm,201146,387,2
wesm,201147,387,2
changhiskhan,201228,388,2
wesm,201228,388,0
jreback,201410,388,2
wesm,201146,389,22
craustin,201146,389,21
wesm,201147,389,2
wesm,201147,390,2
aman-thakral,201147,392,1
lodagro,20121,395,21
adamklein,20121,395,2
wesm,201147,396,12
wesm,201147,401,2
CRP,201147,401,1
hayd,201422,401,2
wesm,201147,403,2
jseabold,201147,403,1
cpcloud,201331,404,1
hayd,201331,404,2
cpcloud,201339,404,2
hayd,201339,404,2
wesm,201827,404,2
wesm,201147,405,2
sanand0,201245,407,2
wesm,201245,407,2
fivejjs,20154,407,0
TomAugspurger,20154,407,2
cpcloud,20154,407,2
snetts,201630,407,2
kvallinatest,201740,407,0
jorisvandenbossche,201740,407,2
jreback,201338,410,2
wesm,201147,411,2
ralphbean,201148,412,2
wesm,201148,412,2
lodagro,201151,413,2
lodagro,20129,413,2
wesm,201210,413,2
lodagro,201210,413,0
drewfrank,201210,413,0
ycopin,201226,413,2
waltonjones,201332,413,2
soerendip,201450,413,2
wesm,201827,413,2
ghost,201347,414,2
wesm,201149,415,2
wesm,201147,416,2
wesm,201147,417,22
lodagro,201148,418,22
sjev,201148,418,211
wesm,201148,418,2
ralphbean,201148,419,222
wesm,201148,419,1
wesm,201148,420,1
wesm,201148,424,1
wesm,201148,425,1
joonro,201148,425,1
wesm,201148,426,2
fonnesbeck,201148,426,1
wesm,201148,427,1
wesm,201148,428,1
CRP,201148,428,0
wesm,201149,428,2
wesm,201150,428,1
wesm,201148,431,2
sjev,201148,431,1
lbeltrame,201148,435,2
wesm,201149,435,22
sjev,201149,435,2
wesm,201149,436,2
sjev,201148,438,21
wesm,201148,438,22
wesm,201150,439,2
wesm,201148,440,2
lodagro,20126,440,2
wesm,201148,441,210
sjev,201148,441,21
wesm,201149,441,2
wesm,201149,442,1
fperez,201149,442,1
lodagro,201149,444,2
fperez,201149,444,201
wesm,201149,444,2222
wesm,201150,444,2
fperez,201150,444,1
jreback,201433,445,2
wesm,201149,446,2
lbeltrame,201149,447,2
lodagro,201149,447,2
wesm,201149,447,2
hugadams,201242,447,2
pmacaodh,201249,447,0
wesm,201249,447,2
hugadams,201249,447,2022
ghost,201249,447,02
ghost,201250,447,2
sglyon,201314,447,2
hugadams,201314,447,20
JamesPHoughton,201318,447,2
nehalecky,201318,447,2
ghost,201318,447,2
kevindavenport,201336,447,2
jtratner,201336,447,2
jreback,201336,447,2
ghost,20144,447,222
jreback,20144,447,21
JamesRamm,201417,447,2
denfromufa,201533,447,2
summerela,201534,447,2
jreback,201330,448,2
jreback,201333,448,2
lodagro,201149,449,2
lbeltrame,201149,450,22221
wesm,201149,450,022
lodagro,201149,450,0
wesm,201149,451,2
wesm,201149,452,2
wesm,201149,453,12
lodagro,201149,453,22
andreas-h,201149,454,2
wesm,201150,454,2
lodagro,201149,455,0
jankatins,201151,455,000
wesm,201151,455,2022
jankatins,20121,455,1
wesm,20123,455,2
wesm,201149,457,2
wesm,201149,458,2222
mwiebe,201149,458,22
reckoner,201149,458,1
kisielk,201216,459,2
CRP,20148,459,0
jreback,20148,459,2
jreback,201411,459,2
wesm,201149,460,122
wesm,201149,463,2
sjev,201149,463,2
wesm,20121,464,2
stig,20122,464,1
wesm,20122,464,2
wesm,201150,465,22
wesm,201214,466,2
wesm,20121,468,2
wesm,201150,469,2
wesm,201639,470,2
wesm,201150,471,2
lodagro,201150,471,1
ghost,201241,472,2
lodagro,201242,472,2
wesm,201152,476,0
lodagro,201152,476,1
wesm,201150,478,22
mattharrison,201150,478,2
wesm,201150,482,1
wesm,201150,483,2
CRP,201150,483,2
wesm,201217,483,2
wesm,201150,484,1
wesm,201150,485,12
mattharrison,201150,485,0
wesm,201150,486,1
wesm,201150,487,2
wesm,201150,488,22
craustin,201150,488,2
wesm,201150,489,2
craustin,201150,489,2
lodagro,201150,489,2
wesm,201150,490,1
wesm,201150,491,2
wesm,201150,492,2
lodagro,201150,493,2
wesm,201150,494,1
wesm,201150,495,2
jankatins,201150,497,2
wesm,201150,497,2
jankatins,201151,497,1
craustin,201150,500,2
wesm,201150,500,2
wesm,20126,502,2
wesm,201151,503,111
dieterv77,201151,503,0
wesm,201151,504,2102
timClicks,201151,504,2
gregglind,201151,504,12
wesm,201151,505,21
solomon-negusse,201151,505,21
wesm,201151,508,2
wesm,201151,509,222
reckoner,201151,509,1
wesm,201151,510,222
craustin,201151,510,21
craustin,201151,511,222
wesm,20121,511,2
craustin,20122,511,22
wesm,20122,511,222
jreback,20124,512,2
bshanks,201151,513,2
wesm,201151,514,2
wesm,201151,515,0
wesm,20125,515,2
wesm,20128,515,2
bshanks,20129,515,2
wesm,201236,515,2
wesm,201151,516,0
catawbasam,201151,516,1
wesm,20121,517,1
wesm,201151,518,1
wesm,201151,519,2222
mattharrison,201151,519,220
wesm,201151,520,2
gregglind,20121,520,1
wesm,201152,521,1
changhiskhan,201219,522,2
wesm,201151,523,222
mattharrison,201151,523,2
mattharrison,201152,523,22
wesm,201152,523,22
wesm,201151,524,2
wesm,201151,526,2011
gregglind,201151,526,10
wesm,201151,530,2
lodagro,20121,531,2
wesm,20122,531,1
wesm,201151,532,1
wesm,201151,533,1
wesm,201152,534,2
wesm,201151,537,2
wesm,201219,538,2
wesm,201151,539,1
wesm,201152,542,2
wesm,201639,543,2
wesm,201152,544,2
mattharrison,201152,546,2102
wesm,201152,546,102
wesm,201152,550,22
