name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
ctiller,iamqizhao,20150,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
murgatroid99,nicolasnoble,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
nicolasnoble,tbetbetbe,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
murgatroid99,tbetbetbe,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nicolasnoble,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nicolasnoble,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
dgquintas,yang-g,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
murgatroid99,nathanielmanistaatgoogle,20150,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,1.0
ctiller,nathanielmanistaatgoogle,20150,2,0,0,0,0.33,0.0,0.0,0.0,5,1,1.0,1.0
ctiller,murgatroid99,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,vjpai,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,murgatroid99,20150,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
nicolasnoble,vjpai,20150,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
sahlberg,vjpai,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
nicolasnoble,sahlberg,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
hsaliak,mmoanis,20180,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mmoanis,ncteisen,20180,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
hsaliak,ncteisen,20180,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nicolasnoble,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,vjpai,20150,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
ctiller,jtattermusch,20150,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
jtattermusch,kennetatgoogle,20150,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
ctiller,kennetatgoogle,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,yang-g,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nicolasnoble,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mehrdada,nathanielmanistaatgoogle,20170,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
mehrdada,nathanielmanistaatgoogle,20180,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
ctiller,yang-g,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
nicolasnoble,yang-g,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nicolasnoble,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,vjpai,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
nicolasnoble,vjpai,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,nicolasnoble,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jboeuf,nicolasnoble,20150,1,0,0,1,1.0,0.0,0.0,1.0,2,1,0.0,0.0
ctiller,nathanielmanistaatgoogle,20150,8,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
craigcitro,nathanielmanistaatgoogle,20150,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
craigcitro,ctiller,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
nathanielmanistaatgoogle,nicolasnoble,20150,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
ctiller,nicolasnoble,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
craigcitro,nicolasnoble,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
nathanielmanistaatgoogle,nicolasnoble,20150,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
donnadionne,tbetbetbe,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
tbetbetbe,yang-g,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
donnadionne,yang-g,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
alex,nathanielmanistaatgoogle,20150,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
kryzthov,nathanielmanistaatgoogle,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
methane,nathanielmanistaatgoogle,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
alex,kryzthov,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
alex,methane,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
kryzthov,methane,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jedsmith,soltanmm,20151,3,0,0,1,0.5,0.0,0.0,0.17,5,1,0.5,0.6699999999999999
DemiMarie,soltanmm,20151,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
DemiMarie,jedsmith,20151,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
goldenbull,leifurhauks,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
