name1,name2,period,issue_num,p1,p2
"jgeewax","soltanmm","20160","282","2","01"
"kpayson64","soltanmm","20160","282","221","01"
"ctiller","soltanmm","20160","282","2","01"
"ictxiangxin","soltanmm","20160","282","2","01"
"ctiller","goldenbull","20160","282","2","2"
"leifurhauks","nathanielmanistaatgoogle","20160","282","221","22"
"goldenbull","nathanielmanistaatgoogle","20160","282","2","22"
"lovfu","nathanielmanistaatgoogle","20160","282","2","22"
"jgeewax","nathanielmanistaatgoogle","20160","282","2","22"
"kpayson64","nathanielmanistaatgoogle","20160","282","221","22"
"ctiller","nathanielmanistaatgoogle","20160","282","2","22"
"ictxiangxin","nathanielmanistaatgoogle","20160","282","2","22"
"leifurhauks","lovfu","20160","282","221","2"
"goldenbull","lovfu","20160","282","2","2"
"jgeewax","lovfu","20160","282","2","2"
"kpayson64","lovfu","20160","282","221","2"
"ctiller","lovfu","20160","282","2","2"
"ictxiangxin","lovfu","20160","282","2","2"
"leifurhauks","viksit","20160","282","221","1"
"soltanmm","viksit","20160","282","01","1"
"goldenbull","viksit","20160","282","2","1"
"nathanielmanistaatgoogle","viksit","20160","282","22","1"
"lovfu","viksit","20160","282","2","1"
"jgeewax","viksit","20160","282","2","1"
"tseaver","viksit","20160","282","0","1"
"kpayson64","viksit","20160","282","221","1"
"ctiller","viksit","20160","282","2","1"
"ictxiangxin","viksit","20160","282","2","1"
"goldenbull","jgeewax","20160","282","2","2"
"ctiller","jgeewax","20160","282","2","2"
"ictxiangxin","jgeewax","20160","282","2","2"
"leifurhauks","tseaver","20160","282","221","0"
"soltanmm","tseaver","20160","282","01","0"
"goldenbull","tseaver","20160","282","2","0"
"nathanielmanistaatgoogle","tseaver","20160","282","22","0"
"lovfu","tseaver","20160","282","2","0"
"jgeewax","tseaver","20160","282","2","0"
"kpayson64","tseaver","20160","282","221","0"
"ctiller","tseaver","20160","282","2","0"
"ictxiangxin","tseaver","20160","282","2","0"
"goldenbull","kpayson64","20160","282","2","221"
"jgeewax","kpayson64","20160","282","2","221"
"ctiller","kpayson64","20160","282","2","221"
"ictxiangxin","kpayson64","20160","282","2","221"
"goldenbull","ictxiangxin","20160","282","2","2"
"ctiller","ictxiangxin","20160","282","2","2"
"murgatroid99","vjpai","20151","288","1","2"
"ctiller","nathanielmanistaatgoogle","20150","294","2","222"
"craigcitro","nathanielmanistaatgoogle","20150","294","1","222"
"craigcitro","ctiller","20150","294","1","2"
"ctiller","jboeuf","20150","296","22221","222"
"ctiller","nicolasnoble","20150","306","2","22"
"ctiller","yang-g","20150","315","222","2"
"tbetbetbe","yang-g","20150","315","2","2"
"ctiller","tbetbetbe","20150","315","222","2"
"ctiller","dklempner","20150","318","2","2"
"ctiller","jboeuf","20150","319","22","2"
"ncteisen","vjpai","20180","320","2","2"
"ctiller","dklempner","20150","331","22","2"
"ctiller","nathanielmanistaatgoogle","20150","334","2","2"
"ctiller","murgatroid99","20150","339","2","2"
"ctiller","nathanielmanistaatgoogle","20150","339","2","2"
"murgatroid99","nathanielmanistaatgoogle","20150","339","2","2"
"ctiller","murgatroid99","20150","350","2","0"
"ctiller","yang-g","20150","357","2","2"
"jboeuf","nicolasnoble","20150","369","22","1"
"dklempner","nicolasnoble","20150","375","122","22"
"ctiller","jcanizales","20150","381","222201222","2"
"ctiller","murgatroid99","20150","381","222201222","22"
"jcanizales","murgatroid99","20150","381","2","22"
"ctiller","vjpai","20150","384","2","12"
"dklempner","vjpai","20150","385","2","2"
"LisaFC","murgatroid99","20150","395","2","2"
"murgatroid99","stanley-cheung","20160","395","2","2"
