"name1","name2","year_week","issue_num","p1","p2"
"Micr0Bit","penev92","20157","7449","0","22"
"DaveAxiom","Mailaender","20157","7449","20","22"
"Phrohdoh","Unit158","20157","7449","2","0"
"penev92","Unit158","20157","7449","22","0"
"Mailaender","Unit158","20157","7449","22","0"
"DaveAxiom","Unit158","20157","7449","20","0"
"Micr0Bit","Unit158","20157","7449","0","0"
"Mailaender","Micr0Bit","20157","7449","22","0"
"DaveAxiom","Micr0Bit","20157","7449","20","0"
"Computerfreaked","pchote","20157","7450","1","2"
"pchote","rmoriz","201547","7451","2222","2"
"Mailaender","penev92","20157","7452","222","22"
"MustaphaTR","penev92","20157","7452","2","22"
"pchote","penev92","20157","7452","222","22"
"Mailaender","xan2622","20157","7452","222","2"
"penev92","xan2622","20157","7452","22","2"
"MustaphaTR","xan2622","20157","7452","2","2"
"pchote","xan2622","20157","7452","222","2"
"Mailaender","MustaphaTR","20157","7452","222","2"
"Mailaender","pchote","20157","7452","222","222"
"MustaphaTR","pchote","20157","7452","2","222"
"chrisforbes","Nelax","20157","7453","2","202"
"Computerfreaked","Nelax","20157","7453","2","202"
"chrisforbes","Computerfreaked","20157","7453","2","2"
"Computerfreaked","Nelax","20157","7454","2","00"
"Nelax","obrakmann","20157","7454","00","2"
"Computerfreaked","obrakmann","20157","7454","2","2"
"obrakmann","Unit158","201522","7454","0","2"
"pchote","Phrohdoh","20157","7456","20","22"
"Mailaender","Phrohdoh","20157","7456","2","22"
"penev92","Phrohdoh","20157","7456","2","22"
"Mailaender","pchote","20157","7456","2","20"
"pchote","penev92","20157","7456","20","2"
"Mailaender","penev92","20157","7456","2","2"
"Phrohdoh","rappo","20157","7456","22","11"
"pchote","rappo","20157","7456","20","11"
"Mailaender","rappo","20157","7456","2","11"
"penev92","rappo","20157","7456","2","11"
"pchote","Phrohdoh","20157","7457","122202","2"
"Mailaender","Phrohdoh","20157","7457","202222","2"
"penev92","Phrohdoh","20157","7457","2","2"
"Mailaender","pchote","20157","7457","202222","122202"
"pchote","penev92","20157","7457","122202","2"
"Mailaender","penev92","20157","7457","202222","2"
"ihptru","obrakmann","20157","7458","2","2"
"Mailaender","obrakmann","20157","7458","212","2"
"ihptru","pchote","20157","7458","2","22"
"obrakmann","pchote","20157","7458","2","22"
"Mailaender","pchote","20157","7458","212","22"
"ihptru","Mailaender","20157","7458","2","212"
"ghost","SoScared","20158","7458","1","2"
"Mailaender","pchote","20157","7460","2222","220"
"obrakmann","pchote","20157","7460","222","220"
"Mailaender","obrakmann","20157","7460","2222","222"
"Mailaender","Nelax","20157","7461","222222","2"
"Mailaender","pchote","20157","7461","222222","2222"
"Nelax","pchote","20157","7461","2","2222"
"Mailaender","pchote","20158","7461","222","222"
"obrakmann","pchote","20158","7461","10","222"
"pchote","reaperrr","20158","7461","222","2"
"Mailaender","reaperrr","20158","7461","222","2"
"obrakmann","reaperrr","20158","7461","10","2"
"Mailaender","obrakmann","20158","7461","222","10"
"abcdefg30","Mailaender","20158","7462","2","2"
"Phrohdoh","Smith00101010","20157","7463","2","22222"
"Mailaender","Smith00101010","20157","7463","222","22222"
"obrakmann","Smith00101010","20157","7463","020","22222"
"Mailaender","Phrohdoh","20157","7463","222","2"
"obrakmann","Phrohdoh","20157","7463","020","2"
"Mailaender","obrakmann","20157","7463","222","020"
"pchote","Smith00101010","201511","7463","2","0"
"Mailaender","Smith00101010","201513","7463","22","22"
"abcdefg30","Smith00101010","201516","7463","2","2"
"obrakmann","Smith00101010","201516","7463","0","2"
"abcdefg30","obrakmann","201516","7463","2","0"
"GeertJohan","Unit158","20157","7465","02","22"
