name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
Carreau,cfortiz,20181,1.0,1.0,0,0,0,0,1,3
Carreau,charlesreid1,20181,1.0,1.0,1,0,0,0,1,2
Carreau,choldgraf,20181,1.0,1.0,1,0,1,0,1,3
Carreau,cmentzel,20181,0.835,1.0,6,2,6,0,2,9
Carreau,dakoop,20181,0.83,1.0,1,1,1,0,1,7
Carreau,dalejung,20181,0.8,1.0,6,0,0,0,1,11
Carreau,damlaalkan,20181,1.0,1.0,4,0,4,0,1,5
Carreau,danielballan,20181,1.0,1.0,3,0,0,0,1,5
Carreau,danlub,20181,1.0,1.0,0,0,0,0,1,3
Carreau,davidbrochart,20181,1.0,1.0,14,0,1,0,2,13
Carreau,dawehner,20181,1.0,0.0,0,0,0,0,1,2
Carreau,devadityasingh,20181,1.0,1.0,1,0,0,0,1,2
Carreau,dhirschfeld,20181,1.0,1.0,2,0,0,0,2,6
Carreau,dsblank,20181,0.9285714285714286,0.7857142857142857,16,2,1,0,7,29
Carreau,eamanu,20181,0.6699999999999999,1.0,2,2,2,0,1,7
Carreau,eirnym,20181,1.0,1.0,0,0,0,0,1,3
Carreau,ellert,20181,0.75,1.0,4,0,0,0,1,6
Carreau,ellisonbg,20181,0.0,0.0,1,0,0,1,1,2
Carreau,elyashiv,20181,1.0,1.0,2,0,1,0,2,5
Carreau,emjobson,20181,1.0,1.0,1,0,1,0,1,3
Carreau,felixzhuologist,20181,0.0,1.0,0,1,0,0,1,3
Carreau,femiaiyeku,20181,1.0,1.0,2,0,0,0,1,3
Carreau,floatingpurr,20181,0.0,1.0,0,1,0,0,1,2
Carreau,flying-sheep,20181,1.0,1.0,2,0,1,0,2,4
Carreau,fm75,20181,1.0,1.0,0,0,0,0,1,4
Carreau,fortuna,20181,1.0,1.0,4,0,0,0,1,4
Carreau,fredcallaway,20181,1.0,0.0,0,0,0,0,1,2
Carreau,gpotter2,20181,1.0,1.0,0,0,0,0,1,2
Carreau,graingert,20181,1.0,1.0,2,0,0,0,1,4
Carreau,gustavoefeiche,20181,0.5,1.0,2,0,0,0,2,5
Carreau,gzerveas,20181,1.0,1.0,1,0,0,0,1,2
Carreau,haivp3010,20181,1.0,1.0,20,0,8,0,1,13
Carreau,hatarist,20181,0.8,0.5,6,4,0,2,1,12
Carreau,hemanthsavasere,20181,1.0,1.0,1,0,0,0,1,2
Carreau,hongshaoyang,20181,1.0,1.0,1,0,0,0,2,5
Carreau,hroncok,20181,0.0,1.0,0,2,0,0,1,3
Carreau,isaacovercast,20181,1.0,1.0,0,0,0,0,1,4
Carreau,ivanov,20181,0.9814285714285714,1.0,25,2,6,0,7,39
Carreau,j86989,20181,1.0,1.0,1,0,1,0,1,3
Carreau,jakevdp,20181,1.0,1.0,0,0,0,0,1,3
Carreau,jamesw966,20181,1.0,1.0,0,0,0,0,1,2
Carreau,jansegre,20181,1.0,0.0,0,0,0,0,1,3
Carreau,jasongrout,20181,0.83,1.0,4,0,0,0,1,7
Carreau,jdemeyer,20181,1.0,1.0,1,0,0,0,1,2
Carreau,jonathanslenders,20181,1.0,0.89,26,2,0,0,3,17
Carreau,jorisvandenbossche,20181,1.0,1.0,1,0,0,0,1,2
Carreau,jzf2101,20181,1.0,0.5,1,0,0,0,2,5
Carreau,kbd,20181,0.5,1.0,0,1,0,0,1,3
Carreau,kd2718,20181,1.0,0.75,4,0,0,0,2,8
Carreau,kmike,20181,1.0,1.0,1,0,0,0,2,4
Carreau,leegb,20181,0.6699999999999999,1.0,8,0,0,0,1,7
Carreau,lesley2958,20181,1.0,1.0,3,0,0,0,1,4
Carreau,lgautier,20181,1.0,1.0,0,0,0,0,1,2
Carreau,liushapku,20181,0.71,0.9,10,5,4,1,2,16
Carreau,luzpaz,20181,1.0,1.0,0,0,0,0,1,2
Carreau,mUtterberg,20181,1.0,1.0,0,0,0,0,1,2
Carreau,mapio,20181,1.0,1.0,8,0,0,0,2,11
Carreau,matthew-brett,20181,1.0,0.62,25,3,1,0,1,15
Carreau,mazzma12,20181,0.0,1.0,0,1,0,0,1,2
Carreau,meeseeksdev[bot],20181,0.9666666666666666,0.8888888888888888,18,3,8,0,9,50
Carreau,mezaugusto,20181,0.0,1.0,0,0,0,0,1,2
Carreau,mgeier,20181,1.0,1.0,2,0,0,0,1,3
Carreau,michael-k,20181,1.0,1.0,2,0,0,0,2,6
Carreau,minrk,20181,0.8705882352941177,0.7647058823529411,31,2,3,0,17,52
Carreau,mmunozm,20181,1.0,1.0,1,0,0,0,1,2
Carreau,mpacer,20181,1.0,1.0,1,0,0,0,2,4
Carreau,mpenkov,20181,1.0,1.0,4,0,0,0,2,7
Carreau,mrecachinas,20181,1.0,0.5,4,0,0,0,2,7
Carreau,n8vm,20181,1.0,1.0,2,0,0,0,1,3
Carreau,nadesai,20181,1.0,1.0,6,0,0,0,1,8
Carreau,nestoralonso,20181,1.0,1.0,1,0,0,0,1,2
Carreau,njsmith,20181,0.9,0.5,2,2,2,0,2,14
Carreau,oldani,20181,1.0,1.0,2,0,0,0,1,4
Carreau,oscar6echo,20181,1.0,1.0,3,0,1,0,2,8
Carreau,ozancaglayan,20181,1.0,1.0,1,0,0,0,1,2
Carreau,pganssle,20181,0.8,1.0,12,0,0,0,1,12
Carreau,piaph,20181,0.0,1.0,0,0,0,0,1,2
Carreau,reuben,20181,1.0,1.0,2,0,2,0,1,3
Carreau,rgbkrk,20181,1.0,1.0,2,0,0,0,1,5
Carreau,rhelmot,20181,1.0,0.5,4,3,0,0,1,9
Carreau,robertocarta,20181,1.0,1.0,3,0,0,0,1,4
Carreau,rsvp,20181,1.0,0.0,0,0,0,0,1,2
Carreau,s13varun,20181,1.0,1.0,1,0,0,0,1,2
Carreau,sametmax,20181,1.0,0.6699999999999999,2,0,0,0,1,5
Carreau,ssfjhh,20181,1.0,1.0,1,0,0,0,1,2
Carreau,stas00,20181,0.6699999999999999,1.0,0,1,0,0,1,4
Carreau,stevengj,20181,1.0,1.0,4,0,0,0,1,5
Carreau,stonebig,20181,1.0,0.5,0,0,0,0,2,6
Carreau,sunose,20181,1.0,0.0,0,0,0,0,1,2
Carreau,tacaswell,20181,0.9666666666666668,0.8333333333333334,12,2,2,2,6,27
Carreau,takluyver,20181,0.9863999999999998,0.69,68,9,4,2,25,107
Carreau,tanejasarthak,20181,1.0,1.0,1,0,0,0,1,2
Carreau,tarajb,20181,1.0,1.0,1,0,0,0,1,2
Carreau,tebeka,20181,0.8,1.0,4,2,4,0,1,11
Carreau,teeberg,20181,0.0,1.0,0,0,0,0,1,2
Carreau,thequackdaddy,20181,1.0,0.0,0,0,0,0,2,5
Carreau,tkf,20181,1.0,1.0,4,0,4,0,3,10
Carreau,toddrme2178,20181,0.665,0.75,11,2,0,2,2,13
Carreau,tonyfast,20181,1.0,1.0,28,0,4,0,1,14
