developer1,developer2,cr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
grpc-testing,grpc-kokoro,0.356,99,21147,9312
grpc-testing,jtattermusch,0.716,337,21147,6021
grpc-testing,ctiller,0.503,99,21147,3498
grpc-testing,vjpai,0.603,231,21147,2216
grpc-testing,murgatroid99,0.655,165,21147,1979
grpc-testing,nicolasnoble,0.677,185,21147,1950
grpc-testing,nathanielmanistaatgoogle,0.679,160,21147,1939
grpc-testing,dgquintas,0.596,194,21147,1688
grpc-testing,apolcyn,0.625,248,21147,1500
grpc-testing,markdroth,0.548,278,21147,1193
grpc-testing,yang-g,0.682,141,21147,1137
grpc-testing,ncteisen,0.681,238,21147,1006
grpc-testing,jcanizales,0.521,9,21147,895
grpc-testing,googlebot,0.528,68,21147,892
grpc-testing,mehrdada,0.735,265,21147,883
grpc-testing,kpayson64,0.746,157,21147,830
grpc-testing,muxi,0.643,221,21147,827
grpc-testing,stanley-cheung,0.488,76,21147,822
grpc-testing,yashykt,0.716,184,21147,693
grpc-testing,sreecha,0.664,119,21147,659
grpc-testing,thelinuxfoundation,0.0,176,21147,589
grpc-testing,jboeuf,0.622,58,21147,565
grpc-testing,AspirinSJL,0.643,171,21147,518
grpc-testing,adelez,0.75,120,21147,487
grpc-testing,matt-kwong,0.573,159,21147,486
grpc-testing,y-zeng,0.451,65,21147,377
grpc-testing,makdharma,0.386,21,21147,313
grpc-testing,ejona86,0.643,60,21147,268
grpc-testing,srini100,0.864,134,21147,268
grpc-testing,hsaliak,0.601,41,21147,259
grpc-testing,ZhouyihaiDing,0.643,122,21147,246
grpc-testing,lidizheng,0.845,45,21147,223
grpc-testing,ericgribkoff,0.571,66,21147,217
grpc-testing,jiangtaoli2016,0.786,86,21147,200
grpc-testing,soheilhy,0.295,24,21147,177
grpc-testing,jskeet,0.445,32,21147,159
grpc-testing,thinkerou,0.497,14,21147,159
grpc-testing,yihuazhang,0.653,75,21147,154
grpc-testing,hcaseyal,0.837,53,21147,147
grpc-testing,pgrosu,1.0,1,21147,141
grpc-testing,a11r,0.455,11,21147,109
grpc-testing,kkm000,0.358,24,21147,103
grpc-testing,dklempner,1.0,1,21147,97
grpc-testing,gnossen,0.91,13,21147,94
grpc-testing,blowmage,0.438,12,21147,85
grpc-testing,carl-mastrangelo,0.862,18,21147,80
grpc-testing,jayantkolhe,0.556,3,21147,77
grpc-testing,dhermes,0.825,8,21147,74
grpc-testing,cauthu,0.504,30,21147,62
grpc-testing,thunderboltsid,1.0,1,21147,62
grpc-testing,dcow,0.624,27,21147,54
grpc-testing,mhaidrygoog,0.808,13,21147,52
grpc-testing,larsonmpdx,0.5,2,21147,52
grpc-testing,Falco20019,0.447,19,21147,47
grpc-testing,paralin,1.0,1,21147,44
grpc-testing,theacodes,0.66,12,21147,41
