developer1,developer2,ncr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
mrdoob,Mugen87,0.0,565,6472,2999
mrdoob,WestLangley,0.0,669,6472,2320
mrdoob,donmccurdy,0.0,338,6472,1007
mrdoob,looeee,0.0,292,6472,856
mrdoob,takahirox,0.0,264,6472,761
mrdoob,bhouston,0.0,169,6472,532
mrdoob,makc,0.0,158,6472,432
mrdoob,pailhead,0.0,134,6472,372
mrdoob,RemusMar,0.0,60,6472,155
mrdoob,fernandojsg,0.0,68,6472,149
mrdoob,kaisalmen,0.0,85,6472,127
mrdoob,zz85,0.0,37,6472,123
mrdoob,jostschmithals,0.0,52,6472,122
mrdoob,sunag,0.0,56,6472,121
mrdoob,gero3,0.0,53,6472,121
mrdoob,Usnul,0.0,68,6472,120
mrdoob,Itee,0.0,44,6472,109
mrdoob,arodic,0.0,43,6472,105
mrdoob,danrossi,0.0,33,6472,98
mrdoob,trusktr,0.0,41,6472,94
mrdoob,tschw,0.0,31,6472,88
mrdoob,alteredq,0.0,23,6472,80
mrdoob,aardgoose,0.0,54,6472,79
mrdoob,manthrax,0.0,20,6472,79
mrdoob,cnspaha,0.0,36,6472,71
mrdoob,titansoftime,0.0,39,6472,69
mrdoob,tentone,0.0,35,6472,62
mrdoob,MasterJames,0.0,23,6472,60
mrdoob,ghost,0.0,26,6472,54
mrdoob,gkjohnson,0.0,32,6472,53
mrdoob,brianchirls,0.0,23,6472,48
mrdoob,kenrussell,0.0,31,6472,47
mrdoob,repsac,0.0,9,6472,46
mrdoob,erichlof,0.0,12,6472,44
mrdoob,oguzeroglu,0.0,18,6472,43
mrdoob,haroldiedema,0.0,22,6472,42
mrdoob,yomboprime,0.0,21,6472,41
mrdoob,andreasplesch,0.0,16,6472,39
mrdoob,Astrak,0.0,25,6472,39
mrdoob,Wilt,0.0,15,6472,38
mrdoob,FishOrBear,0.0,20,6472,38
mrdoob,cx20,0.0,26,6472,37
mrdoob,sasha240100,0.0,14,6472,36
mrdoob,moraxy,0.0,18,6472,36
mrdoob,Kyle-Larson,0.0,18,6472,35
mrdoob,dmarcos,0.0,20,6472,35
mrdoob,benaadams,0.0,12,6472,35
mrdoob,yomotsu,0.0,21,6472,33
mrdoob,jonnenauha,0.0,17,6472,31
mrdoob,richardmonette,0.0,15,6472,31
mrdoob,soadzoor,0.0,16,6472,31
mrdoob,Benjamin-Dobell,0.0,9,6472,30
mrdoob,NicolasRannou,0.0,17,6472,30
mrdoob,crobi,0.0,9,6472,30
mrdoob,greggman,0.0,17,6472,28
mrdoob,mattdesl,0.0,16,6472,28
mrdoob,AndrewRayCode,0.0,15,6472,28
mrdoob,daoshengmu,0.0,15,6472,28
mrdoob,jonobr1,0.0,13,6472,27
mrdoob,brianpeiris,0.0,13,6472,27
mrdoob,wizgrav,0.0,14,6472,26
mrdoob,bartmcleod,0.0,10,6472,25
mrdoob,XanderLuciano,0.0,14,6472,24
mrdoob,whatisor,0.0,15,6472,24
mrdoob,ngokevin,0.0,14,6472,24
mrdoob,arturitu,0.0,12,6472,23
mrdoob,satori99,0.0,8,6472,23
mrdoob,dubejf,0.0,10,6472,22
mrdoob,phfatmonkey,0.0,12,6472,22
mrdoob,06wj,0.0,15,6472,22
mrdoob,moroine,0.0,13,6472,22
mrdoob,spite,0.0,14,6472,21
mrdoob,mkeblx,0.0,17,6472,21
mrdoob,centerionware,0.0,10,6472,21
mrdoob,backspaces,0.0,13,6472,20
mrdoob,kpetrow,0.0,7,6472,20
mrdoob,paulmasson,0.0,14,6472,20
mrdoob,fraguada,0.0,9,6472,19
mrdoob,adrs2002,0.0,16,6472,19
mrdoob,pikilipita,0.0,10,6472,19
mrdoob,wolfgangvonludwigsburg,0.0,8,6472,19
mrdoob,osov,0.0,7,6472,19
mrdoob,linbingquan,0.0,10,6472,19
mrdoob,jbaicoianu,0.0,12,6472,18
mrdoob,OndrejSpanel,0.0,11,6472,18
mrdoob,hoch,0.0,8,6472,18
mrdoob,gabrielgrant,0.0,5,6472,18
mrdoob,clement-igonet,0.0,6,6472,18
mrdoob,almarklein,0.0,7,6472,18
mrdoob,gauravrane,0.0,11,6472,17
mrdoob,zellski,0.0,9,6472,17
mrdoob,olivierchatry,0.0,6,6472,17
mrdoob,Makio64,0.0,12,6472,17
mrdoob,benguild,0.0,2,6472,17
mrdoob,codeart1st,0.0,3,6472,17
mrdoob,pyrotechnick,0.0,3,6472,17
mrdoob,kintel,0.0,8,6472,17
mrdoob,TyLindberg,0.0,11,6472,16
mrdoob,GGAlanSmithee,0.0,12,6472,16
mrdoob,webprofusion-chrisc,0.0,11,6472,16
mrdoob,toji,0.0,12,6472,16
mrdoob,cloud4every1,0.0,5,6472,16
mrdoob,tranek,0.0,6,6472,16
mrdoob,inear,0.0,5,6472,15
mrdoob,unphased,0.0,9,6472,15
mrdoob,EliasHasle,0.0,7,6472,15
mrdoob,jamesgk,0.0,7,6472,15
mrdoob,dustinkerstein,0.0,11,6472,15
mrdoob,timo22345,0.0,1,6472,15
mrdoob,gregtatum,0.0,6,6472,15
mrdoob,insominx,0.0,4,6472,14
mrdoob,ikerr,0.0,6,6472,14
mrdoob,yiakwy,0.0,9,6472,14
mrdoob,emackey,0.0,9,6472,14
mrdoob,FuzzyWobble,0.0,8,6472,14
mrdoob,rohan-deshpande,0.0,7,6472,14
mrdoob,croraf,0.0,8,6472,14
mrdoob,yoshikiohshima,0.0,7,6472,14
mrdoob,eastpiger,0.0,4,6472,14
mrdoob,atul-mourya,0.0,10,6472,14
mrdoob,jsantell,0.0,4,6472,14
mrdoob,buffaly,0.0,3,6472,14
mrdoob,MichaelHazani,0.0,5,6472,13
mrdoob,Neesnu,0.0,7,6472,13
mrdoob,drcmda,0.0,5,6472,13
mrdoob,jcowles,0.0,4,6472,13
mrdoob,ieskudero,0.0,8,6472,13
mrdoob,edankwan,0.0,8,6472,13
mrdoob,abogartz,0.0,4,6472,13
mrdoob,MarcRibguth,0.0,7,6472,13
mrdoob,robertoranon,0.0,6,6472,13
mrdoob,sgaoae,0.0,7,6472,13
mrdoob,brunnerh,0.0,6,6472,13
mrdoob,1d2d3d,0.0,7,6472,13
mrdoob,joshpatt2,0.0,7,6472,13
mrdoob,boulabiar,0.0,7,6472,13
mrdoob,princemio,0.0,2,6472,13
mrdoob,simonThiele,0.0,3,6472,13
mrdoob,drsagitn,0.0,5,6472,13
mrdoob,lwansbrough,0.0,6,6472,12
mrdoob,chandlerprall,0.0,2,6472,12
mrdoob,MiiBond,0.0,10,6472,12
mrdoob,rohalchandrakar2007,0.0,3,6472,12
mrdoob,cmeeren,0.0,7,6472,12
mrdoob,samwei12,0.0,5,6472,12
mrdoob,tommytee,0.0,4,6472,12
mrdoob,CarlBateman,0.0,5,6472,12
mrdoob,leoboboyan,0.0,6,6472,12
mrdoob,ChrisDenham,0.0,6,6472,12
mrdoob,carlosanunes,0.0,8,6472,12
mrdoob,loldrup,0.0,4,6472,12
mrdoob,jihoonl,0.0,2,6472,12
mrdoob,sompylasar,0.0,1,6472,12
mrdoob,kumavis,0.0,3,6472,12
mrdoob,Rich-Harris,0.0,3,6472,12
mrdoob,Ben-Mack,0.0,7,6472,11
mrdoob,ekatzenstein,0.0,5,6472,11
mrdoob,dbkaplun,0.0,8,6472,11
mrdoob,lo-th,0.0,7,6472,11
mrdoob,MohmadAyman,0.0,5,6472,11
mrdoob,linev,0.0,7,6472,11
mrdoob,kchapelier,0.0,5,6472,11
mrdoob,baba1472,0.0,3,6472,11
mrdoob,sandipJava,0.0,1,6472,11
mrdoob,thezwap,0.0,4,6472,11
mrdoob,libe,0.0,2,6472,11
mrdoob,ndebeiss,0.0,5,6472,11
mrdoob,rexdk,0.0,3,6472,11
mrdoob,valette,0.0,5,6472,11
mrdoob,lojjic,0.0,5,6472,10
mrdoob,gadlol,0.0,5,6472,10
mrdoob,cecilemuller,0.0,9,6472,10
mrdoob,Seagat2011,0.0,4,6472,10
mrdoob,bakajin,0.0,7,6472,10
mrdoob,Friksel,0.0,5,6472,10
mrdoob,DavidPeicho,0.0,10,6472,10
mrdoob,FeaturedSpace,0.0,5,6472,10
mrdoob,Samsy,0.0,7,6472,10
mrdoob,spidersharma03,0.0,6,6472,10
mrdoob,jcyuan,0.0,6,6472,10
mrdoob,NNskelly,0.0,4,6472,10
mrdoob,jeromeetienne,0.0,1,6472,10
mrdoob,ranbuch,0.0,4,6472,10
mrdoob,calrk,0.0,9,6472,10
mrdoob,kkruups,0.0,4,6472,10
mrdoob,maccesch,0.0,5,6472,10
mrdoob,duhaime,0.0,4,6472,10
mrdoob,EerikKivistik,0.0,9,6472,10
mrdoob,liaohengfan,0.0,4,6472,10
mrdoob,empaempa,0.0,2,6472,10
mrdoob,danielribeiro,0.0,4,6472,10
mrdoob,gulptranslation,0.0,2,6472,10
mrdoob,sgrif,0.0,1,6472,10
mrdoob,gwink,0.0,2,6472,10
mrdoob,khx42,0.0,4,6472,10
mrdoob,bsergean,0.0,3,6472,10
mrdoob,flyingdeath,0.0,4,6472,10
mrdoob,carstenschwede,0.0,7,6472,9
mrdoob,mflux,0.0,2,6472,9
mrdoob,chazcb,0.0,3,6472,9
mrdoob,martinRenou,0.0,4,6472,9
mrdoob,foijord,0.0,4,6472,9
mrdoob,jayschwa,0.0,3,6472,9
mrdoob,yazancash,0.0,5,6472,9
mrdoob,alemures,0.0,5,6472,9
mrdoob,jaxry,0.0,4,6472,9
mrdoob,hccampos,0.0,6,6472,9
mrdoob,BAntDit,0.0,8,6472,9
mrdoob,cyth319,0.0,4,6472,9
mrdoob,stevesan,0.0,5,6472,9
mrdoob,kurozael,0.0,6,6472,9
mrdoob,MagnuzBinder,0.0,4,6472,9
mrdoob,levilime,0.0,5,6472,9
mrdoob,nick-nikoliuk,0.0,5,6472,9
mrdoob,mquander,0.0,5,6472,9
mrdoob,kickblade,0.0,5,6472,9
mrdoob,kovleouf,0.0,3,6472,9
mrdoob,JackCA,0.0,3,6472,9
mrdoob,rimmartin,0.0,5,6472,9
mrdoob,tparisi,0.0,5,6472,9
mrdoob,trumanus,0.0,3,6472,8
mrdoob,Hectate,0.0,6,6472,8
mrdoob,kevineschmidt,0.0,4,6472,8
mrdoob,edsilv,0.0,4,6472,8
mrdoob,wothke,0.0,5,6472,8
mrdoob,vt5491,0.0,7,6472,8
mrdoob,rkwright,0.0,4,6472,8
mrdoob,sublambda,0.0,5,6472,8
mrdoob,Oletus,0.0,7,6472,8
mrdoob,wyckster,0.0,3,6472,8
mrdoob,brmscheiner,0.0,5,6472,8
mrdoob,luruke,0.0,4,6472,8
mrdoob,Bsheridan12,0.0,3,6472,8
mrdoob,charlesfleche,0.0,6,6472,8
