"name1","name2","year_week","issue_num","p1","p2"
"Carreau","fperez","201146","2","0","2"
"ellisonbg","ipython","201019","8","2","2221"
"fperez","unidesigner","201115","8","01","21"
"epatters","rkern","201122","8","22","2"
"epatters","minrk","201126","8","2022","2120"
"Carreau","damianavila","201424","12","2","1"
"Carreau","takluyver","201424","12","2","1"
"damianavila","takluyver","201424","12","1","1"
"ellisonbg","fperez","201114","13","1","20"
"ellisonbg","minrk","201120","14","2","2"
"fperez","takluyver","201112","16","0","2"
"Drekin","takluyver","201435","17","2200","222"
"fperez","takluyver","201435","17","2","222"
"Drekin","fperez","201435","17","2200","2"
"asmeurer","minrk","201134","21","2","0"
"asmeurer","minrk","201135","21","02022","222"
"boxed","Carreau","201314","21","2","1"
"cottrell","takluyver","20184","21","2","2"
"fperez","paykroyd","201148","22","01","2"
"fperez","paykroyd","201149","22","1","2"
"jrus","minrk","201120","25","2","2"
"fperez","takluyver","201112","27","1","2"
"dwf","fperez","201114","29","2","1001"
"fperez","minrk","201114","29","1001","22"
"dwf","minrk","201114","29","2","22"
"fperez","takluyver","201115","29","1","2"
"fperez","takluyver","201114","33","2","2"
"methane","Shougo","201213","35","2","0220"
"batz","fperez","201042","36","2","1"
"fperez","takluyver","201112","44","2","2"
"minrk","takluyver","201112","53","2","2"
"haosdent","takluyver","201325","58","2021","20"
"fperez","takluyver","201121","59","2","2"
"daf","takluyver","20126","62","010","02"
"fperez","liokm","201217","62","2","221"
"liokm","takluyver","201217","62","221","222"
"fperez","takluyver","201217","62","2","222"
"fletom","takluyver","201239","62","2","0"
"bkvirendra","minrk","201332","62","21","2"
"Carreau","minrk","201332","62","0","2"
"bkvirendra","Carreau","201332","62","21","0"
"anfedorov","Erotemic","201642","62","2","2"
"fperez","minrk","201129","64","2","2"
"ellisonbg","fperez","201114","66","2","2"
"jstenar","takluyver","201115","71","2","22"
"minrk","takluyver","201112","78","2","2"
"bfroehle","fperez","201219","81","22","02"
"rspeer","takluyver","201115","88","2","1"
"minrk","rspeer","201116","88","21","02"
"rspeer","takluyver","201116","88","02","2"
"minrk","takluyver","201116","88","21","2"
"minrk","rspeer","201119","88","11","20"
"epatters","rspeer","201119","88","2","20"
"rspeer","takluyver","201119","88","20","22"
"minrk","takluyver","201119","88","11","22"
"epatters","takluyver","201119","88","2","22"
"epatters","minrk","201119","88","2","11"
"fperez","takluyver","201148","89","21","2"
"gauteh","ivanov","201412","101","20","22"
"mmckerns","takluyver","201337","112","0200222","122222"
"bfroehle","fperez","201219","123","20","2"
"robyoung","takluyver","201416","124","2","2"
"dwf","fperez","201114","131","01","11"
"ksamuel","minrk","201112","132","0","2"
"aresnick","takluyver","201112","134","0","20"
"poelzi","tomspur","201029","135","1","2"
"fperez","takluyver","201148","136","01","2"
"amelio-dx","clebio","201446","136","1","2"
"amelio-vazquez-reina","clebio","201446","136","2","2"
"clebio","minrk","201446","136","2","2"
"amelio-dx","minrk","201446","136","1","2"
"amelio-vazquez-reina","minrk","201446","136","2","2"
"amelio-dx","amelio-vazquez-reina","201446","136","1","2"
"minrk","takluyver","201112","137","22","2"
"fperez","takluyver","201114","141","2","0"
"fperez","takluyver","201115","141","02212201","02222202"
"ellisonbg","rkern","201037","149","20","2"
"ellisonbg","rkern","201038","149","02","20222"
"fperez","rkern","201038","149","02","20222"
"ellisonbg","fperez","201038","149","02","02"
"dmirota","fperez","201040","154","2","0"
"fperez","tomspur","201040","158","102","0"
"fperez","takluyver","201040","159","112","22"
"ellisonbg","fperez","201040","163","1","01211"
"ellisonbg","minrk","201040","163","1","2"
"fperez","minrk","201040","163","01211","2"
"ellisonbg","fperez","201041","163","211","112"
"fperez","minrk","201040","164","11","0"
"ellisonbg","minrk","201041","164","20012","000220"
"fperez","minrk","201041","164","2","000220"
"ellisonbg","fperez","201041","164","20012","2"
"fperez","minrk","201042","164","2","2"
"epatters","fperez","20116","166","2","1"
"ellisonbg","fperez","201041","167","2","12"
"fperez","markvoorhies","201041","167","12","22"
"ellisonbg","markvoorhies","201041","167","2","22"
"fperez","minrk","201041","168","1","1"
"fperez","minrk","201041","169","01","2200"
"fperez","minrk","201042","169","2","2"
"markvoorhies","minrk","201042","170","01","2022"
"fperez","minrk","201042","170","1","2022"
"fperez","markvoorhies","201042","170","1","01"
"fperez","minrk","201042","171","11","22"
"ddale","fperez","201042","174","2","10"
"ddale","fperez","201043","174","0222","1201"
"ellisonbg","fperez","201043","174","2","1201"
"ddale","ellisonbg","201043","174","0222","2"
"minrk","takluyver","201125","175","2","2"
"fperez","minrk","20118","176","1","2"
"fperez","rkern","201042","177","1","2"
"fperez","markvoorhies","201042","179","20","22"
"jamesgao","markvoorhies","201042","179","1","22"
"fperez","jamesgao","201042","179","20","1"
"ccordoba12","fperez","201043","179","2","012221"
"ellisonbg","fperez","201043","179","012","012221"
"ccordoba12","jamesgao","201043","179","2","11"
"fperez","jamesgao","201043","179","012221","11"
"ellisonbg","jamesgao","201043","179","012","11"
"ccordoba12","ellisonbg","201043","179","2","012"
"jamesgao","jasongrout","201112","179","2","20"
"ellisonbg","jasongrout","201113","179","2","1"
"fperez","takluyver","201042","180","1","2"
"fperez","jstenar","201042","181","211","2"
"fperez","Phillip-M-Feldman","201138","181","1","2"
"minrk","takluyver","201142","181","00","02222"
"jstenar","takluyver","201142","181","020","02222"
"Phillip-M-Feldman","takluyver","201142","181","021","02222"
"jstenar","minrk","201142","181","020","00"
"minrk","Phillip-M-Feldman","201142","181","00","021"
"jstenar","Phillip-M-Feldman","201142","181","020","021"
"fperez","takluyver","201112","182","2","0"
"eteq","minrk","201043","183","212","12"
"fperez","minrk","201043","183","221","12"
"eteq","fperez","201043","183","212","221"
"drewfrank","fperez","201043","185","2","211"
"fperez","lebedov","201043","185","211","21"
"ivanov","lebedov","201043","185","2","21"
"drewfrank","lebedov","201043","185","2","21"
"fperez","markvoorhies","201043","185","211","22"
"lebedov","markvoorhies","201043","185","21","22"
"ivanov","markvoorhies","201043","185","2","22"
"drewfrank","markvoorhies","201043","185","2","22"
"fperez","ivanov","201043","185","211","2"
"drewfrank","ivanov","201043","185","2","2"
"fperez","markvoorhies","201052","185","0","22"
"ivanov","markvoorhies","201052","185","22","22"
"fperez","ivanov","201052","185","0","22"
"ellisonbg","fperez","201043","188","0","1"
"evilrob666","jtriley","201126","189","1","0"
"ellisonbg","fperez","201043","191","2","1"
"fperez","tomspur","201044","191","0","110"
"ellisonbg","tomspur","20113","191","22","0"
"fperez","tomspur","201110","191","0","2"
"ellisonbg","fperez","201043","192","01","0"
"fperez","tomspur","201044","192","1","1"
"ellisonbg","minrk","20117","193","2","2"
"minrk","tomspur","20117","193","2","2"
"ellisonbg","tomspur","20117","193","2","2"
"ghost","minrk","201043","194","0","1"
"fperez","minrk","201043","194","1","1"
"fperez","ghost","201043","194","1","0"
"fperez","rkern","201043","195","111","22"
"fperez","minrk","201043","196","1","0"
"fperez","tcourbon","201043","196","1","1"
"minrk","tcourbon","201043","196","0","1"
"fperez","minrk","201043","197","10","2"
"fperez","takluyver","201112","197","2","2222"
"jstenar","takluyver","201112","197","02","2222"
"fperez","jstenar","201112","197","2","02"
"ddale","fperez","201044","198","0","01"
"fperez","rkern","201044","199","12","2"
"ellisonbg","rkern","20113","199","2","0"
"fperez","jstenar","201044","200","22","0"
"jstenar","takluyver","201112","200","22","211"
"minrk","wilsaj","20117","204","2","0"
"mhubig","minrk","201047","206","12","0"
"ellisonbg","minrk","201048","209","20","0"
"minrk","takluyver","201142","211","212","2"
"takluyver","zfogg","201218","211","12","21"
"dirjud","fperez","201050","213","2","0"
"minrk","takluyver","20117","228","22","1"
"Adish","takluyver","20117","232","2","2"
"mchandra","minrk","201051","234","12222","220"
"fperez","madhusudancs","20118","235","00","0"
"Carreau","ivanov","201629","238","0","21"
"Carreau","willingc","201629","238","0","1"
"ivanov","willingc","201629","238","21","1"
"ellisonbg","takluyver","20111","241","2","202"
"ellisonbg","takluyver","20112","242","0112","02221"
"minrk","takluyver","20112","242","00","02221"
"mchandra","takluyver","20112","242","02","02221"
"ellisonbg","minrk","20112","242","0112","00"
"mchandra","minrk","20112","242","02","00"
"ellisonbg","mchandra","20112","242","0112","02"
"ellisonbg","minrk","20113","242","22","1"
"minrk","takluyver","20113","242","1","12"
"ellisonbg","takluyver","20113","242","22","12"
"ellisonbg","takluyver","20112","243","1","2"
"ellisonbg","minrk","20113","243","1","20"
"ellisonbg","fperez","20114","243","1","1"
